------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Illinois",17000,61229.000000000,"18 of 52"
"Alexander County",17003,31014.000000000,"3032 of 3141"
"Pulaski County",17153,34655.000000000,"2893 of 3141"
"Jackson County",17077,36008.000000000,"2803 of 3141"
"Franklin County",17055,39454.000000000,"2513 of 3141"
"Hardin County",17069,39524.000000000,"2505 of 3141"
"Saline County",17165,40722.000000000,"2398 of 3141"
"Pope County",17151,41139.000000000,"2351 of 3141"
"Pike County",17149,41387.000000000,"2319 of 3141"
"Coles County",17029,41907.000000000,"2258 of 3141"
"Knox County",17095,41972.000000000,"2251 of 3141"
"Massac County",17127,42168.000000000,"2228 of 3141"
"Gallatin County",17059,42450.000000000,"2197 of 3141"
"McDonough County",17109,42911.000000000,"2150 of 3141"
"Greene County",17061,44502.000000000,"1989 of 3141"
"Lawrence County",17101,44504.000000000,"1987 of 3141"
"Fayette County",17051,44541.000000000,"1983 of 3141"
"Marion County",17121,44679.000000000,"1965 of 3141"
"Mason County",17125,44695.000000000,"1963 of 3141"
"Vermilion County",17183,44930.000000000,"1929 of 3141"
"Johnson County",17087,45743.000000000,"1839 of 3141"
"Perry County",17145,45864.000000000,"1828 of 3141"
"Jefferson County",17081,46109.000000000,"1800 of 3141"
"White County",17193,46279.000000000,"1777 of 3141"
"Wayne County",17191,46405.000000000,"1757 of 3141"
"Stephenson County",17177,46427.000000000,"1754 of 3141"
"Richland County",17159,46454.000000000,"1751 of 3141"
"Union County",17181,46716.000000000,"1711 of 3141"
"Warren County",17187,47278.000000000,"1653 of 3141"
"Hamilton County",17065,47293.000000000,"1650 of 3141"
"Schuyler County",17169,47321.000000000,"1649 of 3141"
"Clay County",17025,47427.000000000,"1635 of 3141"
"Henderson County",17071,47428.000000000,"1634 of 3141"
"Crawford County",17033,47468.000000000,"1630 of 3141"
"Montgomery County",17135,47807.000000000,"1600 of 3141"
"Edgar County",17045,47873.000000000,"1593 of 3141"
"Adams County",17001,48454.000000000,"1515 of 3141"
"Scott County",17171,48542.000000000,"1508 of 3141"
"Fulton County",17057,48599.000000000,"1505 of 3141"
"Williamson County",17199,48600.000000000,"1504 of 3141"
"Iroquois County",17075,48857.000000000,"1477 of 3141"
"Macon County",17115,49052.000000000,"1465 of 3141"
"Morgan County",17137,49353.000000000,"1433 of 3141"
"Champaign County",17019,49586.000000000,"1410 of 3141"
"Edwards County",17047,49632.000000000,"1407 of 3141"
"Wabash County",17185,49716.000000000,"1393 of 3141"
"Randolph County",17157,49717.000000000,"1392 of 3141"
"Shelby County",17173,49807.000000000,"1380 of 3141"
"Cass County",17017,50156.000000000,"1343 of 3141"
"Carroll County",17015,50555.000000000,"1293 of 3141"
"Christian County",17021,50668.000000000,"1279 of 3141"
"Cumberland County",17035,50680.000000000,"1277 of 3141"
"Ford County",17053,50851.000000000,"1254 of 3141"
"St. Clair County",17163,51103.000000000,"1220 of 3141"
"Winnebago County",17201,51110.000000000,"1218 of 3141"
"Rock Island County",17161,51426.000000000,"1186 of 3141"
"Hancock County",17067,51460.000000000,"1178 of 3141"
"Whiteside County",17195,51969.000000000,"1126 of 3141"
"Clark County",17023,52068.000000000,"1109 of 3141"
"Douglas County",17041,52261.000000000,"1088 of 3141"
"Stark County",17175,52284.000000000,"1085 of 3141"
"Peoria County",17143,53063.000000000,"1011 of 3141"
"Calhoun County",17013,53641.000000000,"966 of 3141"
"Macoupin County",17117,53890.000000000,"933 of 3141"
"Moultrie County",17139,53979.000000000,"924 of 3141"
"Bureau County",17011,54271.000000000,"898 of 3141"
"Livingston County",17105,54339.000000000,"894 of 3141"
"Bond County",17005,54393.000000000,"889 of 3141"
"Washington County",17189,54520.000000000,"879 of 3141"
"Effingham County",17049,54655.000000000,"865 of 3141"
"La Salle County",17099,54693.000000000,"858 of 3141"
"Marshall County",17123,55173.000000000,"830 of 3141"
"De Witt County",17039,55411.000000000,"809 of 3141"
"Jo Daviess County",17085,55532.000000000,"802 of 3141"
"Mercer County",17131,55649.000000000,"793 of 3141"
"Henry County",17073,55755.000000000,"787 of 3141"
"Brown County",17009,56289.000000000,"747 of 3141"
"Jersey County",17083,56320.000000000,"741 of 3141"
"Jasper County",17079,56523.000000000,"724 of 3141"
"Madison County",17119,56536.000000000,"723 of 3141"
"Kankakee County",17091,56542.000000000,"722 of 3141"
"Ogle County",17141,57655.000000000,"648 of 3141"
"Logan County",17107,58271.000000000,"614 of 3141"
"Lee County",17103,58319.000000000,"613 of 3141"
"DeKalb County",17037,58343.000000000,"610 of 3141"
"Sangamon County",17167,58687.000000000,"588 of 3141"
"Cook County",17031,59426.000000000,"549 of 3141"
"Tazewell County",17179,60874.000000000,"472 of 3141"
"Menard County",17129,62368.000000000,"409 of 3141"
"Boone County",17007,62701.000000000,"388 of 3141"
"Clinton County",17027,64543.000000000,"335 of 3141"
"McLean County",17113,64573.000000000,"334 of 3141"
"Putnam County",17155,64741.000000000,"330 of 3141"
"Piatt County",17147,67360.000000000,"262 of 3141"
"Woodford County",17203,69507.000000000,"226 of 3141"
"Grundy County",17063,71598.000000000,"198 of 3141"
"Monroe County",17133,74410.000000000,"164 of 3141"
"Kane County",17089,74862.000000000,"160 of 3141"
"Will County",17197,80782.000000000,"99 of 3141"
"McHenry County",17111,82230.000000000,"85 of 3141"
"Lake County",17097,82613.000000000,"83 of 3141"
"DuPage County",17043,84442.000000000,"74 of 3141"
"Kendall County",17093,89860.000000000,"50 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
