------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Illinois",17000,2.6,329518,"14 of 51"
"United States",00000,3.2,10247779,"N/A"
"Hancock County",17067,0.9,171,"41 of 3140"
"Cook County",17031,1.0,51004,"47 of 3140"
"Adams County",17001,1.3,832,"88 of 3140"
"Gallatin County",17059,1.5,79,"153 of 3140"
"Wabash County",17185,1.6,180,"169 of 3140"
"Massac County",17127,1.6,233,"181 of 3140"
"Hamilton County",17065,1.6,132,"183 of 3140"
"Calhoun County",17013,1.7,84,"222 of 3140"
"St. Clair County",17163,2.0,5147,"324 of 3140"
"Pulaski County",17153,2.0,115,"349 of 3140"
"Carroll County",17015,2.1,300,"358 of 3140"
"Douglas County",17041,2.1,405,"371 of 3140"
"Vermilion County",17183,2.1,1661,"399 of 3140"
"Union County",17181,2.1,365,"412 of 3140"
"Stark County",17175,2.2,120,"437 of 3140"
"Monroe County",17133,2.2,735,"450 of 3140"
"Alexander County",17003,2.2,149,"457 of 3140"
"Rock Island County",17161,2.2,3247,"473 of 3140"
"Jo Daviess County",17085,2.3,504,"501 of 3140"
"Henry County",17073,2.3,1140,"513 of 3140"
"Clark County",17023,2.3,368,"522 of 3140"
"Lake County",17097,2.4,16537,"539 of 3140"
"Whiteside County",17195,2.4,1368,"574 of 3140"
"Jasper County",17079,2.5,235,"614 of 3140"
"Hardin County",17069,2.5,103,"621 of 3140"
"Clay County",17025,2.5,333,"633 of 3140"
"Saline County",17165,2.6,635,"723 of 3140"
"Winnebago County",17201,2.6,7529,"733 of 3140"
"Marion County",17121,2.7,1017,"757 of 3140"
"Bureau County",17011,2.7,892,"760 of 3140"
"Cass County",17017,2.7,343,"768 of 3140"
"Washington County",17189,2.8,398,"860 of 3140"
"Kankakee County",17091,2.8,3125,"874 of 3140"
"Macon County",17115,2.9,3050,"893 of 3140"
"Sangamon County",17167,2.9,5621,"894 of 3140"
"Stephenson County",17177,2.9,1310,"899 of 3140"
"White County",17193,2.9,409,"916 of 3140"
"Williamson County",17199,2.9,1970,"942 of 3140"
"McHenry County",17111,3.0,9230,"993 of 3140"
"Pope County",17151,3.1,134,"1031 of 3140"
"Franklin County",17055,3.2,1228,"1087 of 3140"
"Henderson County",17071,3.2,217,"1096 of 3140"
"Peoria County",17143,3.2,5826,"1115 of 3140"
"Pike County",17149,3.3,527,"1221 of 3140"
"Putnam County",17155,3.4,191,"1228 of 3140"
"Mercer County",17131,3.4,530,"1248 of 3140"
"Madison County",17119,3.4,8911,"1249 of 3140"
"Jersey County",17083,3.4,754,"1268 of 3140"
"Knox County",17095,3.4,1744,"1277 of 3140"
"Iroquois County",17075,3.5,972,"1307 of 3140"
"Effingham County",17049,3.5,1172,"1324 of 3140"
"Wayne County",17191,3.5,569,"1335 of 3140"
"Shelby County",17173,3.5,758,"1346 of 3140"
"Marshall County",17123,3.5,414,"1356 of 3140"
"Macoupin County",17117,3.6,1618,"1393 of 3140"
"Kane County",17089,3.6,18600,"1396 of 3140"
"Will County",17197,3.6,24191,"1399 of 3140"
"Ogle County",17141,3.6,1850,"1444 of 3140"
"La Salle County",17099,3.6,4000,"1453 of 3140"
"Tazewell County",17179,3.7,4939,"1510 of 3140"
"Edgar County",17045,3.7,647,"1527 of 3140"
"Grundy County",17063,3.8,1866,"1542 of 3140"
"Menard County",17129,3.8,463,"1554 of 3140"
"DuPage County",17043,3.8,34828,"1558 of 3140"
"De Witt County",17039,3.9,622,"1637 of 3140"
"Warren County",17187,3.9,681,"1669 of 3140"
"Richland County",17159,4.0,628,"1684 of 3140"
"Greene County",17061,4.1,539,"1760 of 3140"
"Jefferson County",17081,4.1,1567,"1782 of 3140"
"Woodford County",17203,4.3,1637,"1855 of 3140"
"Christian County",17021,4.4,1477,"1943 of 3140"
"Clinton County",17027,4.5,1680,"1997 of 3140"
"Mason County",17125,4.5,627,"2017 of 3140"
"Edwards County",17047,4.7,305,"2096 of 3140"
"Boone County",17007,4.9,2596,"2201 of 3140"
"Moultrie County",17139,4.9,715,"2210 of 3140"
"Fulton County",17057,5.0,1758,"2230 of 3140"
"Livingston County",17105,5.0,1824,"2267 of 3140"
"Scott County",17171,5.0,254,"2269 of 3140"
"Kendall County",17093,5.1,6193,"2309 of 3140"
"Schuyler County",17169,5.2,370,"2349 of 3140"
"Randolph County",17157,5.3,1724,"2395 of 3140"
"Crawford County",17033,5.5,1039,"2467 of 3140"
"Ford County",17053,5.5,730,"2474 of 3140"
"McLean County",17113,5.7,9703,"2540 of 3140"
"Bond County",17005,5.7,958,"2541 of 3140"
"Cumberland County",17035,5.8,628,"2598 of 3140"
"Morgan County",17137,6.2,2115,"2681 of 3140"
"Lawrence County",17101,6.6,1069,"2759 of 3140"
"Piatt County",17147,6.9,1121,"2815 of 3140"
"Perry County",17145,7.0,1496,"2831 of 3140"
"Lee County",17103,7.1,2424,"2837 of 3140"
"Fayette County",17051,7.1,1550,"2850 of 3140"
"Champaign County",17019,7.5,15456,"2899 of 3140"
"DeKalb County",17037,7.6,7885,"2915 of 3140"
"Coles County",17029,8.1,4196,"2962 of 3140"
"McDonough County",17109,8.2,2556,"2967 of 3140"
"Logan County",17107,9.0,2627,"3021 of 3140"
"Montgomery County",17135,9.5,2735,"3042 of 3140"
"Jackson County",17077,9.5,5555,"3045 of 3140"
"Johnson County",17087,11.2,1426,"3097 of 3140"
"Brown County",17009,15.3,1027,"3130 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
