------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Illinois",17000,30.0,3850546,"38 of 52"
"Pope County",17151,19.3,841,"134 of 3141"
"Henderson County",17071,19.7,1365,"165 of 3141"
"Jo Daviess County",17085,19.9,4390,"177 of 3141"
"Gallatin County",17059,21.1,1104,"312 of 3141"
"Stark County",17175,21.4,1189,"344 of 3141"
"Carroll County",17015,21.5,3167,"359 of 3141"
"Schuyler County",17169,21.6,1550,"368 of 3141"
"Calhoun County",17013,22.1,1082,"461 of 3141"
"Mason County",17125,22.5,3124,"546 of 3141"
"Hancock County",17067,22.7,4152,"613 of 3141"
"Iroquois County",17075,22.8,6480,"622 of 3141"
"Putnam County",17155,23.0,1329,"702 of 3141"
"Marshall County",17123,23.1,2752,"716 of 3141"
"Scott County",17171,23.1,1180,"720 of 3141"
"Stephenson County",17177,23.2,10642,"754 of 3141"
"Jasper County",17079,23.3,2235,"767 of 3141"
"Edwards County",17047,23.3,1531,"773 of 3141"
"Wayne County",17191,23.5,3886,"805 of 3141"
"Shelby County",17173,23.5,5150,"827 of 3141"
"Ford County",17053,23.5,3167,"829 of 3141"
"Hamilton County",17065,23.5,1943,"833 of 3141"
"Piatt County",17147,23.6,3873,"842 of 3141"
"Edgar County",17045,23.7,4176,"887 of 3141"
"Clay County",17025,23.8,3185,"904 of 3141"
"Massac County",17127,23.8,3473,"910 of 3141"
"Bureau County",17011,23.9,8022,"927 of 3141"
"Whiteside County",17195,23.9,13567,"934 of 3141"
"White County",17193,23.9,3397,"956 of 3141"
"Mercer County",17131,24.0,3791,"975 of 3141"
"Alexander County",17003,24.2,1637,"1025 of 3141"
"Menard County",17129,24.2,3007,"1045 of 3141"
"Monroe County",17133,24.4,8248,"1097 of 3141"
"Washington County",17189,24.5,3491,"1107 of 3141"
"Henry County",17073,24.5,12176,"1121 of 3141"
"Pike County",17149,24.6,3919,"1154 of 3141"
"Clark County",17023,24.7,3930,"1186 of 3141"
"Franklin County",17055,24.8,9741,"1232 of 3141"
"Greene County",17061,24.8,3304,"1247 of 3141"
"Macoupin County",17117,24.9,11453,"1285 of 3141"
"Ogle County",17141,25.0,12904,"1315 of 3141"
"Moultrie County",17139,25.0,3679,"1321 of 3141"
"Cumberland County",17035,25.1,2737,"1356 of 3141"
"Woodford County",17203,25.1,9786,"1362 of 3141"
"Union County",17181,25.2,4345,"1372 of 3141"
"Richland County",17159,25.2,4020,"1381 of 3141"
"De Witt County",17039,25.3,4085,"1398 of 3141"
"Cass County",17017,25.3,3262,"1422 of 3141"
"Marion County",17121,25.4,9715,"1437 of 3141"
"Pulaski County",17153,25.4,1448,"1467 of 3141"
"McHenry County",17111,25.5,78648,"1506 of 3141"
"Saline County",17165,25.7,6284,"1569 of 3141"
"Jersey County",17083,25.7,5715,"1570 of 3141"
"Wabash County",17185,25.8,2980,"1574 of 3141"
"Vermilion County",17183,25.9,20494,"1611 of 3141"
"Adams County",17001,25.9,17306,"1626 of 3141"
"La Salle County",17099,25.9,28809,"1632 of 3141"
"Tazewell County",17179,26.0,35045,"1662 of 3141"
"Christian County",17021,26.3,8826,"1746 of 3141"
"Boone County",17007,26.4,14137,"1763 of 3141"
"Macon County",17115,26.4,28414,"1774 of 3141"
"Hardin County",17069,26.5,1101,"1796 of 3141"
"Livingston County",17105,26.5,9750,"1806 of 3141"
"Lee County",17103,26.5,9204,"1828 of 3141"
"Winnebago County",17201,26.7,76642,"1868 of 3141"
"Williamson County",17199,26.7,18041,"1893 of 3141"
"Jefferson County",17081,26.8,10289,"1914 of 3141"
"Fulton County",17057,27.0,9652,"1972 of 3141"
"Douglas County",17041,27.1,5381,"2003 of 3141"
"Sangamon County",17167,27.1,53786,"2005 of 3141"
"Effingham County",17049,27.2,9295,"2023 of 3141"
"Lake County",17097,27.3,192495,"2066 of 3141"
"Will County",17197,27.5,188994,"2101 of 3141"
"Grundy County",17063,27.5,13838,"2108 of 3141"
"Rock Island County",17161,27.5,40259,"2118 of 3141"
"Crawford County",17033,27.7,5329,"2163 of 3141"
"Montgomery County",17135,27.8,8105,"2173 of 3141"
"Kane County",17089,27.8,147150,"2177 of 3141"
"Fayette County",17051,27.9,6127,"2191 of 3141"
"Madison County",17119,27.9,74330,"2203 of 3141"
"Knox County",17095,28.0,14371,"2217 of 3141"
"DuPage County",17043,28.0,260690,"2219 of 3141"
"Clinton County",17027,28.3,10643,"2288 of 3141"
"Johnson County",17087,28.4,3667,"2326 of 3141"
