------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=17&areatype=county&cancer=058&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'cancer': '058', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_058.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=17&areatype=county&cancer=058&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Illinois by County

"Uterus (Corpus & Uterus, NOS) (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Illinois(6)",17000,***,8.7 ,8.5, 9,707,29.7
"US (SEER+NPCR)(1)",00000,***,7.6 ,7.6, 7.7,15366,28.8
"Clinton County(6)",17027,***,13.1 ,7.5, 21.9,3,36.4
"Stephenson County(6)",17177,***,12.9 ,7.9, 20.2,5,34.8
"Cook County(6)",17031,***,10.2 ,9.7, 10.8,328,33.3
"Winnebago County(6)",17201,***,10.2 ,8.2, 12.6,19,33.2
"Williamson County(6)",17199,***,10.1 ,6.2, 15.6,4,31.4
"Ogle County(6)",17141,***,9.9 ,5.7, 16.4,3,30.4
"Macon County(6)",17115,***,9.4 ,6.7, 12.9,8,32.3
"St. Clair County(6)",17163,***,9.3 ,7.3, 11.7,15,30.4
"Kankakee County(6)",17091,***,9.3 ,6.2, 13.4,6,28.3
"Will County(6)",17197,***,9.1 ,7.8, 10.6,36,30.6
"DuPage County(6)",17043,***,8.3 ,7.3, 9.4,50,27.3
"Lake County(6)",17097,***,7.9 ,6.7, 9.3,33,26.3
"McHenry County(6)",17111,***,7.9 ,6.2, 10,15,26.8
"Peoria County(6)",17143,***,7.9 ,5.7, 10.5,10,29.3
"Rock Island County(6)",17161,***,7.5 ,5.3, 10.4,8,26.1
"Vermilion County(6)",17183,***,7.3 ,4.3, 11.7,4,24.7
"Madison County(6)",17119,***,7.1 ,5.5, 9.2,13,24.5
"McLean County(6)",17113,***,7.1 ,4.7, 10.1,6,27.3
"DeKalb County(6)",17037,***,6.9 ,4.1, 10.9,4,26.8
"La Salle County(6)",17099,***,6.8 ,4.4, 10.2,5,27.8
"Kane County(6)",17089,***,6.4 ,5.1, 7.8,18,22.8
"Tazewell County(6)",17179,***,6.2 ,4.1, 9.1,6,22.3
"Champaign County(6)",17019,***,6.2 ,4.2, 8.8,7,26.2
"Kendall County(6)",17093,***,5.9 ,3.3, 9.7,3,18.2
"Sangamon County(6)",17167,***,5.8 ,4.1, 8,8,26.8
"Adams County(6)",17001,***,* ,*, *,3 or fewer,*
"Alexander County(6)",17003,***,* ,*, *,3 or fewer,*
"Bond County(6)",17005,***,* ,*, *,3 or fewer,*
"Boone County(6)",17007,***,* ,*, *,3 or fewer,*
"Brown County(6)",17009,***,* ,*, *,3 or fewer,*
"Bureau County(6)",17011,***,* ,*, *,3 or fewer,*
"Calhoun County(6)",17013,***,* ,*, *,3 or fewer,*
"Carroll County(6)",17015,***,* ,*, *,3 or fewer,*
"Cass County(6)",17017,***,* ,*, *,3 or fewer,*
"Christian County(6)",17021,***,* ,*, *,3 or fewer,*
"Clark County(6)",17023,***,* ,*, *,3 or fewer,*
"Clay County(6)",17025,***,* ,*, *,3 or fewer,*
"Coles County(6)",17029,***,* ,*, *,3 or fewer,*
"Crawford County(6)",17033,***,* ,*, *,3 or fewer,*
"Cumberland County(6)",17035,***,* ,*, *,3 or fewer,*
"De Witt County(6)",17039,***,* ,*, *,3 or fewer,*
"Douglas County(6)",17041,***,* ,*, *,3 or fewer,*
"Edgar County(6)",17045,***,* ,*, *,3 or fewer,*
"Edwards County(6)",17047,***,* ,*, *,3 or fewer,*
"Effingham County(6)",17049,***,* ,*, *,3 or fewer,*
"Fayette County(6)",17051,***,* ,*, *,3 or fewer,*
"Ford County(6)",17053,***,* ,*, *,3 or fewer,*
"Franklin County(6)",17055,***,* ,*, *,3 or fewer,*
"Fulton County(6)",17057,***,* ,*, *,3 or fewer,*
"Gallatin County(6)",17059,***,* ,*, *,3 or fewer,*
"Greene County(6)",17061,***,* ,*, *,3 or fewer,*
"Grundy County(6)",17063,***,* ,*, *,3 or fewer,*
"Hamilton County(6)",17065,***,* ,*, *,3 or fewer,*
"Hancock County(6)",17067,***,* ,*, *,3 or fewer,*
"Hardin County(6)",17069,***,* ,*, *,3 or fewer,*
"Henderson County(6)",17071,***,* ,*, *,3 or fewer,*
"Henry County(6)",17073,***,* ,*, *,3 or fewer,*
"Iroquois County(6)",17075,***,* ,*, *,3 or fewer,*
"Jackson County(6)",17077,***,* ,*, *,3 or fewer,*
"Jasper County(6)",17079,***,* ,*, *,3 or fewer,*
"Jefferson County(6)",17081,***,* ,*, *,3 or fewer,*
"Jersey County(6)",17083,***,* ,*, *,3 or fewer,*
"Jo Daviess County(6)",17085,***,* ,*, *,3 or fewer,*
"Johnson County(6)",17087,***,* ,*, *,3 or fewer,*
"Knox County(6)",17095,***,* ,*, *,3 or fewer,*
"Lawrence County(6)",17101,***,* ,*, *,3 or fewer,*
"Lee County(6)",17103,***,* ,*, *,3 or fewer,*
"Livingston County(6)",17105,***,* ,*, *,3 or fewer,*
"Logan County(6)",17107,***,* ,*, *,3 or fewer,*
"Macoupin County(6)",17117,***,* ,*, *,3 or fewer,*
"Marion County(6)",17121,***,* ,*, *,3 or fewer,*
"Marshall County(6)",17123,***,* ,*, *,3 or fewer,*
"Mason County(6)",17125,***,* ,*, *,3 or fewer,*
"Massac County(6)",17127,***,* ,*, *,3 or fewer,*
"McDonough County(6)",17109,***,* ,*, *,3 or fewer,*
"Menard County(6)",17129,***,* ,*, *,3 or fewer,*
"Mercer County(6)",17131,***,* ,*, *,3 or fewer,*
"Monroe County(6)",17133,***,* ,*, *,3 or fewer,*
"Montgomery County(6)",17135,***,* ,*, *,3 or fewer,*
"Morgan County(6)",17137,***,* ,*, *,3 or fewer,*
"Moultrie County(6)",17139,***,* ,*, *,3 or fewer,*
"Perry County(6)",17145,***,* ,*, *,3 or fewer,*
"Piatt County(6)",17147,***,* ,*, *,3 or fewer,*
"Pike County(6)",17149,***,* ,*, *,3 or fewer,*
"Pope County(6)",17151,***,* ,*, *,3 or fewer,*
"Pulaski County(6)",17153,***,* ,*, *,3 or fewer,*
"Putnam County(6)",17155,***,* ,*, *,3 or fewer,*
"Randolph County(6)",17157,***,* ,*, *,3 or fewer,*
"Richland County(6)",17159,***,* ,*, *,3 or fewer,*
"Saline County(6)",17165,***,* ,*, *,3 or fewer,*
"Schuyler County(6)",17169,***,* ,*, *,3 or fewer,*
