------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Indiana",18000,47.0,3106966,"32 of 52"
"United States",00000,47.3,151838062,"N/A"
"Tippecanoe County",18157,35.3,65636,"3104 of 3141"
"Monroe County",18105,36.8,53110,"3078 of 3141"
"LaGrange County",18087,40.5,15687,"2955 of 3141"
"Marion County",18097,42.2,396919,"2878 of 3141"
"Adams County",18001,43.3,15175,"2809 of 3141"
"Elkhart County",18039,44.2,89639,"2736 of 3141"
"Daviess County",18027,44.5,14574,"2715 of 3141"
"Allen County",18003,44.7,164307,"2693 of 3141"
"Hamilton County",18057,44.8,138710,"2682 of 3141"
"Vigo County",18167,45.1,48538,"2654 of 3141"
"Delaware County",18035,45.9,53221,"2570 of 3141"
"St. Joseph County",18141,46.0,123645,"2554 of 3141"
"Johnson County",18081,46.2,68942,"2536 of 3141"
"Hendricks County",18063,46.5,73536,"2495 of 3141"
"Kosciusko County",18085,47.6,37442,"2348 of 3141"
"Putnam County",18133,47.6,17875,"2339 of 3141"
"Bartholomew County",18005,47.7,38625,"2332 of 3141"
"Noble County",18113,47.8,22687,"2300 of 3141"
"Jackson County",18071,47.9,20968,"2290 of 3141"
"Vanderburgh County",18163,47.9,87138,"2287 of 3141"
"Boone County",18011,48.0,30217,"2275 of 3141"
"Clinton County",18023,48.1,15611,"2254 of 3141"
"Clark County",18019,48.2,55338,"2242 of 3141"
"Knox County",18083,48.2,18201,"2233 of 3141"
"Lake County",18089,48.3,236159,"2217 of 3141"
"Decatur County",18031,48.6,12877,"2165 of 3141"
"DeKalb County",18033,48.7,20727,"2150 of 3141"
"Jasper County",18073,48.9,16340,"2125 of 3141"
"Porter County",18127,49.1,82119,"2094 of 3141"
"Jennings County",18079,49.5,13780,"2012 of 3141"
"Wells County",18179,49.8,13847,"1959 of 3141"
"Grant County",18053,49.8,33698,"1945 of 3141"
"Miami County",18103,49.8,17961,"1943 of 3141"
"Marshall County",18099,49.8,23303,"1942 of 3141"
"Floyd County",18043,49.9,38151,"1932 of 3141"
"Jay County",18075,49.9,10530,"1930 of 3141"
"Switzerland County",18155,50.1,5317,"1897 of 3141"
"Hancock County",18059,50.2,36530,"1870 of 3141"
"LaPorte County",18091,50.2,55647,"1867 of 3141"
"Madison County",18095,50.3,65172,"1849 of 3141"
"Huntington County",18069,50.3,18377,"1840 of 3141"
"Dubois County",18037,50.4,21366,"1814 of 3141"
"Gibson County",18051,50.5,16964,"1792 of 3141"
"Montgomery County",18107,50.6,19364,"1772 of 3141"
"Jefferson County",18077,50.7,16361,"1750 of 3141"
"Warrick County",18173,50.7,31211,"1747 of 3141"
"Cass County",18017,50.8,19416,"1722 of 3141"
"Scott County",18143,51.0,12094,"1673 of 3141"
"Ripley County",18137,51.0,14467,"1669 of 3141"
"Clay County",18021,51.3,13518,"1607 of 3141"
"Wayne County",18177,51.4,34404,"1579 of 3141"
"Whitley County",18183,51.5,17233,"1556 of 3141"
"Pulaski County",18131,51.6,6583,"1524 of 3141"
"Benton County",18007,51.6,4484,"1517 of 3141"
"Morgan County",18109,51.7,35942,"1504 of 3141"
"Orange County",18117,51.7,10147,"1498 of 3141"
"Washington County",18175,51.7,14381,"1495 of 3141"
"Perry County",18123,51.7,9948,"1489 of 3141"
"Howard County",18067,51.8,42681,"1486 of 3141"
"Shelby County",18145,51.8,22964,"1479 of 3141"
"Starke County",18149,52.2,11980,"1383 of 3141"
"Rush County",18139,52.2,8748,"1378 of 3141"
"Sullivan County",18153,52.2,10909,"1375 of 3141"
"White County",18181,52.3,12701,"1348 of 3141"
"Harrison County",18061,52.4,20671,"1324 of 3141"
"Randolph County",18135,52.4,13209,"1321 of 3141"
"Franklin County",18047,52.5,11988,"1301 of 3141"
"Fulton County",18049,52.5,10658,"1297 of 3141"
"Parke County",18121,52.5,8964,"1288 of 3141"
"Union County",18161,52.5,3796,"1286 of 3141"
"Wabash County",18169,52.6,16752,"1269 of 3141"
"Martin County",18101,52.8,5396,"1224 of 3141"
"Steuben County",18151,53.0,18247,"1190 of 3141"
"Carroll County",18015,53.0,10596,"1177 of 3141"
"Henry County",18065,53.0,25787,"1174 of 3141"
"Lawrence County",18093,53.0,24221,"1165 of 3141"
"Posey County",18129,53.1,13585,"1155 of 3141"
"Newton County",18111,53.1,7465,"1147 of 3141"
"Fayette County",18041,53.2,12456,"1139 of 3141"
"Dearborn County",18029,53.4,26490,"1080 of 3141"
"Vermillion County",18165,53.5,8375,"1054 of 3141"
"Greene County",18055,53.7,17408,"1019 of 3141"
"Crawford County",18025,54.4,5767,"877 of 3141"
"Fountain County",18045,54.4,9046,"873 of 3141"
"Tipton County",18159,54.6,8341,"846 of 3141"
"Spencer County",18147,54.6,11259,"827 of 3141"
"Owen County",18119,54.8,11487,"805 of 3141"
"Pike County",18125,55.1,6875,"746 of 3141"
"Blackford County",18009,55.2,6747,"721 of 3141"
"Warren County",18171,55.9,4626,"619 of 3141"
"Ohio County",18115,57.6,3402,"408 of 3141"
"Brown County",18013,61.4,9210,"168 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
