------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Indiana",18000,93.3,6172450,"33 of 52"
"Lake County",18089,81.6,398819,"420 of 3141"
"Elkhart County",18039,84.6,171745,"502 of 3141"
"Clinton County",18023,84.8,27523,"507 of 3141"
"Cass County",18017,85.4,32681,"528 of 3141"
"Noble County",18113,89.8,42596,"715 of 3141"
"Marion County",18097,89.9,845355,"723 of 3141"
"Marshall County",18099,90.3,42235,"762 of 3141"
"Porter County",18127,90.4,151324,"768 of 3141"
"St. Joseph County",18141,91.7,246190,"864 of 3141"
"Tippecanoe County",18157,91.9,170946,"885 of 3141"
"White County",18181,92.1,22358,"897 of 3141"
"Kosciusko County",18085,92.1,72519,"898 of 3141"
"Allen County",18003,92.8,341201,"974 of 3141"
"Dubois County",18037,92.9,39383,"992 of 3141"
"Bartholomew County",18005,93.5,75771,"1058 of 3141"
"Jackson County",18071,93.6,40960,"1067 of 3141"
"LaPorte County",18091,93.7,103904,"1088 of 3141"
"Newton County",18111,93.9,13197,"1107 of 3141"
"Jasper County",18073,94.1,31459,"1139 of 3141"
"Clark County",18019,94.7,108854,"1263 of 3141"
"Benton County",18007,94.9,8243,"1298 of 3141"
"Fulton County",18049,95.0,19282,"1316 of 3141"
"Daviess County",18027,95.2,31215,"1366 of 3141"
