------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=18&areatype=county&cancer=066&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'cancer': '066', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=18&areatype=county&cancer=066&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Indiana by County

"Prostate (All Stages^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Indiana(6,10)",18000,***,91.8 ,90.3, 93.2,3356,falling,-1.5 ,-2.1, -0.8
"US (SEER+NPCR)(1,10)",00000,***,104.1 ,103.8, 104.3,187184,stable,-2.2 ,-5.2, 0.9
"Hendricks County(6,10)",18063,***,118.7 ,107.9, 130.4,95,stable,-2.8 ,-10.4, 5.6
"Morgan County(6,10)",18109,***,117.9 ,103.4, 134,52,stable,2.9 ,-7.8, 14.8
"Hamilton County(6,10)",18057,***,117.7 ,109.3, 126.5,162,rising,8.1 ,2.4, 14.0
"Jefferson County(6,10)",18077,***,114.6 ,93.7, 139,23,stable,-5.1 ,-21.2, 14.3
"Monroe County(6,10)",18105,***,111.8 ,100.1, 124.6,69,stable,7.6 ,-1.8, 18.0
"Benton County(6,10)",18007,***,111.2 ,74.3, 161.2,6,stable,-1.4 ,-57.3, 128.0
"Decatur County(6,10)",18031,***,110.7 ,88.2, 137.4,17,stable,-12.9 ,-25.8, 2.2
"Lake County(6,10)",18089,***,108.7 ,103.1, 114.5,300,stable,-4.8 ,-12.8, 3.9
"Warren County(6,10)",18171,***,108.3 ,74.2, 155,7,stable,19.0 ,-19.5, 75.8
"Dubois County(6,10)",18037,***,108 ,90.6, 128.1,28,stable,8.4 ,-11.3, 32.6
"LaPorte County(6,10)",18091,***,107.8 ,96.7, 119.8,74,falling,-6.7 ,-10.4, -2.9
"Porter County(6,10)",18127,***,107.4 ,98, 117.5,104,stable,-2.6 ,-18.1, 15.9
"Grant County(6,10)",18053,***,104.6 ,91.2, 119.5,46,stable,-4.5 ,-10.8, 2.3
"Tipton County(6,10)",18159,***,104 ,78.3, 136.4,11,stable,17.0 ,-16.9, 64.6
"Starke County(6,10)",18149,***,103 ,80.8, 129.9,16,stable,-1.5 ,-27.0, 32.9
"Ripley County(6,10)",18137,***,102.1 ,81.7, 126.4,18,stable,12.4 ,-3.2, 30.5
"Randolph County(6,10)",18135,***,100.8 ,80.2, 125.4,17,stable,-1.3 ,-36.5, 53.5
"Clay County(6,10)",18021,***,100.6 ,80, 125.2,17,stable,-5.0 ,-34.7, 38.3
"Warrick County(6,10)",18173,***,100.4 ,86.2, 116.3,38,stable,-3.5 ,-17.5, 13.0
"Knox County(6,10)",18083,***,100.3 ,82.1, 121.6,22,stable,-3.8 ,-27.0, 26.7
"Pulaski County(6,10)",18131,***,100.3 ,73, 135.6,9,falling,-19.6 ,-24.1, -14.8
"Delaware County(6,10)",18035,***,99.4 ,88.9, 110.9,67,stable,-7.9 ,-20.8, 7.1
"Marion County(6,10)",18097,***,98.8 ,94.5, 103.3,422,rising,8.5 ,1.6, 15.9
"Vermillion County(6,10)",18165,***,98.4 ,72.9, 130.9,11,stable,1.3 ,-16.3, 22.6
"Boone County(6,10)",18011,***,98 ,83, 115.1,32,stable,2.9 ,-15.6, 25.3
"Dearborn County(6,10)",18029,***,97.9 ,83.1, 114.8,33,stable,-2.6 ,-13.5, 9.6
"Clinton County(6,10)",18023,***,97.5 ,78.2, 120.4,18,rising,10.9 ,2.9, 19.4
"Howard County(6,10)",18067,***,96.9 ,85.1, 109.9,51,stable,3.1 ,-8.6, 16.2
"Adams County(6,10)",18001,***,96.7 ,76.8, 120.1,17,stable,-1.6 ,-17.5, 17.4
"Owen County(6,10)",18119,***,96.4 ,74.1, 124.1,14,stable,16.3 ,-13.7, 56.8
"Vanderburgh County(6,10)",18163,***,96 ,87.5, 105.1,100,stable,-2.5 ,-11.3, 7.1
"Posey County(6,10)",18129,***,95.5 ,75, 120.3,16,stable,-17.0 ,-41.7, 18.1
"Carroll County(6,10)",18015,***,94.4 ,72.4, 121.7,13,rising,12.2 ,6.3, 18.5
"Gibson County(6,10)",18051,***,93.7 ,75.5, 115.1,19,stable,1.7 ,-19.2, 28.0
"Pike County(6,10)",18125,***,93.4 ,66.7, 128.5,8,stable,-9.3 ,-45.0, 49.5
"Union County(6,10)",18161,***,92.8 ,56.9, 145,4,stable,3.9 ,-31.4, 57.2
"Wayne County(6,10)",18177,***,92.7 ,80, 107,39,stable,-8.9 ,-26.0, 12.1
"Newton County(6,10)",18111,***,92.6 ,67.3, 125.6,9,stable,-12.6 ,-37.4, 22.1
"Lawrence County(6,10)",18093,***,92.4 ,77.8, 109.3,29,stable,-5.5 ,-21.3, 13.5
"Vigo County(6,10)",18167,***,91.8 ,80.8, 104,53,stable,-11.3 ,-26.0, 6.4
"Allen County(6,10)",18003,***,91.1 ,84.9, 97.7,171,stable,-4.9 ,-14.0, 5.2
"Henry County(6,10)",18065,***,90.4 ,76.1, 106.8,29,stable,-2.6 ,-14.5, 11.1
"Hancock County(6,10)",18059,***,89.7 ,76.9, 104,38,stable,1.2 ,-14.5, 19.8
"Daviess County(6,10)",18027,***,89.6 ,70.9, 111.9,16,stable,-1.3 ,-26.1, 31.8
"Shelby County(6,10)",18145,***,89.6 ,74.1, 107.7,25,stable,-4.8 ,-9.9, 0.6
"Wabash County(6,10)",18169,***,88.8 ,71.5, 109.4,19,stable,10.5 ,-9.1, 34.4
"Madison County(6,10)",18095,***,88.6 ,79.5, 98.4,72,falling,-7.6 ,-10.8, -4.2
"Brown County(6,10)",18013,***,87.8 ,65.2, 117.5,11,stable,-6.8 ,-34.1, 31.7
"Spencer County(6,10)",18147,***,87.4 ,66.8, 113,13,stable,-1.4 ,-28.7, 36.3
"Blackford County(6,10)",18009,***,86.5 ,60.9, 120.8,8,stable,-6.1 ,-41.4, 50.2
"Jackson County(6,10)",18071,***,86.1 ,69.9, 105,21,stable,2.1 ,-21.7, 33.1
"Cass County(6,10)",18017,***,85.7 ,69.7, 104.6,21,stable,-14.9 ,-34.2, 10.0
"Ohio County(6,10)",18115,***,84.8 ,50.3, 138.2,4,*,*,*,*
"Johnson County(6,10)",18081,***,84.3 ,75.2, 94.2,66,stable,8.1 ,-4.8, 22.7
"Rush County(6,10)",18139,***,84 ,61.4, 113.1,9,stable,3.2 ,-27.8, 47.6
"Marshall County(6,10)",18099,***,83.5 ,69, 100.4,24,falling,-21.6 ,-33.8, -7.2
