------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Iowa",19000,5.0,156479,"34 of 51"
"United States",00000,13.4,43028127,"N/A"
"Howard County",19089,0.3,32,"3057 of 3140"
"Grundy County",19075,0.5,56,"3016 of 3140"
"Harrison County",19085,0.6,84,"2943 of 3140"
"Monona County",19133,0.7,58,"2899 of 3140"
"Cedar County",19031,0.7,125,"2876 of 3140"
"Benton County",19011,0.8,193,"2824 of 3140"
"Audubon County",19009,0.8,43,"2822 of 3140"
"Davis County",19051,0.8,73,"2769 of 3140"
"Butler County",19023,0.8,125,"2759 of 3140"
"Keokuk County",19107,0.9,87,"2753 of 3140"
"Dickinson County",19059,0.9,146,"2749 of 3140"
"Appanoose County",19007,0.9,109,"2742 of 3140"
"Wayne County",19185,0.9,57,"2727 of 3140"
"Adams County",19003,0.9,34,"2726 of 3140"
"Delaware County",19055,1.0,165,"2684 of 3140"
"Calhoun County",19025,1.0,96,"2663 of 3140"
"Jackson County",19097,1.0,196,"2641 of 3140"
"Mitchell County",19131,1.0,109,"2630 of 3140"
"Van Buren County",19177,1.0,75,"2625 of 3140"
"Mills County",19129,1.0,154,"2619 of 3140"
"Worth County",19195,1.0,78,"2615 of 3140"
"Guthrie County",19077,1.1,113,"2601 of 3140"
"Ringgold County",19159,1.1,53,"2599 of 3140"
"Lee County",19111,1.1,380,"2576 of 3140"
"Iowa County",19095,1.1,178,"2572 of 3140"
"Kossuth County",19109,1.1,167,"2565 of 3140"
"Ida County",19093,1.2,81,"2526 of 3140"
"Carroll County",19027,1.2,238,"2524 of 3140"
"Madison County",19121,1.2,185,"2509 of 3140"
"Jasper County",19099,1.2,440,"2485 of 3140"
"Warren County",19181,1.2,584,"2481 of 3140"
"Jones County",19105,1.2,246,"2479 of 3140"
"Lyon County",19119,1.3,150,"2406 of 3140"
"Adair County",19001,1.3,92,"2405 of 3140"
"Buchanan County",19019,1.3,273,"2395 of 3140"
"Sac County",19161,1.3,130,"2387 of 3140"
"Cass County",19029,1.4,187,"2316 of 3140"
"Fayette County",19065,1.4,292,"2286 of 3140"
"Montgomery County",19137,1.5,155,"2233 of 3140"
"Boone County",19015,1.6,412,"2200 of 3140"
"Bremer County",19017,1.6,397,"2176 of 3140"
"Chickasaw County",19037,1.6,197,"2164 of 3140"
"Cherokee County",19035,1.7,192,"2137 of 3140"
"Des Moines County",19057,1.7,673,"2120 of 3140"
"Hancock County",19081,1.8,201,"2028 of 3140"
"Monroe County",19135,1.9,147,"2012 of 3140"
"Clinton County",19045,1.9,887,"2000 of 3140"
"Fremont County",19071,2.0,138,"1941 of 3140"
"Winneshiek County",19191,2.0,414,"1926 of 3140"
"Clay County",19041,2.1,346,"1860 of 3140"
"Decatur County",19053,2.1,173,"1847 of 3140"
"Union County",19175,2.1,267,"1846 of 3140"
"Clayton County",19043,2.2,383,"1827 of 3140"
"Lucas County",19117,2.2,192,"1792 of 3140"
"Shelby County",19165,2.2,263,"1789 of 3140"
"Plymouth County",19149,2.3,565,"1776 of 3140"
"Mahaska County",19123,2.3,506,"1770 of 3140"
"Cerro Gordo County",19033,2.3,979,"1767 of 3140"
"Marion County",19125,2.4,801,"1711 of 3140"
"Winnebago County",19189,2.5,259,"1694 of 3140"
"Greene County",19073,2.5,223,"1689 of 3140"
"Pocahontas County",19151,2.5,175,"1665 of 3140"
"Page County",19145,2.6,404,"1610 of 3140"
