------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Kansas",20000,3.4,96720,"30 of 51"
"Greeley County",20071,1.0,12,"50 of 3140"
"Wichita County",20203,1.3,27,"86 of 3140"
"Stanton County",20187,1.3,27,"96 of 3140"
"Cheyenne County",20023,1.4,37,"126 of 3140"
"Bourbon County",20011,1.5,215,"142 of 3140"
"Cherokee County",20021,1.5,311,"155 of 3140"
"Republic County",20157,1.6,73,"168 of 3140"
"Barber County",20007,1.7,81,"203 of 3140"
"Sedgwick County",20173,1.8,9132,"252 of 3140"
"Smith County",20183,1.9,68,"268 of 3140"
"Harper County",20077,1.9,106,"271 of 3140"
"Morton County",20129,2.0,58,"329 of 3140"
"Johnson County",20091,2.1,12163,"402 of 3140"
"Ness County",20135,2.2,63,"416 of 3140"
"Finney County",20055,2.4,862,"533 of 3140"
"Haskell County",20081,2.4,96,"551 of 3140"
"Grant County",20067,2.4,186,"565 of 3140"
"Hamilton County",20075,2.5,64,"608 of 3140"
"Kiowa County",20097,2.5,64,"662 of 3140"
"Seward County",20175,2.6,577,"663 of 3140"
"Atchison County",20005,2.6,415,"668 of 3140"
"Ford County",20057,2.6,892,"707 of 3140"
"Wyandotte County",20209,2.6,4256,"734 of 3140"
"Graham County",20065,2.7,67,"736 of 3140"
"Washington County",20201,2.8,152,"815 of 3140"
"Lane County",20101,2.8,46,"825 of 3140"
"Stevens County",20189,2.9,164,"901 of 3140"
"Edwards County",20047,2.9,85,"911 of 3140"
"Shawnee County",20177,2.9,5176,"937 of 3140"
"Morris County",20127,3.0,166,"970 of 3140"
"Linn County",20107,3.1,293,"1023 of 3140"
"Comanche County",20033,3.1,54,"1045 of 3140"
"Brown County",20013,3.2,304,"1100 of 3140"
"Harvey County",20079,3.2,1111,"1160 of 3140"
"Franklin County",20059,3.3,828,"1185 of 3140"
"Kingman County",20095,3.3,247,"1189 of 3140"
"Montgomery County",20125,3.4,1106,"1224 of 3140"
"Doniphan County",20043,3.4,264,"1291 of 3140"
"Rawlins County",20153,3.5,86,"1314 of 3140"
"Gove County",20063,3.5,90,"1322 of 3140"
"Jewell County",20089,3.5,102,"1344 of 3140"
"Wallace County",20199,3.5,55,"1344 of 3140"
"Stafford County",20185,3.5,149,"1374 of 3140"
"Phillips County",20147,3.6,191,"1389 of 3140"
"McPherson County",20113,3.6,1021,"1416 of 3140"
"Elk County",20049,3.6,92,"1417 of 3140"
"Greenwood County",20073,3.6,221,"1418 of 3140"
"Logan County",20109,3.6,99,"1430 of 3140"
"Rooks County",20163,3.8,191,"1541 of 3140"
"Marshall County",20117,3.8,367,"1547 of 3140"
"Rush County",20165,3.9,119,"1611 of 3140"
"Ottawa County",20143,3.9,232,"1641 of 3140"
"Labette County",20099,3.9,795,"1660 of 3140"
"Leavenworth County",20103,4.0,3125,"1697 of 3140"
"Trego County",20195,4.0,116,"1711 of 3140"
"Marion County",20115,4.0,480,"1713 of 3140"
"Clark County",20025,4.0,83,"1714 of 3140"
"Wilson County",20205,4.1,354,"1738 of 3140"
"Saline County",20169,4.1,2201,"1741 of 3140"
"Cowley County",20035,4.1,1451,"1771 of 3140"
"Kearny County",20093,4.1,161,"1780 of 3140"
"Sherman County",20181,4.2,249,"1829 of 3140"
"Barton County",20009,4.2,1134,"1845 of 3140"
"Dickinson County",20041,4.3,816,"1879 of 3140"
"Allen County",20001,4.3,546,"1898 of 3140"
"Pratt County",20151,4.4,417,"1905 of 3140"
"Jackson County",20085,4.4,574,"1910 of 3140"
"Osage County",20139,4.4,691,"1923 of 3140"
"Decatur County",20039,4.4,126,"1935 of 3140"
"Sumner County",20191,4.5,1037,"1998 of 3140"
"Coffey County",20031,4.5,371,"2000 of 3140"
"Crawford County",20037,4.6,1760,"2025 of 3140"
"Gray County",20069,4.6,275,"2061 of 3140"
"Lyon County",20111,4.7,1539,"2076 of 3140"
"Chautauqua County",20019,4.7,159,"2078 of 3140"
"Butler County",20015,4.7,3067,"2079 of 3140"
"Anderson County",20003,4.7,364,"2099 of 3140"
"Thomas County",20193,4.7,365,"2100 of 3140"
"Miami County",20121,4.7,1542,"2123 of 3140"
"Jefferson County",20087,4.9,906,"2182 of 3140"
"Meade County",20119,4.9,209,"2221 of 3140"
"Reno County",20155,5.0,3109,"2233 of 3140"
"Osborne County",20141,5.1,184,"2284 of 3140"
"Woodson County",20207,5.2,162,"2329 of 3140"
"Hodgeman County",20083,5.2,97,"2351 of 3140"
"Neosho County",20133,5.3,846,"2402 of 3140"
"Nemaha County",20131,5.4,533,"2426 of 3140"
"Sheridan County",20179,5.4,132,"2452 of 3140"
"Geary County",20061,5.5,1894,"2462 of 3140"
"Cloud County",20029,5.5,495,"2471 of 3140"
"Clay County",20027,5.5,446,"2482 of 3140"
"Pottawatomie County",20149,5.6,1281,"2515 of 3140"
"Chase County",20017,5.6,149,"2526 of 3140"
"Lincoln County",20105,6.1,188,"2649 of 3140"
"Douglas County",20045,6.1,7094,"2652 of 3140"
"Mitchell County",20123,6.3,388,"2702 of 3140"
"Wabaunsee County",20197,6.4,437,"2720 of 3140"
"Ellis County",20051,6.6,1876,"2753 of 3140"
"Riley County",20161,8.0,5953,"2950 of 3140"
"Ellsworth County",20053,8.0,503,"2952 of 3140"
