------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Kentucky",21000,59003.000000000,"47 of 52"
"United States",00000,70850.000000000,"N/A"
"McCreary County",21147,25401.000000000,"3138 of 3141"
"Bell County",21013,31128.000000000,"3127 of 3141"
"Breathitt County",21025,31748.000000000,"3123 of 3141"
"Clay County",21051,31990.000000000,"3121 of 3141"
"Harlan County",21095,32414.000000000,"3116 of 3141"
"Knox County",21121,32795.000000000,"3114 of 3141"
"Elliott County",21063,32826.000000000,"3113 of 3141"
"Wolfe County",21237,33125.000000000,"3112 of 3141"
"Lee County",21129,35062.000000000,"3097 of 3141"
"Clinton County",21053,37261.000000000,"3077 of 3141"
"Leslie County",21131,37331.000000000,"3075 of 3141"
"Letcher County",21133,37542.000000000,"3073 of 3141"
"Floyd County",21071,37897.000000000,"3066 of 3141"
"Magoffin County",21153,38239.000000000,"3062 of 3141"
"Jackson County",21109,38369.000000000,"3059 of 3141"
"Knott County",21119,38472.000000000,"3058 of 3141"
"Owsley County",21189,38867.000000000,"3055 of 3141"
"Estill County",21065,39844.000000000,"3040 of 3141"
"Martin County",21159,40551.000000000,"3021 of 3141"
"Fulton County",21075,40611.000000000,"3017 of 3141"
"Pike County",21195,41104.000000000,"2997 of 3141"
"Morgan County",21175,41341.000000000,"2983 of 3141"
"Lawrence County",21127,41633.000000000,"2970 of 3141"
"Metcalfe County",21169,42323.000000000,"2946 of 3141"
"Bath County",21011,42390.000000000,"2944 of 3141"
"Wayne County",21231,42399.000000000,"2942 of 3141"
"Casey County",21045,42740.000000000,"2931 of 3141"
"Carter County",21043,42798.000000000,"2928 of 3141"
"Perry County",21193,43024.000000000,"2922 of 3141"
"Cumberland County",21057,43041.000000000,"2920 of 3141"
"Russell County",21207,43333.000000000,"2910 of 3141"
"Grayson County",21085,43815.000000000,"2890 of 3141"
"Whitley County",21235,43904.000000000,"2885 of 3141"
"Adair County",21001,44873.000000000,"2842 of 3141"
"Lewis County",21135,45348.000000000,"2817 of 3141"
"Hart County",21099,45460.000000000,"2806 of 3141"
"Taylor County",21217,45787.000000000,"2793 of 3141"
"Laurel County",21125,45838.000000000,"2784 of 3141"
"Lincoln County",21137,46332.000000000,"2748 of 3141"
"Johnson County",21115,46920.000000000,"2715 of 3141"
"Menifee County",21165,46962.000000000,"2713 of 3141"
"Barren County",21009,47197.000000000,"2695 of 3141"
"Ohio County",21183,47688.000000000,"2663 of 3141"
"Pulaski County",21199,47785.000000000,"2659 of 3141"
"Rockcastle County",21203,47950.000000000,"2650 of 3141"
"Todd County",21219,48080.000000000,"2644 of 3141"
"Carroll County",21041,48410.000000000,"2624 of 3141"
"Christian County",21047,48734.000000000,"2605 of 3141"
"Green County",21087,48768.000000000,"2602 of 3141"
"Hickman County",21105,48892.000000000,"2592 of 3141"
"Monroe County",21171,49074.000000000,"2582 of 3141"
"Larue County",21123,49393.000000000,"2559 of 3141"
"Edmonson County",21061,49402.000000000,"2556 of 3141"
"Powell County",21197,49564.000000000,"2543 of 3141"
"Webster County",21233,49579.000000000,"2541 of 3141"
"Grant County",21081,49805.000000000,"2526 of 3141"
"Fleming County",21069,50449.000000000,"2466 of 3141"
"Robertson County",21201,50486.000000000,"2465 of 3141"
"Rowan County",21205,51043.000000000,"2404 of 3141"
"Allen County",21003,51341.000000000,"2383 of 3141"
"Nicholas County",21181,51359.000000000,"2380 of 3141"
"Butler County",21031,51453.000000000,"2369 of 3141"
"Owen County",21187,51524.000000000,"2362 of 3141"
"Carlisle County",21039,51994.000000000,"2319 of 3141"
"Muhlenberg County",21177,52140.000000000,"2298 of 3141"
"Graves County",21083,52914.000000000,"2217 of 3141"
"Union County",21225,52986.000000000,"2213 of 3141"
"Montgomery County",21173,53083.000000000,"2202 of 3141"
"Gallatin County",21077,53415.000000000,"2184 of 3141"
"Marion County",21155,53474.000000000,"2182 of 3141"
"Logan County",21141,54266.000000000,"2120 of 3141"
"Ballard County",21007,54776.000000000,"2077 of 3141"
"Caldwell County",21033,54840.000000000,"2069 of 3141"
"Livingston County",21139,55104.000000000,"2046 of 3141"
"McLean County",21149,55139.000000000,"2044 of 3141"
"Boyle County",21021,55167.000000000,"2042 of 3141"
"Crittenden County",21055,55497.000000000,"2010 of 3141"
"Simpson County",21213,55820.000000000,"1978 of 3141"
"Henderson County",21101,56053.000000000,"1955 of 3141"
"Calloway County",21035,56556.000000000,"1914 of 3141"
"Hopkins County",21107,56627.000000000,"1906 of 3141"
"Hancock County",21091,56799.000000000,"1888 of 3141"
"Greenup County",21089,56809.000000000,"1886 of 3141"
"Bracken County",21023,57551.000000000,"1806 of 3141"
"Mason County",21161,57585.000000000,"1802 of 3141"
"Trimble County",21223,57829.000000000,"1785 of 3141"
"Henry County",21103,57898.000000000,"1777 of 3141"
"Washington County",21229,57930.000000000,"1773 of 3141"
"Harrison County",21097,58183.000000000,"1741 of 3141"
"Boyd County",21019,58594.000000000,"1701 of 3141"
"Breckinridge County",21027,58692.000000000,"1696 of 3141"
"Garrard County",21079,59262.000000000,"1637 of 3141"
"Bourbon County",21017,59520.000000000,"1607 of 3141"
"Pendleton County",21191,59809.000000000,"1574 of 3141"
"Warren County",21227,60869.000000000,"1450 of 3141"
"Lyon County",21143,61094.000000000,"1426 of 3141"
"McCracken County",21145,61121.000000000,"1423 of 3141"
"Daviess County",21059,62027.000000000,"1344 of 3141"
"Mercer County",21167,62149.000000000,"1332 of 3141"
"Meade County",21163,62452.000000000,"1297 of 3141"
"Madison County",21151,62559.000000000,"1288 of 3141"
"Trigg County",21221,62847.000000000,"1263 of 3141"
"Marshall County",21157,63159.000000000,"1226 of 3141"
"Jessamine County",21113,63313.000000000,"1208 of 3141"
"Hardin County",21093,64993.000000000,"1074 of 3141"
"Clark County",21049,65000.000000000,"1069 of 3141"
"Anderson County",21005,65605.000000000,"1018 of 3141"
"Franklin County",21073,66952.000000000,"922 of 3141"
"Nelson County",21179,67030.000000000,"918 of 3141"
"Jefferson County",21111,68608.000000000,"805 of 3141"
"Bullitt County",21029,69299.000000000,"765 of 3141"
"Fayette County",21067,71698.000000000,"638 of 3141"
"Woodford County",21239,71898.000000000,"622 of 3141"
"Kenton County",21117,73318.000000000,"529 of 3141"
"Shelby County",21211,74261.000000000,"482 of 3141"
"Spencer County",21215,75463.000000000,"446 of 3141"
"Scott County",21209,77141.000000000,"386 of 3141"
"Campbell County",21037,77154.000000000,"385 of 3141"
"Boone County",21015,85821.000000000,"215 of 3141"
"Oldham County",21185,104321.000000000,"58 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
