------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Kentucky",21000,8.0,353088,"26 of 52"
"United States",00000,12.7,40610815,"N/A"
"Trimble County",21223,0.0,0,"3052 of 3141"
"Magoffin County",21153,0.0,3,"3044 of 3141"
"Bracken County",21023,0.0,2,"3043 of 3141"
"Menifee County",21165,0.1,4,"3005 of 3141"
"Jackson County",21109,0.1,16,"2948 of 3141"
"Leslie County",21131,0.1,13,"2943 of 3141"
"Estill County",21065,0.1,19,"2929 of 3141"
"Livingston County",21139,0.2,17,"2877 of 3141"
"Rockcastle County",21203,0.2,34,"2858 of 3141"
"Powell County",21197,0.3,32,"2803 of 3141"
"Letcher County",21133,0.3,67,"2774 of 3141"
"Wolfe County",21237,0.3,24,"2712 of 3141"
"McLean County",21149,0.3,31,"2711 of 3141"
"Butler County",21031,0.4,47,"2684 of 3141"
"Lawrence County",21127,0.4,59,"2680 of 3141"
"Lewis County",21135,0.4,54,"2651 of 3141"
"Knott County",21119,0.4,64,"2638 of 3141"
"Johnson County",21115,0.5,116,"2524 of 3141"
"Russell County",21207,0.5,91,"2510 of 3141"
"Clinton County",21053,0.5,56,"2469 of 3141"
"Marshall County",21157,0.6,178,"2447 of 3141"
"Casey County",21045,0.6,102,"2357 of 3141"
"Bullitt County",21029,0.7,534,"2308 of 3141"
"Laurel County",21125,0.7,423,"2277 of 3141"
"Metcalfe County",21169,0.7,71,"2271 of 3141"
"Greenup County",21089,0.8,286,"2199 of 3141"
"Pike County",21195,0.8,513,"2167 of 3141"
"Carter County",21043,0.8,231,"2161 of 3141"
"Grant County",21081,0.9,214,"2143 of 3141"
"Pendleton County",21191,0.9,128,"2121 of 3141"
"Floyd County",21071,0.9,335,"2116 of 3141"
"Garrard County",21079,0.9,161,"2093 of 3141"
"Pulaski County",21199,1.0,632,"2046 of 3141"
"Breathitt County",21025,1.0,133,"2035 of 3141"
"Bath County",21011,1.0,126,"2020 of 3141"
"Spencer County",21215,1.0,188,"2010 of 3141"
"Whitley County",21235,1.2,434,"1935 of 3141"
"Knox County",21121,1.2,391,"1920 of 3141"
"Lee County",21129,1.3,85,"1911 of 3141"
"Nicholas County",21181,1.3,93,"1891 of 3141"
"Grayson County",21085,1.3,346,"1888 of 3141"
"Crittenden County",21055,1.3,123,"1873 of 3141"
"Hancock County",21091,1.4,121,"1847 of 3141"
"Rowan County",21205,1.4,346,"1842 of 3141"
"Wayne County",21231,1.5,307,"1807 of 3141"
"Gallatin County",21077,1.5,131,"1793 of 3141"
"Edmonson County",21061,1.6,187,"1773 of 3141"
"Perry County",21193,1.6,429,"1766 of 3141"
"Carlisle County",21039,1.6,78,"1755 of 3141"
"Harrison County",21097,1.7,319,"1713 of 3141"
"Breckinridge County",21027,1.7,348,"1706 of 3141"
"Fleming County",21069,1.7,254,"1701 of 3141"
"Owen County",21187,1.8,191,"1692 of 3141"
"Robertson County",21201,1.9,40,"1668 of 3141"
