------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana (6, 7)",22000,No,176.4 ,174.4, 178.4,6309,falling,-1.1 ,-1.7, -0.5
"United States (6)",00000,No,165.4 ,165.2, 165.7,465052,falling,-1.4 ,-1.4, -1.3
"Catahoula Parish (6, 7)",22025,No,272.6 ,226.2, 326.6,26,stable,1.1 ,-0.3, 2.5
"East Carroll Parish (6, 7)",22035,No,228.9 ,163.9, 317.7,8,*,*,*,*
"Bienville Parish (6, 7)",22013,No,219.7 ,182.1, 263.7,26,*,*,*,*
"Allen Parish (6, 7)",22003,No,218.5 ,191.3, 248.7,47,stable,-0.6 ,-2.2, 0.9
"Jefferson Davis Parish (6, 7)",22053,No,218.4 ,195.6, 243.2,69,*,*,*,*
"St. Bernard Parish (6, 7)",22087,No,216.6 ,192.3, 243.1,62,*,*,*,*
"Vernon Parish (6, 7)",22115,No,215.7 ,194.4, 238.6,78,stable,0.3 ,-0.7, 1.4
"Washington Parish (6, 7)",22117,No,208.8 ,189.6, 229.6,91,stable,-0.6 ,-1.6, 0.4
