------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=006&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '006', 'type': 'death', 'file_name': 'deathrates_034.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=006&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <65"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,Yes,65.5 ,64.4, 66.5,3276,falling,-1.5 ,-1.6, -1.5
"United States",00000,Yes,51.3 ,51.2, 51.4,177172,falling,-1.4 ,-1.6, -1.3
"East Carroll Parish",22035,Yes,112.2 ,81, 152.1,9,stable,0.7 ,-0.8, 2.3
"Catahoula Parish",22025,Yes,105.6 ,78.7, 139.1,11,stable,1.3 ,-0.2, 2.7
"Bienville Parish",22013,Yes,102.6 ,79.7, 130.5,15,stable,0.1 ,-1.2, 1.4
"Red River Parish",22081,Yes,95.9 ,69.6, 129.7,9,stable,-0.3 ,-2.0, 1.4
"West Carroll Parish",22123,Yes,94.9 ,71.2, 124.4,12,rising,16.6 ,3.2, 31.6
"Concordia Parish",22029,Yes,91.8 ,74.1, 112.8,20,stable,0.2 ,-0.8, 1.1
"Iberville Parish",22047,Yes,89.3 ,76.1, 104.4,34,stable,-0.2 ,-1.5, 1.0
"Jefferson Davis Parish",22053,Yes,83.8 ,70.1, 99.6,28,stable,-0.9 ,-1.9, 0.1
"St. Landry Parish",22097,Yes,83.5 ,74.9, 92.8,75,falling,-0.8 ,-1.3, -0.3
"East Feliciana Parish",22037,Yes,82.8 ,66.4, 102.5,19,stable,-1.2 ,-2.5, 0.1
"Caldwell Parish",22021,Yes,82.2 ,59.1, 112,9,stable,-0.8 ,-2.2, 0.7
"Winn Parish",22127,Yes,81.6 ,62.3, 105.4,13,falling,-1.3 ,-2.4, -0.3
"Morehouse Parish",22067,Yes,81 ,66.5, 97.9,24,stable,-0.8 ,-1.7, 0.2
"West Feliciana Parish",22125,Yes,80.7 ,63.6, 101.9,16,falling,-1.9 ,-3.6, -0.2
"Madison Parish",22065,Yes,79.9 ,58.6, 106.7,10,falling,-1.7 ,-3.4, -0.1
"Assumption Parish",22007,Yes,78 ,63, 95.8,20,falling,-1.6 ,-2.8, -0.5
"De Soto Parish",22031,Yes,77.8 ,64.3, 93.5,25,falling,-1.1 ,-2.2, -0.1
"Webster Parish",22119,Yes,77.4 ,66.1, 90.2,36,falling,-3.7 ,-6.2, -1.1
"Union Parish",22111,Yes,77.1 ,61.4, 95.8,19,stable,-1.5 ,-3.0, 0.1
"Washington Parish",22117,Yes,75.5 ,65, 87.3,40,falling,-1.4 ,-2.3, -0.4
"Pointe Coupee Parish",22077,Yes,75.3 ,60.2, 93.3,20,falling,-1.7 ,-3.1, -0.4
"Acadia Parish",22001,Yes,74.4 ,65.1, 84.7,49,falling,-1.0 ,-1.8, -0.3
"St. Martin Parish",22099,Yes,74.2 ,64.5, 85,45,falling,-1.6 ,-2.5, -0.7
"Iberia Parish",22045,Yes,73.7 ,65.1, 83.1,57,falling,-1.2 ,-2.0, -0.4
"Grant Parish",22043,Yes,73.5 ,58.5, 91.4,17,stable,-0.8 ,-2.3, 0.7
"Terrebonne Parish",22109,Yes,73.4 ,66.6, 80.7,88,falling,-1.1 ,-1.6, -0.7
"Caddo Parish",22017,Yes,73.3 ,68.6, 78.1,201,falling,-0.9 ,-1.3, -0.5
"Calcasieu Parish",22019,Yes,73.2 ,68, 78.7,156,falling,-1.1 ,-1.5, -0.6
"St. John the Baptist Parish",22095,Yes,73 ,62.6, 84.8,37,stable,-0.8 ,-1.6, 0.1
"Avoyelles Parish",22009,Yes,72.6 ,61.6, 85.2,33,stable,-0.7 ,-1.8, 0.4
"Jackson Parish",22049,Yes,71.3 ,54, 92.7,12,falling,-2.0 ,-3.3, -0.6
"St. Mary Parish",22101,Yes,71.2 ,61.7, 81.8,43,falling,-1.2 ,-2.1, -0.4
"Tangipahoa Parish",22105,Yes,71.1 ,64.6, 78,95,falling,-1.3 ,-2.0, -0.5
"Ouachita Parish",22073,Yes,69.4 ,63.6, 75.6,112,falling,-1.2 ,-1.8, -0.6
"LaFourche Parish",22057,Yes,68.7 ,61.6, 76.4,72,stable,-0.7 ,-1.6, 0.1
"St. James Parish",22093,Yes,67.9 ,53.5, 85.2,17,falling,-1.5 ,-2.6, -0.4
"St. Helena Parish",22091,Yes,67.5 ,46.9, 94.7,8,stable,-0.4 ,-2.1, 1.3
"Vernon Parish",22115,Yes,67.2 ,56.6, 79.1,29,stable,-0.9 ,-2.1, 0.2
"Rapides Parish",22079,Yes,67.1 ,61, 73.7,94,falling,-1.4 ,-2.1, -0.7
"Beauregard Parish",22011,Yes,66.5 ,55.4, 79.4,26,stable,-0.5 ,-1.6, 0.6
"Richland Parish",22083,Yes,66.3 ,51.7, 84,15,falling,-1.8 ,-2.9, -0.6
"West Baton Rouge Parish",22121,Yes,65.3 ,52.3, 80.7,18,falling,-2.0 ,-3.4, -0.5
"St. Bernard Parish",22087,Yes,64.7 ,54.6, 76.2,30,falling,-1.6 ,-2.4, -0.8
"Allen Parish",22003,Yes,64.5 ,51.6, 79.9,18,falling,-2.3 ,-3.8, -0.7
"Natchitoches Parish",22069,Yes,64.4 ,52.9, 77.6,24,falling,-1.7 ,-2.8, -0.6
"Evangeline Parish",22039,Yes,63.8 ,52, 77.6,22,falling,-1.6 ,-2.6, -0.6
"Sabine Parish",22085,Yes,62.6 ,49.3, 78.8,17,falling,-1.6 ,-2.9, -0.3
"Orleans Parish",22071,Yes,62.6 ,59.1, 66.2,261,falling,-2.4 ,-2.8, -2.1
"Livingston Parish",22063,Yes,62 ,56.2, 68.2,87,falling,-1.9 ,-2.4, -1.3
