------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Louisiana",22000,1.9,32172,"21 of 51"
"United States",00000,4.5,5305440,"N/A"
"East Carroll Parish",22035,0.0,0,"1 of 3140"
"Grant Parish",22043,0.0,0,"1 of 3140"
"La Salle Parish",22059,0.0,0,"1 of 3140"
"Tensas Parish",22107,0.0,0,"1 of 3140"
"St. Helena Parish",22091,0.0,1,"303 of 3140"
"Franklin Parish",22041,0.1,5,"358 of 3140"
"East Feliciana Parish",22037,0.2,11,"521 of 3140"
"Madison Parish",22065,0.2,10,"677 of 3140"
"Natchitoches Parish",22069,0.2,36,"684 of 3140"
"Concordia Parish",22029,0.3,20,"724 of 3140"
"West Feliciana Parish",22125,0.3,12,"790 of 3140"
"Richland Parish",22083,0.3,23,"797 of 3140"
"Catahoula Parish",22025,0.3,12,"817 of 3140"
"Ouachita Parish",22073,0.3,193,"858 of 3140"
"Claiborne Parish",22027,0.4,21,"883 of 3140"
"Caldwell Parish",22021,0.4,13,"887 of 3140"
"Jefferson Davis Parish",22053,0.4,41,"898 of 3140"
"Webster Parish",22119,0.4,58,"909 of 3140"
"Beauregard Parish",22011,0.4,54,"985 of 3140"
"Livingston Parish",22063,0.4,206,"1015 of 3140"
"Iberville Parish",22047,0.5,55,"1119 of 3140"
"Winn Parish",22127,0.6,31,"1240 of 3140"
"Bienville Parish",22013,0.6,34,"1251 of 3140"
"West Carroll Parish",22123,0.6,25,"1283 of 3140"
"Morehouse Parish",22067,0.6,63,"1314 of 3140"
"St. James Parish",22093,0.7,53,"1378 of 3140"
"West Baton Rouge Parish",22121,0.7,65,"1399 of 3140"
"Caddo Parish",22017,0.7,674,"1405 of 3140"
"Red River Parish",22081,0.8,27,"1532 of 3140"
"Sabine Parish",22085,0.8,76,"1562 of 3140"
"St. Charles Parish",22089,0.9,168,"1616 of 3140"
"Union Parish",22111,0.9,75,"1669 of 3140"
"Bossier Parish",22015,1.0,461,"1682 of 3140"
"Ascension Parish",22005,1.0,424,"1728 of 3140"
"Tangipahoa Parish",22105,1.0,483,"1731 of 3140"
"Allen Parish",22003,1.1,83,"1774 of 3140"
"Vernon Parish",22115,1.1,193,"1786 of 3140"
"Rapides Parish",22079,1.1,545,"1829 of 3140"
"De Soto Parish",22031,1.1,118,"1838 of 3140"
"Washington Parish",22117,1.2,207,"1869 of 3140"
"Jackson Parish",22049,1.3,76,"1926 of 3140"
"St. Tammany Parish",22103,1.3,1206,"1971 of 3140"
"Lincoln Parish",22061,1.4,251,"2049 of 3140"
"St. John the Baptist Parish",22095,1.5,234,"2083 of 3140"
"Calcasieu Parish",22019,1.5,1174,"2085 of 3140"
"Acadia Parish",22001,1.5,347,"2099 of 3140"
"Plaquemines Parish",22075,1.5,135,"2112 of 3140"
"St. Mary Parish",22101,1.9,381,"2290 of 3140"
"Iberia Parish",22045,1.9,503,"2291 of 3140"
"Assumption Parish",22007,1.9,167,"2297 of 3140"
"Terrebonne Parish",22109,2.0,786,"2309 of 3140"
"Avoyelles Parish",22009,2.0,300,"2328 of 3140"
"East Baton Rouge Parish",22033,2.0,3377,"2332 of 3140"
"Lafayette Parish",22055,2.2,1991,"2404 of 3140"
"Orleans Parish",22071,2.3,3519,"2430 of 3140"
"Evangeline Parish",22039,2.3,272,"2434 of 3140"
"St. Bernard Parish",22087,2.3,343,"2450 of 3140"
"LaFourche Parish",22057,2.4,883,"2494 of 3140"
"Pointe Coupee Parish",22077,2.5,218,"2505 of 3140"
"St. Martin Parish",22099,3.0,590,"2641 of 3140"
"Vermilion Parish",22113,3.1,680,"2657 of 3140"
"St. Landry Parish",22097,3.3,995,"2686 of 3140"
"Cameron Parish",22023,3.9,105,"2767 of 3140"
"Jefferson Parish",22051,5.4,9063,"2882 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
