------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Louisiana",22000,1.9,87300,"8 of 51"
"United States",00000,2.3,7354769,"N/A"
"Red River Parish",22081,0.0,4,"18 of 3140"
"Avoyelles Parish",22009,0.3,121,"81 of 3140"
"St. James Parish",22093,0.4,90,"131 of 3140"
"Union Parish",22111,0.5,103,"155 of 3140"
"Franklin Parish",22041,0.5,103,"185 of 3140"
"St. Martin Parish",22099,0.6,325,"256 of 3140"
"Evangeline Parish",22039,0.6,205,"258 of 3140"
"Caldwell Parish",22021,0.7,66,"295 of 3140"
"St. Landry Parish",22097,0.7,547,"296 of 3140"
"St. Mary Parish",22101,0.7,349,"304 of 3140"
"Sabine Parish",22085,0.7,170,"347 of 3140"
"West Feliciana Parish",22125,0.7,110,"352 of 3140"
"Webster Parish",22119,0.8,303,"387 of 3140"
"Morehouse Parish",22067,0.8,203,"402 of 3140"
"Jefferson Davis Parish",22053,0.8,242,"407 of 3140"
"Cameron Parish",22023,0.8,53,"415 of 3140"
"Claiborne Parish",22027,0.8,129,"429 of 3140"
"LaFourche Parish",22057,0.8,785,"434 of 3140"
"Iberia Parish",22045,0.9,619,"476 of 3140"
"Pointe Coupee Parish",22077,0.9,190,"481 of 3140"
"Richland Parish",22083,0.9,182,"524 of 3140"
"East Feliciana Parish",22037,0.9,174,"538 of 3140"
"St. Helena Parish",22091,0.9,94,"539 of 3140"
"St. Bernard Parish",22087,0.9,418,"579 of 3140"
"De Soto Parish",22031,0.9,253,"581 of 3140"
"Acadia Parish",22001,1.0,635,"678 of 3140"
"La Salle Parish",22059,1.1,164,"786 of 3140"
"Jackson Parish",22049,1.2,188,"877 of 3140"
"Vermilion Parish",22113,1.2,702,"882 of 3140"
"St. Charles Parish",22089,1.2,628,"897 of 3140"
"St. John the Baptist Parish",22095,1.2,535,"942 of 3140"
"Madison Parish",22065,1.3,145,"970 of 3140"
"Caddo Parish",22017,1.3,3255,"1027 of 3140"
"Ouachita Parish",22073,1.3,2047,"1041 of 3140"
"Bienville Parish",22013,1.3,182,"1055 of 3140"
"Catahoula Parish",22025,1.4,140,"1143 of 3140"
"Concordia Parish",22029,1.5,295,"1217 of 3140"
"West Carroll Parish",22123,1.5,165,"1220 of 3140"
"Rapides Parish",22079,1.5,1951,"1249 of 3140"
"Jefferson Parish",22051,1.5,6470,"1254 of 3140"
"Tangipahoa Parish",22105,1.6,2003,"1337 of 3140"
"Iberville Parish",22047,1.6,524,"1360 of 3140"
"Terrebonne Parish",22109,1.6,1817,"1403 of 3140"
"Assumption Parish",22007,1.6,370,"1409 of 3140"
"Livingston Parish",22063,1.6,2223,"1421 of 3140"
"Tensas Parish",22107,1.7,79,"1473 of 3140"
"Ascension Parish",22005,2.0,2329,"1773 of 3140"
"Winn Parish",22127,2.0,298,"1827 of 3140"
"St. Tammany Parish",22103,2.1,5076,"1843 of 3140"
"Allen Parish",22003,2.2,550,"1931 of 3140"
"Calcasieu Parish",22019,2.2,4302,"1950 of 3140"
"Lafayette Parish",22055,2.2,5276,"1988 of 3140"
"Natchitoches Parish",22069,2.3,884,"2019 of 3140"
"East Baton Rouge Parish",22033,2.3,10225,"2044 of 3140"
"Beauregard Parish",22011,2.5,890,"2126 of 3140"
"Washington Parish",22117,2.5,1144,"2154 of 3140"
"West Baton Rouge Parish",22121,2.6,652,"2222 of 3140"
"Lincoln Parish",22061,3.0,1395,"2437 of 3140"
"Grant Parish",22043,3.0,665,"2453 of 3140"
"Orleans Parish",22071,3.1,11911,"2497 of 3140"
"East Carroll Parish",22035,3.3,237,"2580 of 3140"
"Plaquemines Parish",22075,4.1,952,"2827 of 3140"
"Bossier Parish",22015,4.2,5266,"2849 of 3140"
"Vernon Parish",22115,9.6,4892,"3128 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
