------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Louisiana",22000,23.9,1112733,"12 of 52"
"West Feliciana Parish",22125,16.6,2557,"3017 of 3141"
"Claiborne Parish",22027,18.2,2972,"2858 of 3141"
"East Carroll Parish",22035,18.4,1350,"2819 of 3141"
"East Feliciana Parish",22037,19.3,3766,"2683 of 3141"
"Lincoln Parish",22061,20.2,9614,"2423 of 3141"
"Orleans Parish",22071,20.3,78882,"2392 of 3141"
"Iberville Parish",22047,21.3,7049,"2053 of 3141"
"Winn Parish",22127,21.5,3143,"1990 of 3141"
"Grant Parish",22043,21.6,4828,"1935 of 3141"
"Jefferson Parish",22051,21.9,95892,"1796 of 3141"
"Allen Parish",22003,22.0,5646,"1773 of 3141"
"Jackson Parish",22049,22.0,3509,"1772 of 3141"
"Catahoula Parish",22025,22.1,2217,"1740 of 3141"
"St. Helena Parish",22091,22.3,2346,"1611 of 3141"
"Bienville Parish",22013,22.4,3089,"1588 of 3141"
"Union Parish",22111,22.5,5064,"1551 of 3141"
"Assumption Parish",22007,22.6,5171,"1507 of 3141"
"Pointe Coupee Parish",22077,22.7,5059,"1451 of 3141"
"East Baton Rouge Parish",22033,22.8,101846,"1397 of 3141"
"Webster Parish",22119,22.9,9188,"1346 of 3141"
"La Salle Parish",22059,23.2,3457,"1249 of 3141"
"Caldwell Parish",22021,23.2,2317,"1244 of 3141"
"Cameron Parish",22023,23.3,1585,"1182 of 3141"
"St. James Parish",22093,23.3,5009,"1172 of 3141"
"LaFourche Parish",22057,23.6,23131,"1066 of 3141"
"West Carroll Parish",22123,23.6,2665,"1039 of 3141"
"Lafayette Parish",22055,23.8,56798,"950 of 3141"
"Natchitoches Parish",22069,23.9,9320,"937 of 3141"
"Avoyelles Parish",22009,23.9,9831,"917 of 3141"
"Red River Parish",22081,24.1,2100,"851 of 3141"
"Sabine Parish",22085,24.1,5814,"848 of 3141"
"Concordia Parish",22029,24.1,4868,"845 of 3141"
"Washington Parish",22117,24.1,11195,"837 of 3141"
"Caddo Parish",22017,24.2,60811,"776 of 3141"
"Madison Parish",22065,24.3,2821,"754 of 3141"
"West Baton Rouge Parish",22121,24.3,6200,"751 of 3141"
"Richland Parish",22083,24.4,5027,"730 of 3141"
"De Soto Parish",22031,24.4,6640,"707 of 3141"
"St. Tammany Parish",22103,24.4,60923,"704 of 3141"
"St. Mary Parish",22101,24.5,12886,"688 of 3141"
"Tensas Parish",22107,24.5,1171,"676 of 3141"
"Morehouse Parish",22067,24.7,6481,"642 of 3141"
"Tangipahoa Parish",22105,24.7,31856,"624 of 3141"
"St. Martin Parish",22099,24.8,13291,"609 of 3141"
"Beauregard Parish",22011,24.9,9104,"576 of 3141"
"Calcasieu Parish",22019,24.9,49507,"567 of 3141"
"St. John the Baptist Parish",22095,25.0,10896,"542 of 3141"
"St. Charles Parish",22089,25.1,13250,"511 of 3141"
"Rapides Parish",22079,25.2,33223,"507 of 3141"
"Bossier Parish",22015,25.2,31696,"493 of 3141"
"Evangeline Parish",22039,25.4,8588,"456 of 3141"
"Ouachita Parish",22073,25.5,39882,"440 of 3141"
"Franklin Parish",22041,25.6,5211,"432 of 3141"
"Jefferson Davis Parish",22053,25.6,8027,"431 of 3141"
"Vernon Parish",22115,25.7,13330,"408 of 3141"
"Terrebonne Parish",22109,25.8,29126,"396 of 3141"
"Vermilion Parish",22113,26.1,15624,"346 of 3141"
"Livingston Parish",22063,26.3,36065,"330 of 3141"
"Iberia Parish",22045,26.5,19411,"313 of 3141"
"Plaquemines Parish",22075,26.5,6196,"310 of 3141"
"Acadia Parish",22001,26.7,16722,"290 of 3141"
"St. Bernard Parish",22087,26.9,12144,"261 of 3141"
"St. Landry Parish",22097,27.2,22732,"229 of 3141"
"Ascension Parish",22005,27.4,32614,"219 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
