------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Louisiana",22000,45.6,2125660,"41 of 52"
"United States",00000,47.3,151838062,"N/A"
"Vernon Parish",22115,35.3,18301,"3105 of 3141"
"Lincoln Parish",22061,36.0,17117,"3095 of 3141"
"St. Bernard Parish",22087,40.7,18336,"2947 of 3141"
"East Baton Rouge Parish",22033,41.9,187069,"2896 of 3141"
"Lafayette Parish",22055,42.3,100815,"2874 of 3141"
"East Carroll Parish",22035,42.6,3121,"2858 of 3141"
"Bossier Parish",22015,43.1,54236,"2828 of 3141"
"Madison Parish",22065,43.2,5021,"2820 of 3141"
"Ascension Parish",22005,43.3,51527,"2815 of 3141"
"Natchitoches Parish",22069,43.3,16909,"2811 of 3141"
"Livingston Parish",22063,43.5,59620,"2793 of 3141"
"Tangipahoa Parish",22105,43.6,56196,"2787 of 3141"
"Ouachita Parish",22073,44.1,68983,"2745 of 3141"
"Terrebonne Parish",22109,44.1,49890,"2742 of 3141"
"West Baton Rouge Parish",22121,44.3,11299,"2730 of 3141"
"Orleans Parish",22071,44.7,173653,"2688 of 3141"
"Acadia Parish",22001,44.8,28030,"2685 of 3141"
"Evangeline Parish",22039,45.1,15219,"2648 of 3141"
"Iberia Parish",22045,45.2,33127,"2642 of 3141"
"Calcasieu Parish",22019,45.2,89777,"2641 of 3141"
"Plaquemines Parish",22075,45.3,10599,"2627 of 3141"
"St. John the Baptist Parish",22095,45.4,19766,"2621 of 3141"
"St. Landry Parish",22097,46.0,38479,"2552 of 3141"
"LaFourche Parish",22057,46.1,45207,"2545 of 3141"
"St. Charles Parish",22089,46.1,24329,"2539 of 3141"
"St. Martin Parish",22099,46.4,24878,"2507 of 3141"
"Vermilion Parish",22113,46.5,27821,"2496 of 3141"
"Rapides Parish",22079,46.6,61611,"2481 of 3141"
"Caddo Parish",22017,46.7,117351,"2469 of 3141"
"Beauregard Parish",22011,46.8,17133,"2461 of 3141"
"Grant Parish",22043,46.8,10444,"2458 of 3141"
"St. Mary Parish",22101,47.2,24834,"2413 of 3141"
"Jefferson Davis Parish",22053,47.3,14839,"2408 of 3141"
"Franklin Parish",22041,47.4,9667,"2384 of 3141"
"Catahoula Parish",22025,47.7,4787,"2334 of 3141"
"Concordia Parish",22029,47.7,9642,"2322 of 3141"
"Avoyelles Parish",22009,47.7,19617,"2318 of 3141"
"Allen Parish",22003,47.8,12278,"2301 of 3141"
"Richland Parish",22083,47.9,9883,"2285 of 3141"
"Iberville Parish",22047,48.1,15924,"2255 of 3141"
"La Salle Parish",22059,48.2,7194,"2236 of 3141"
"St. James Parish",22093,48.7,10468,"2154 of 3141"
"St. Helena Parish",22091,48.8,5133,"2128 of 3141"
"Jefferson Parish",22051,48.9,213646,"2118 of 3141"
"De Soto Parish",22031,49.3,13402,"2039 of 3141"
"Assumption Parish",22007,49.5,11332,"2007 of 3141"
"Morehouse Parish",22067,49.6,13036,"1994 of 3141"
"St. Tammany Parish",22103,49.8,124005,"1958 of 3141"
"Washington Parish",22117,49.8,23143,"1948 of 3141"
"Caldwell Parish",22021,49.8,4983,"1947 of 3141"
"Red River Parish",22081,49.8,4348,"1941 of 3141"
"West Carroll Parish",22123,50.4,5684,"1813 of 3141"
"Webster Parish",22119,50.6,20248,"1779 of 3141"
"Jackson Parish",22049,50.6,8075,"1761 of 3141"
"West Feliciana Parish",22125,50.8,7805,"1723 of 3141"
"Sabine Parish",22085,51.0,12314,"1667 of 3141"
"Winn Parish",22127,51.3,7505,"1593 of 3141"
"Claiborne Parish",22027,52.0,8474,"1432 of 3141"
"Union Parish",22111,52.3,11793,"1343 of 3141"
"Pointe Coupee Parish",22077,52.5,11697,"1293 of 3141"
"Bienville Parish",22013,52.8,7289,"1226 of 3141"
"East Feliciana Parish",22037,53.2,10404,"1129 of 3141"
"Cameron Parish",22023,54.6,3715,"839 of 3141"
"Tensas Parish",22107,55.2,2632,"738 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
