------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,480.6 ,477.9, 483.4,24888,falling,-0.8 ,-1.1, -0.5
"US (SEER+NPCR)(1,10)",00000,***,448 ,447.7, 448.4,1638110,falling,-0.9 ,-1.6, -0.1
"Catahoula Parish(7,8)",22025,***,592.1 ,531.9, 657.6,74,stable,-6.6 ,-14.4, 2.0
"East Feliciana Parish(7,8)",22037,***,536.8 ,495.5, 580.8,135,stable,0.2 ,-0.9, 1.4
"East Carroll Parish(7,8)",22035,***,535.1 ,465.3, 612.6,43,stable,0.3 ,-1.3, 2.0
"Morehouse Parish(7,8)",22067,***,534.4 ,498.8, 571.9,179,stable,0.3 ,-0.6, 1.3
"Iberville Parish(7,8)",22047,***,531.9 ,499.1, 566.3,205,falling,-2.9 ,-4.2, -1.6
"St. Landry Parish(7,8)",22097,***,528.4 ,507.6, 549.9,509,stable,0.3 ,-0.2, 0.9
"De Soto Parish(7,8)",22031,***,528.3 ,493.3, 565.2,179,stable,-0.1 ,-0.8, 0.7
"West Baton Rouge Parish(7,8)",22121,***,527.4 ,488.6, 568.5,144,stable,-0.4 ,-1.5, 0.8
"Bienville Parish(7,8)",22013,***,525.7 ,478.5, 576.6,99,stable,-0.3 ,-1.8, 1.2
