------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Massachusetts",25000,11.1,727546,"10 of 52"
"United States",00000,14.6,45650345,"N/A"
"Norfolk County",25021,6.5,44279,"117 of 3141"
"Barnstable County",25001,7.5,15810,"186 of 3141"
"Plymouth County",25023,8.0,39748,"235 of 3141"
"Middlesex County",25017,8.2,125491,"265 of 3141"
"Dukes County",25007,8.4,1438,"282 of 3141"
"Essex County",25009,10.9,82434,"683 of 3141"
"Franklin County",25011,10.9,7635,"701 of 3141"
"Worcester County",25027,11.1,87858,"735 of 3141"
"Nantucket County",25019,11.2,1205,"749 of 3141"
"Berkshire County",25003,11.3,13778,"786 of 3141"
"Bristol County",25005,12.2,65842,"948 of 3141"
"Hampshire County",25015,13.8,19052,"1294 of 3141"
"Hampden County",25013,17.2,78315,"1987 of 3141"
"Suffolk County",25025,19.6,144661,"2384 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
