------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Michigan",26000,49.6,4923553,"12 of 52"
"Isabella County",26073,36.4,25709,"3083 of 3141"
"Ingham County",26065,40.5,115971,"2953 of 3141"
"Washtenaw County",26161,42.0,152000,"2890 of 3141"
"Houghton County",26061,43.2,15705,"2819 of 3141"
"Kalamazoo County",26077,43.3,112633,"2808 of 3141"
"Kent County",26081,43.6,277589,"2785 of 3141"
"Ottawa County",26139,44.1,123519,"2746 of 3141"
"Mecosta County",26107,46.6,20119,"2487 of 3141"
"Wayne County",26163,47.5,838034,"2358 of 3141"
"Ionia County",26067,48.3,30970,"2223 of 3141"
"Muskegon County",26121,49.1,84794,"2083 of 3141"
"Gratiot County",26057,49.1,20293,"2080 of 3141"
"Marquette County",26103,49.1,32989,"2072 of 3141"
"St. Joseph County",26149,49.3,30033,"2042 of 3141"
"Allegan County",26005,49.6,56639,"1984 of 3141"
"Chippewa County",26033,49.7,18880,"1979 of 3141"
"Calhoun County",26025,49.9,67044,"1924 of 3141"
"Genesee County",26049,50.1,205834,"1889 of 3141"
"Clinton County",26037,50.4,38977,"1816 of 3141"
"Montcalm County",26117,50.6,31839,"1773 of 3141"
"Saginaw County",26145,50.9,98580,"1699 of 3141"
"Eaton County",26045,51.1,55493,"1643 of 3141"
"Macomb County",26099,51.2,442757,"1612 of 3141"
"Oakland County",26125,51.2,636397,"1611 of 3141"
"Branch County",26023,51.2,22314,"1610 of 3141"
"Jackson County",26075,51.3,81509,"1604 of 3141"
"Lenawee County",26091,51.7,50978,"1498 of 3141"
"Midland County",26111,51.8,43274,"1471 of 3141"
"Wexford County",26165,51.9,17076,"1460 of 3141"
"Van Buren County",26159,51.9,39042,"1447 of 3141"
"Shiawassee County",26155,52.1,35741,"1405 of 3141"
