------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Mississippi",28000,42009.000000000,"51 of 52"
"United States",00000,57652.000000000,"N/A"
"Holmes County",28051,20330.000000000,"3139 of 3141"
"Jefferson County",28063,21779.000000000,"3135 of 3141"
"Wilkinson County",28157,23340.000000000,"3125 of 3141"
"Claiborne County",28021,24601.000000000,"3121 of 3141"
"Leflore County",28083,25210.000000000,"3118 of 3141"
"Issaquena County",28055,25609.000000000,"3116 of 3141"
"Quitman County",28119,25671.000000000,"3115 of 3141"
"Humphreys County",28053,26188.000000000,"3108 of 3141"
"Jefferson Davis County",28065,26736.000000000,"3101 of 3141"
"Kemper County",28069,27016.000000000,"3096 of 3141"
"Yazoo County",28163,28330.000000000,"3085 of 3141"
"Bolivar County",28011,28468.000000000,"3084 of 3141"
"Sunflower County",28133,28556.000000000,"3082 of 3141"
"Coahoma County",28027,28728.000000000,"3081 of 3141"
"Washington County",28151,29387.000000000,"3072 of 3141"
"Tallahatchie County",28135,30000.000000000,"3059 of 3141"
"Sharkey County",28125,30033.000000000,"3057 of 3141"
"Amite County",28005,30129.000000000,"3054 of 3141"
"Adams County",28001,30359.000000000,"3050 of 3141"
"Noxubee County",28103,30808.000000000,"3040 of 3141"
"Pike County",28113,30949.000000000,"3035 of 3141"
"Marion County",28091,30998.000000000,"3033 of 3141"
"Walthall County",28147,31077.000000000,"3031 of 3141"
"Tunica County",28143,32052.000000000,"2999 of 3141"
"Prentiss County",28117,32854.000000000,"2965 of 3141"
"Winston County",28159,33313.000000000,"2949 of 3141"
"Calhoun County",28013,33370.000000000,"2946 of 3141"
"Chickasaw County",28017,33579.000000000,"2934 of 3141"
"Scott County",28123,33601.000000000,"2933 of 3141"
"Attala County",28007,33815.000000000,"2926 of 3141"
"Clay County",28025,34118.000000000,"2913 of 3141"
"Choctaw County",28019,34542.000000000,"2899 of 3141"
"Grenada County",28043,34876.000000000,"2881 of 3141"
"Montgomery County",28097,34983.000000000,"2876 of 3141"
"Wayne County",28153,35215.000000000,"2862 of 3141"
"Jasper County",28061,35271.000000000,"2855 of 3141"
"Perry County",28111,35374.000000000,"2848 of 3141"
"Leake County",28079,35578.000000000,"2830 of 3141"
"Webster County",28155,35634.000000000,"2827 of 3141"
"Panola County",28107,35891.000000000,"2814 of 3141"
"Covington County",28031,36471.000000000,"2764 of 3141"
"Tishomingo County",28141,36672.000000000,"2748 of 3141"
"Neshoba County",28099,36755.000000000,"2741 of 3141"
"Lincoln County",28085,37308.000000000,"2693 of 3141"
