------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Missouri",29000,49.1,2981332,"21 of 52"
"United States",00000,49.2,158018753,"N/A"
"Livingston County",29117,45.3,6805,"10 of 3141"
"Audrain County",29007,45.6,11744,"15 of 3141"
"Adair County",29001,47.2,12013,"101 of 3141"
"Pemiscot County",29155,47.3,8210,"115 of 3141"
"St. Louis County",29189,47.4,474110,"129 of 3141"
"Carter County",29035,47.7,2981,"167 of 3141"
"Dunklin County",29069,48.1,14856,"272 of 3141"
"New Madrid County",29143,48.1,8681,"295 of 3141"
"Gentry County",29075,48.2,3225,"332 of 3141"
"Marion County",29127,48.2,13841,"333 of 3141"
"Linn County",29115,48.2,5907,"337 of 3141"
"St. Louis City",29510,48.3,152224,"394 of 3141"
"Jackson County",29095,48.4,332936,"398 of 3141"
"Butler County",29023,48.4,20735,"434 of 3141"
"Scott County",29201,48.5,18844,"486 of 3141"
"Christian County",29043,48.5,40265,"487 of 3141"
"Carroll County",29033,48.5,4321,"497 of 3141"
"Cape Girardeau County",29031,48.5,37860,"507 of 3141"
"Taney County",29213,48.5,26360,"509 of 3141"
"Boone County",29019,48.6,84812,"533 of 3141"
"Stoddard County",29207,48.6,14405,"557 of 3141"
"Hickory County",29085,48.6,4547,"562 of 3141"
"Worth County",29227,48.7,999,"585 of 3141"
"Polk County",29167,48.7,15257,"596 of 3141"
"Jasper County",29097,48.7,57694,"603 of 3141"
"Vernon County",29217,48.7,10060,"608 of 3141"
"Greene County",29077,48.7,139733,"638 of 3141"
"Scotland County",29199,48.8,2382,"677 of 3141"
"Oregon County",29149,48.8,5261,"702 of 3141"
"Bates County",29013,48.8,8010,"720 of 3141"
"Grundy County",29079,48.8,4937,"722 of 3141"
"Stone County",29209,48.9,15426,"815 of 3141"
"Shannon County",29203,48.9,4048,"817 of 3141"
"Howell County",29091,49.0,19656,"869 of 3141"
"Clay County",29047,49.0,115761,"924 of 3141"
"Cass County",29037,49.1,50019,"979 of 3141"
"Pettis County",29159,49.1,20777,"994 of 3141"
