------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=29&areatype=county&cancer=061&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'cancer': '061', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_053.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=29&areatype=county&cancer=061&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Missouri by County

"Ovary (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Missouri(6)",29000,***,7.6 ,7.2, 8,287,76.7
"US (SEER+NPCR)(1)",00000,***,8.4 ,8.3, 8.5,16311,76.2
"St. Francois County(6)",29187,***,10.1 ,6.1, 15.9,4,80.0
"Newton County(6)",29145,***,9.8 ,5.4, 16.3,3,88.9
"Buchanan County(6)",29021,***,9.1 ,5.7, 13.8,5,72.7
"St. Louis City(6)",29510,***,9.1 ,7.1, 11.4,16,79.8
"Cape Girardeau County(6)",29031,***,9 ,5.6, 13.7,5,85.2
"Franklin County(6)",29071,***,8.5 ,5.6, 12.4,6,72.5
"St. Louis County(6)",29189,***,8.1 ,7.2, 9.2,56,80.8
"Clay County(6)",29047,***,7.9 ,5.9, 10.5,10,68.9
"Jefferson County(6)",29099,***,7.9 ,5.9, 10.4,10,83.9
"Cole County(6)",29051,***,7.6 ,4.4, 12.2,4,75.0
"Jasper County(6)",29097,***,7.5 ,4.8, 11.1,5,83.9
"Jackson County(6)",29095,***,7.4 ,6.3, 8.7,31,70.6
"St. Charles County(6)",29183,***,7.3 ,5.8, 9.1,16,80.4
"Cass County(6)",29037,***,7.3 ,4.6, 11.1,5,70.6
"Christian County(6)",29043,***,7.2 ,4.1, 11.7,3,89.5
"Boone County(6)",29019,***,7.2 ,4.8, 10.4,6,85.7
"Greene County(6)",29077,***,6.9 ,5.2, 9,12,77.6
"Adair County(6)",29001,***,* ,*, *,3 or fewer,*
"Andrew County(6)",29003,***,* ,*, *,3 or fewer,*
"Atchison County(6)",29005,***,* ,*, *,3 or fewer,*
"Audrain County(6)",29007,***,* ,*, *,3 or fewer,*
"Barry County(6)",29009,***,* ,*, *,3 or fewer,*
"Barton County(6)",29011,***,* ,*, *,3 or fewer,*
"Bates County(6)",29013,***,* ,*, *,3 or fewer,*
"Benton County(6)",29015,***,* ,*, *,3 or fewer,*
"Bollinger County(6)",29017,***,* ,*, *,3 or fewer,*
"Butler County(6)",29023,***,* ,*, *,3 or fewer,*
"Caldwell County(6)",29025,***,* ,*, *,3 or fewer,*
"Callaway County(6)",29027,***,* ,*, *,3 or fewer,*
"Camden County(6)",29029,***,* ,*, *,3 or fewer,*
"Carroll County(6)",29033,***,* ,*, *,3 or fewer,*
"Carter County(6)",29035,***,* ,*, *,3 or fewer,*
"Cedar County(6)",29039,***,* ,*, *,3 or fewer,*
"Chariton County(6)",29041,***,* ,*, *,3 or fewer,*
"Clark County(6)",29045,***,* ,*, *,3 or fewer,*
"Clinton County(6)",29049,***,* ,*, *,3 or fewer,*
"Cooper County(6)",29053,***,* ,*, *,3 or fewer,*
"Crawford County(6)",29055,***,* ,*, *,3 or fewer,*
"Dade County(6)",29057,***,* ,*, *,3 or fewer,*
"Dallas County(6)",29059,***,* ,*, *,3 or fewer,*
"Daviess County(6)",29061,***,* ,*, *,3 or fewer,*
"DeKalb County(6)",29063,***,* ,*, *,3 or fewer,*
"Dent County(6)",29065,***,* ,*, *,3 or fewer,*
"Douglas County(6)",29067,***,* ,*, *,3 or fewer,*
"Dunklin County(6)",29069,***,* ,*, *,3 or fewer,*
"Gasconade County(6)",29073,***,* ,*, *,3 or fewer,*
"Gentry County(6)",29075,***,* ,*, *,3 or fewer,*
"Grundy County(6)",29079,***,* ,*, *,3 or fewer,*
"Harrison County(6)",29081,***,* ,*, *,3 or fewer,*
"Henry County(6)",29083,***,* ,*, *,3 or fewer,*
"Hickory County(6)",29085,***,* ,*, *,3 or fewer,*
"Holt County(6)",29087,***,* ,*, *,3 or fewer,*
"Howard County(6)",29089,***,* ,*, *,3 or fewer,*
"Howell County(6)",29091,***,* ,*, *,3 or fewer,*
"Iron County(6)",29093,***,* ,*, *,3 or fewer,*
"Johnson County(6)",29101,***,* ,*, *,3 or fewer,*
"Knox County(6)",29103,***,* ,*, *,3 or fewer,*
"Laclede County(6)",29105,***,* ,*, *,3 or fewer,*
"Lafayette County(6)",29107,***,* ,*, *,3 or fewer,*
"Lawrence County(6)",29109,***,* ,*, *,3 or fewer,*
"Lewis County(6)",29111,***,* ,*, *,3 or fewer,*
"Lincoln County(6)",29113,***,* ,*, *,3 or fewer,*
"Linn County(6)",29115,***,* ,*, *,3 or fewer,*
"Livingston County(6)",29117,***,* ,*, *,3 or fewer,*
"Macon County(6)",29121,***,* ,*, *,3 or fewer,*
"Madison County(6)",29123,***,* ,*, *,3 or fewer,*
"Maries County(6)",29125,***,* ,*, *,3 or fewer,*
"Marion County(6)",29127,***,* ,*, *,3 or fewer,*
"McDonald County(6)",29119,***,* ,*, *,3 or fewer,*
"Mercer County(6)",29129,***,* ,*, *,3 or fewer,*
"Miller County(6)",29131,***,* ,*, *,3 or fewer,*
"Mississippi County(6)",29133,***,* ,*, *,3 or fewer,*
"Moniteau County(6)",29135,***,* ,*, *,3 or fewer,*
"Monroe County(6)",29137,***,* ,*, *,3 or fewer,*
"Montgomery County(6)",29139,***,* ,*, *,3 or fewer,*
"Morgan County(6)",29141,***,* ,*, *,3 or fewer,*
"New Madrid County(6)",29143,***,* ,*, *,3 or fewer,*
"Nodaway County(6)",29147,***,* ,*, *,3 or fewer,*
"Oregon County(6)",29149,***,* ,*, *,3 or fewer,*
"Osage County(6)",29151,***,* ,*, *,3 or fewer,*
"Ozark County(6)",29153,***,* ,*, *,3 or fewer,*
"Pemiscot County(6)",29155,***,* ,*, *,3 or fewer,*
"Perry County(6)",29157,***,* ,*, *,3 or fewer,*
"Pettis County(6)",29159,***,* ,*, *,3 or fewer,*
"Phelps County(6)",29161,***,* ,*, *,3 or fewer,*
"Pike County(6)",29163,***,* ,*, *,3 or fewer,*
"Platte County(6)",29165,***,* ,*, *,3 or fewer,*
"Polk County(6)",29167,***,* ,*, *,3 or fewer,*
"Pulaski County(6)",29169,***,* ,*, *,3 or fewer,*
"Putnam County(6)",29171,***,* ,*, *,3 or fewer,*
"Ralls County(6)",29173,***,* ,*, *,3 or fewer,*
"Randolph County(6)",29175,***,* ,*, *,3 or fewer,*
"Ray County(6)",29177,***,* ,*, *,3 or fewer,*
"Reynolds County(6)",29179,***,* ,*, *,3 or fewer,*
"Ripley County(6)",29181,***,* ,*, *,3 or fewer,*
"Saline County(6)",29195,***,* ,*, *,3 or fewer,*
"Schuyler County(6)",29197,***,* ,*, *,3 or fewer,*
"Scotland County(6)",29199,***,* ,*, *,3 or fewer,*
"Scott County(6)",29201,***,* ,*, *,3 or fewer,*
"Shannon County(6)",29203,***,* ,*, *,3 or fewer,*
"Shelby County(6)",29205,***,* ,*, *,3 or fewer,*
"St. Clair County(6)",29185,***,* ,*, *,3 or fewer,*
"Ste. Genevieve County(6)",29186,***,* ,*, *,3 or fewer,*
"Stoddard County(6)",29207,***,* ,*, *,3 or fewer,*
