------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=30&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'cancer': '066', 'stage': '211', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_055.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=30&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Montana by County

"Prostate (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Montana(6)",30000,***,25.6 ,23.9, 27.4,177,22.5
"US (SEER+NPCR)(1)",00000,***,20.1 ,20, 20.2,36257,19.4
"Park County(6)",30067,***,45 ,29, 68,5,34.6
"Flathead County(6)",30029,***,31.5 ,25.5, 38.7,20,19.4
"Lake County(6)",30047,***,29.3 ,20.1, 42,7,31.2
"Lewis and Clark County(6)",30049,***,29.1 ,21.9, 37.9,12,23.8
"Yellowstone County(6)",30111,***,25.4 ,21, 30.5,24,21.3
"Gallatin County(6)",30031,***,25 ,18.5, 32.9,11,18.0
"Missoula County(6)",30063,***,23.8 ,18.6, 30.1,15,24.5
"Cascade County(6)",30013,***,22.2 ,16.8, 28.8,12,26.0
"Ravalli County(6)",30081,***,21.7 ,15.3, 30.5,8,20.7
"Silver Bow County(6)",30093,***,21.5 ,13.8, 32.5,5,23.1
"Lincoln County(6)",30053,***,19.9 ,11.9, 33.7,4,16.5
"Beaverhead County(6)",30001,***,* ,*, *,3 or fewer,*
"Big Horn County(6)",30003,***,* ,*, *,3 or fewer,*
"Blaine County(6)",30005,***,* ,*, *,3 or fewer,*
"Broadwater County(6)",30007,***,* ,*, *,3 or fewer,*
"Carbon County(6)",30009,***,* ,*, *,3 or fewer,*
"Carter County(6)",30011,***,* ,*, *,3 or fewer,*
"Chouteau County(6)",30015,***,* ,*, *,3 or fewer,*
"Custer County(6)",30017,***,* ,*, *,3 or fewer,*
"Daniels County(6)",30019,***,* ,*, *,3 or fewer,*
"Dawson County(6)",30021,***,* ,*, *,3 or fewer,*
"Deer Lodge County(6)",30023,***,* ,*, *,3 or fewer,*
"Fallon County(6)",30025,***,* ,*, *,3 or fewer,*
"Fergus County(6)",30027,***,* ,*, *,3 or fewer,*
