------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"Ohio",39000,15.9,1844642,"18 of 52"
"Franklin County",39049,11.2,140469,"2982 of 3141"
"Union County",39159,11.3,6185,"2973 of 3141"
"Athens County",39009,11.7,7697,"2930 of 3141"
"Delaware County",39041,12.2,23567,"2870 of 3141"
"Holmes County",39075,12.7,5567,"2806 of 3141"
"Warren County",39165,13.2,29508,"2724 of 3141"
"Butler County",39017,13.6,51083,"2671 of 3141"
"Wood County",39173,14.1,18289,"2571 of 3141"
"Hamilton County",39061,14.5,117092,"2498 of 3141"
"Madison County",39097,14.5,6335,"2496 of 3141"
"Clermont County",39025,14.6,29590,"2462 of 3141"
"Fairfield County",39045,14.8,22383,"2428 of 3141"
"Pickaway County",39129,14.9,8478,"2412 of 3141"
"Portage County",39133,14.9,24201,"2396 of 3141"
"Lucas County",39095,15.0,64876,"2381 of 3141"
"Shelby County",39149,15.0,7324,"2376 of 3141"
"Hardin County",39065,15.0,4731,"2374 of 3141"
"Ross County",39141,15.4,11882,"2278 of 3141"
"Licking County",39089,15.4,26300,"2277 of 3141"
"Perry County",39127,15.6,5617,"2217 of 3141"
"Huron County",39077,15.7,9210,"2180 of 3141"
"Morrow County",39117,15.8,5512,"2173 of 3141"
"Clinton County",39027,15.8,6611,"2166 of 3141"
"Hancock County",39063,15.9,11982,"2143 of 3141"
"Vinton County",39163,15.9,2087,"2140 of 3141"
"Greene County",39057,15.9,26204,"2133 of 3141"
"Putnam County",39137,16.0,5437,"2108 of 3141"
"Jackson County",39079,16.0,5230,"2088 of 3141"
"Medina County",39103,16.1,28430,"2064 of 3141"
"Fulton County",39051,16.3,6885,"2007 of 3141"
"Allen County",39003,16.3,16988,"1994 of 3141"
"Wayne County",39169,16.5,19144,"1935 of 3141"
"Marion County",39101,16.6,10859,"1905 of 3141"
"Summit County",39153,16.6,89800,"1902 of 3141"
"Adams County",39001,16.6,4633,"1900 of 3141"
"Mercer County",39107,16.6,6757,"1897 of 3141"
"Seneca County",39147,16.6,9229,"1894 of 3141"
"Logan County",39091,16.6,7534,"1892 of 3141"
"Fayette County",39047,16.7,4791,"1866 of 3141"
"Knox County",39083,16.7,10207,"1857 of 3141"
"Muskingum County",39119,16.8,14441,"1836 of 3141"
"Lorain County",39093,16.8,51341,"1835 of 3141"
"Pike County",39131,16.8,4758,"1834 of 3141"
"Montgomery County",39113,17.0,90175,"1789 of 3141"
"Cuyahoga County",39035,17.0,213528,"1777 of 3141"
"Auglaize County",39011,17.0,7780,"1774 of 3141"
"Scioto County",39145,17.1,13129,"1747 of 3141"
"Defiance County",39039,17.1,6544,"1746 of 3141"
"Brown County",39015,17.1,7488,"1742 of 3141"
"Henry County",39069,17.2,4710,"1733 of 3141"
"Champaign County",39021,17.2,6725,"1697 of 3141"
"Paulding County",39125,17.3,3281,"1668 of 3141"
"Highland County",39071,17.4,7475,"1650 of 3141"
"Sandusky County",39143,17.4,10380,"1626 of 3141"
"Gallia County",39053,17.6,5301,"1595 of 3141"
"Miami County",39109,17.6,18294,"1585 of 3141"
"Preble County",39135,17.6,7290,"1563 of 3141"
"Ashtabula County",39007,17.6,17406,"1558 of 3141"
"Ashland County",39005,17.7,9414,"1551 of 3141"
"Williams County",39171,17.7,6550,"1546 of 3141"
"Van Wert County",39161,17.9,5046,"1480 of 3141"
"Lawrence County",39087,17.9,10906,"1477 of 3141"
"Wyandot County",39175,18.0,3994,"1448 of 3141"
"Hocking County",39073,18.0,5139,"1447 of 3141"
"Coshocton County",39031,18.0,6602,"1435 of 3141"
"Meigs County",39105,18.0,4191,"1434 of 3141"
"Stark County",39151,18.1,67891,"1406 of 3141"
"Guernsey County",39059,18.2,7160,"1397 of 3141"
"Clark County",39023,18.3,24770,"1358 of 3141"
"Tuscarawas County",39157,18.4,17053,"1315 of 3141"
"Lake County",39085,18.4,42377,"1311 of 3141"
"Richland County",39139,18.5,22520,"1280 of 3141"
"Geauga County",39055,18.5,17416,"1277 of 3141"
"Darke County",39037,18.6,9664,"1256 of 3141"
"Columbiana County",39029,18.7,19604,"1219 of 3141"
"Belmont County",39013,19.2,13240,"1069 of 3141"
"Carroll County",39019,19.5,5430,"985 of 3141"
"Washington County",39167,19.6,11921,"968 of 3141"
"Mahoning County",39099,19.6,45430,"965 of 3141"
"Morgan County",39115,19.6,2902,"955 of 3141"
"Crawford County",39033,19.8,8372,"914 of 3141"
"Trumbull County",39155,19.9,40413,"901 of 3141"
"Harrison County",39067,20.1,3091,"841 of 3141"
"Jefferson County",39081,20.1,13545,"830 of 3141"
"Erie County",39043,20.2,15249,"796 of 3141"
"Monroe County",39111,21.7,3087,"531 of 3141"
"Ottawa County",39123,22.8,9276,"403 of 3141"
"Noble County",39121,25.1,3639,"209 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
