------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=047&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'cancer': '047', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_049.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=047&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Ohio by County

"Lung & Bronchus (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Ohio(6)",39000,***,48.6 ,48.1, 49.1,7020,71.2
"US (SEER+NPCR)(1)",00000,***,42.1 ,42, 42.2,156578,71.3
"Vinton County(6)",39163,***,85.5 ,66.6, 108.5,15,73.0
"Brown County(6)",39015,***,72 ,62.5, 82.6,42,71.1
"Pike County(6)",39131,***,69.5 ,57.9, 83.1,26,74.1
"Jackson County(6)",39079,***,69.5 ,58.2, 82.5,28,71.6
"Ross County(6)",39141,***,66.3 ,59.1, 74.1,65,74.9
"Muskingum County(6)",39119,***,65.1 ,58.4, 72.4,72,73.2
"Guernsey County(6)",39059,***,63.7 ,54.4, 74.2,35,75.9
"Morrow County(6)",39117,***,63.4 ,53.2, 75.2,28,69.3
"Clinton County(6)",39027,***,62.1 ,52.7, 72.7,33,74.4
"Perry County(6)",39127,***,61.3 ,51.2, 72.9,27,70.6
"Hardin County(6)",39065,***,61 ,50.1, 73.8,23,72.0
"Meigs County(6)",39105,***,60.6 ,48.9, 74.6,20,77.2
"Scioto County(6)",39145,***,60.2 ,53.5, 67.5,61,68.9
"Marion County(6)",39101,***,58.5 ,51.3, 66.5,50,71.9
"Clark County(6)",39023,***,57.7 ,52.8, 62.9,108,74.1
"Preble County(6)",39135,***,57.5 ,48.7, 67.5,32,71.1
"Gallia County(6)",39053,***,57.3 ,47.4, 68.8,24,68.8
"Pickaway County(6)",39129,***,56.9 ,49.1, 65.7,39,71.3
"Morgan County(6)",39115,***,56.7 ,43.1, 73.9,12,75.6
"Washington County(6)",39167,***,56.6 ,49.8, 64.2,52,67.4
"Lawrence County(6)",39087,***,56.5 ,49.6, 64.3,49,73.9
"Madison County(6)",39097,***,56.5 ,47.5, 66.8,29,75.0
"Adams County(6)",39001,***,55.9 ,45.6, 68.2,21,60.0
"Jefferson County(6)",39081,***,55.8 ,49.4, 63,57,70.0
"Licking County(6)",39089,***,54.4 ,49.9, 59.2,114,73.9
"Trumbull County(6)",39155,***,54.1 ,50.3, 58.1,160,70.9
"Clermont County(6)",39025,***,54 ,49.8, 58.4,132,69.8
"Montgomery County(6)",39113,***,53.6 ,51.2, 56.2,369,72.4
"Fayette County(6)",39047,***,53 ,43.1, 64.7,21,64.8
"Allen County(6)",39003,***,52.4 ,46.9, 58.4,69,71.4
"Richland County(6)",39139,***,52.3 ,47.5, 57.6,88,73.7
"Carroll County(6)",39019,***,52 ,42.3, 63.7,21,73.6
"Hamilton County(6)",39061,***,51.9 ,49.8, 54.1,485,72.0
"Lorain County(6)",39093,***,51.4 ,48.2, 54.7,201,75.6
"Coshocton County(6)",39031,***,50.5 ,42.1, 60.3,26,73.2
"Highland County(6)",39071,***,50.5 ,42.4, 59.8,28,69.5
"Butler County(6)",39017,***,50.5 ,47.4, 53.7,207,71.7
"Wyandot County(6)",39175,***,50.3 ,39.3, 63.6,15,68.8
"Logan County(6)",39091,***,50.2 ,42.3, 59.2,30,69.9
"Stark County(6)",39151,***,50.1 ,47.3, 52.9,260,74.4
"Ashtabula County(6)",39007,***,49.8 ,44.5, 55.6,67,67.1
"Knox County(6)",39083,***,49.6 ,42.8, 57.3,39,73.0
"Lucas County(6)",39095,***,49.6 ,46.9, 52.5,256,73.4
"Ashland County(6)",39005,***,49.4 ,42.1, 57.7,34,77.1
"Champaign County(6)",39021,***,49 ,40.7, 58.7,25,67.7
"Miami County(6)",39109,***,48.9 ,43.8, 54.6,68,76.9
"Seneca County(6)",39147,***,48.5 ,41.3, 56.6,34,69.4
"Monroe County(6)",39111,***,48.2 ,35.9, 64.1,11,77.1
"Franklin County(6)",39049,***,47.9 ,46.1, 49.8,555,71.7
"Erie County(6)",39043,***,47.8 ,42.1, 54.1,54,75.5
"Williams County(6)",39171,***,47.5 ,39.2, 57.2,24,70.8
"Ottawa County(6)",39123,***,47.3 ,39.9, 56,32,75.6
"Portage County(6)",39133,***,46.9 ,42.6, 51.5,92,71.0
"Sandusky County(6)",39143,***,46.6 ,40, 54.1,37,66.5
"Columbiana County(6)",39029,***,46.6 ,41.8, 51.8,72,67.7
"Tuscarawas County(6)",39157,***,46.5 ,41.3, 52.3,59,71.9
"Hocking County(6)",39073,***,46.4 ,37.3, 57.4,19,66.9
"Lake County(6)",39085,***,46.3 ,43, 49.8,150,69.4
"Athens County(6)",39009,***,46.3 ,38.9, 54.6,30,64.3
"Union County(6)",39159,***,46 ,37.9, 55.2,24,64.2
"Mahoning County(6)",39099,***,45.5 ,42.2, 49,151,71.8
"Crawford County(6)",39033,***,45.4 ,38, 53.9,28,55.8
"Warren County(6)",39165,***,45.4 ,41.5, 49.5,108,71.2
"Paulding County(6)",39125,***,45.3 ,34.1, 59.2,11,58.2
"Huron County(6)",39077,***,45.2 ,38.4, 52.9,33,69.1
"Cuyahoga County(6)",39035,***,45 ,43.5, 46.5,746,70.3
"Summit County(6)",39153,***,44.5 ,42.3, 46.9,312,70.3
"Belmont County(6)",39013,***,43.8 ,38, 50.3,44,69.2
"Fairfield County(6)",39045,***,43.5 ,39.2, 48.2,78,65.9
"Darke County(6)",39037,***,43.4 ,36.6, 51.2,30,69.4
"Henry County(6)",39069,***,42.4 ,33.4, 53.1,16,70.5
"Harrison County(6)",39067,***,42.3 ,31.5, 56.3,11,70.7
"Medina County(6)",39103,***,42.2 ,38.4, 46.4,94,72.4
"Hancock County(6)",39063,***,42.1 ,36.4, 48.5,40,70.8
"Noble County(6)",39121,***,40.3 ,30, 54.1,11,77.5
"Defiance County(6)",39039,***,40.2 ,32.5, 49.2,20,66.0
"Wood County(6)",39173,***,40.1 ,35.5, 45.2,57,71.4
"Greene County(6)",39057,***,39.7 ,35.8, 43.8,81,70.8
"Shelby County(6)",39149,***,38.3 ,31.5, 46.2,23,62.8
"Auglaize County(6)",39011,***,38.1 ,31.4, 46,23,63.2
"Wayne County(6)",39169,***,37.9 ,33.5, 42.8,55,69.4
"Van Wert County(6)",39161,***,37.6 ,29.2, 47.8,14,61.5
"Mercer County(6)",39107,***,37.4 ,30.2, 45.8,20,61.7
"Fulton County(6)",39051,***,36.4 ,29.5, 44.5,20,66.7
"Holmes County(6)",39075,***,36.3 ,28.4, 45.5,15,77.6
"Delaware County(6)",39041,***,35.5 ,31.7, 39.7,67,69.4
"Putnam County(6)",39137,***,35.3 ,27.7, 44.5,15,70.1
"Geauga County(6)",39055,***,32.8 ,28.5, 37.6,44,68.5

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

