------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=003&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'cancer': '003', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_052.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=003&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Ohio by County

"Oral Cavity & Pharynx (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Ohio(6)",39000,***,7.8 ,7.6, 8,1126,66.4
"US (SEER+NPCR)(1)",00000,***,7.3 ,7.2, 7.3,27477,62.6
"Muskingum County(6)",39119,***,12.6 ,9.7, 16,14,76.9
"Ross County(6)",39141,***,11.5 ,8.7, 15,11,83.8
"Fayette County(6)",39047,***,11.3 ,6.9, 17.8,4,80.0
"Hancock County(6)",39063,***,11 ,8.1, 14.7,10,69.4
"Guernsey County(6)",39059,***,10.8 ,7.2, 15.8,6,65.2
"Meigs County(6)",39105,***,10.8 ,6.3, 17.7,4,72.0
"Ottawa County(6)",39123,***,10.7 ,7.3, 15.4,7,79.5
"Carroll County(6)",39019,***,10.6 ,6.4, 16.7,4,71.0
"Marion County(6)",39101,***,10.5 ,7.7, 14.2,9,79.3
"Morrow County(6)",39117,***,10.5 ,6.6, 16,5,64.9
"Brown County(6)",39015,***,10.4 ,7, 15.2,6,69.8
"Adams County(6)",39001,***,10.1 ,5.9, 16.4,4,58.1
"Jackson County(6)",39079,***,10 ,6, 15.8,4,80.0
"Tuscarawas County(6)",39157,***,9.9 ,7.5, 12.9,12,66.3
"Van Wert County(6)",39161,***,9.9 ,5.5, 16.4,3,80.0
"Scioto County(6)",39145,***,9.7 ,7.1, 13.1,9,62.7
"Coshocton County(6)",39031,***,9.6 ,6, 14.8,5,76.7
"Clark County(6)",39023,***,9.2 ,7.3, 11.5,17,74.1
"Hocking County(6)",39073,***,9.2 ,5.3, 15.2,3,63.0
"Wood County(6)",39173,***,9.1 ,7, 11.7,13,64.7
"Lucas County(6)",39095,***,9.1 ,8, 10.4,50,73.6
"Washington County(6)",39167,***,9 ,6.4, 12.5,8,74.1
"Union County(6)",39159,***,9 ,5.9, 13.2,6,60.9
"Madison County(6)",39097,***,8.9 ,5.7, 13.5,5,64.9
"Montgomery County(6)",39113,***,8.9 ,7.9, 10,60,71.2
"Pike County(6)",39131,***,8.9 ,5, 14.9,3,76.2
"Trumbull County(6)",39155,***,8.8 ,7.3, 10.6,25,70.4
"Stark County(6)",39151,***,8.7 ,7.5, 10,43,63.6
"Highland County(6)",39071,***,8.7 ,5.3, 13.3,4,59.5
"Clermont County(6)",39025,***,8.7 ,7.1, 10.5,22,72.0
"Licking County(6)",39089,***,8.6 ,6.9, 10.6,19,65.5
"Auglaize County(6)",39011,***,8.4 ,5.3, 12.8,5,85.7
"Allen County(6)",39003,***,8.3 ,6.2, 11,11,68.8
