------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=40&areatype=county&cancer=055&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'cancer': '055', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=40&areatype=county&cancer=055&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Oklahoma by County

"Breast (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Oklahoma(6,10)",40000,***,121.1 ,119, 123.2,2755,rising,2.1 ,1.7, 2.5
"US (SEER+NPCR)(1,10)",00000,***,125.2 ,124.9, 125.4,239297,stable,0.0 ,-0.8, 0.9
"Tillman County(6,10)",40141,***,179.1 ,127.3, 245.9,9,stable,13.9 ,-37.7, 108.2
"McCurtain County(6,10)",40089,***,137.6 ,115.4, 162.9,29,stable,-1.1 ,-27.5, 34.9
"Tulsa County(6,10)",40143,***,136.7 ,131.2, 142.3,486,stable,3.9 ,-2.0, 10.2
"Comanche County(6,10)",40031,***,136.3 ,123.3, 150.2,84,stable,0.7 ,-4.3, 6.1
"Creek County(6,10)",40037,***,135.8 ,120.8, 152.2,63,stable,0.7 ,-10.7, 13.6
"Grant County(6,10)",40053,***,135.1 ,81.3, 214.3,4,stable,4.8 ,-40.4, 84.2
"Kiowa County(6,10)",40075,***,134.8 ,95.3, 186.3,9,stable,-17.6 ,-47.2, 28.7
"Logan County(6,10)",40083,***,133.5 ,114, 155.5,35,stable,3.3 ,-23.5, 39.6
"Oklahoma County(6,10)",40109,***,131.6 ,126.6, 136.7,557,stable,4.0 ,-3.0, 11.6
"Caddo County(6,10)",40015,***,131 ,106.7, 159.1,22,stable,26.0 ,-9.2, 74.8
"Beckham County(6,10)",40009,***,130.4 ,102, 164.2,15,stable,0.6 ,-8.6, 10.7
"McClain County(6,10)",40087,***,130 ,108.9, 154.2,28,stable,8.0 ,-12.3, 32.9
"Canadian County(6,10)",40017,***,129.2 ,117.3, 141.9,90,stable,2.2 ,-3.2, 7.8
