------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Oregon",41000,82.0,3267388,"46 of 51"
"United States",00000,85.4,270854872,"N/A"
"Benton County",41003,74.7,65403,"3092 of 3140"
"Lane County",41039,78.9,284004,"3003 of 3140"
"Malheur County",41045,79.3,23891,"2974 of 3140"
"Union County",41061,80.2,20434,"2925 of 3140"
"Clatsop County",41007,80.4,30221,"2908 of 3140"
"Curry County",41015,80.4,17894,"2906 of 3140"
"Jackson County",41029,80.6,169196,"2890 of 3140"
"Multnomah County",41051,80.8,630083,"2870 of 3140"
"Baker County",41001,81.3,12820,"2826 of 3140"
"Jefferson County",41031,81.4,18230,"2820 of 3140"
"Lake County",41037,81.7,6332,"2797 of 3140"
"Washington County",41067,82.3,465758,"2716 of 3140"
"Klamath County",41035,82.4,53713,"2706 of 3140"
"Harney County",41025,82.5,5891,"2685 of 3140"
"Deschutes County",41017,82.6,143674,"2671 of 3140"
"Douglas County",41019,82.8,88314,"2647 of 3140"
"Polk County",41053,82.9,65414,"2627 of 3140"
"Crook County",41013,83.2,17952,"2592 of 3140"
"Linn County",41043,83.3,99709,"2578 of 3140"
"Marion County",41047,83.4,272213,"2558 of 3140"
"Morrow County",41049,83.6,9130,"2520 of 3140"
"Lincoln County",41041,83.8,39302,"2481 of 3140"
"Josephine County",41033,83.8,70143,"2480 of 3140"
"Umatilla County",41059,83.8,63373,"2473 of 3140"
"Clackamas County",41005,84.2,333355,"2393 of 3140"
"Coos County",41011,84.4,52654,"2371 of 3140"
"Grant County",41023,84.4,6029,"2366 of 3140"
"Yamhill County",41071,84.5,85519,"2354 of 3140"
"Columbia County",41009,84.5,41887,"2345 of 3140"
"Wallowa County",41063,84.6,5769,"2314 of 3140"
"Wasco County",41065,86.1,21859,"1925 of 3140"
"Sherman County",41055,86.3,1398,"1846 of 3140"
"Tillamook County",41057,86.5,22128,"1802 of 3140"
"Gilliam County",41021,88.3,1681,"1153 of 3140"
"Wheeler County",41069,90.9,1283,"421 of 3140"
"Hood River County",41027,91.1,20732,"398 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
