------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Oregon",41000,87.3,3515620,"15 of 52"
"Morrow County",41049,64.9,7241,"183 of 3141"
"Malheur County",41045,66.9,20343,"203 of 3141"
"Hood River County",41027,68.9,15802,"216 of 3141"
"Marion County",41047,74.0,244482,"279 of 3141"
"Umatilla County",41059,74.0,56797,"280 of 3141"
"Jefferson County",41031,80.2,18212,"384 of 3141"
"Wasco County",41065,82.6,21224,"445 of 3141"
"Washington County",41067,83.6,478059,"467 of 3141"
"Yamhill County",41071,84.3,86269,"489 of 3141"
"Polk County",41053,86.6,68993,"563 of 3141"
"Klamath County",41035,87.7,57892,"606 of 3141"
"Jackson County",41029,87.8,186142,"611 of 3141"
"Multnomah County",41051,88.7,699493,"657 of 3141"
"Tillamook County",41057,89.7,23177,"710 of 3141"
"Lincoln County",41041,91.1,43119,"818 of 3141"
"Linn County",41043,91.3,110591,"837 of 3141"
"Lane County",41039,91.6,332818,"857 of 3141"
"Clackamas County",41005,91.6,366404,"861 of 3141"
"Clatsop County",41007,91.7,34862,"871 of 3141"
"Gilliam County",41021,91.9,1756,"892 of 3141"
"Lake County",41037,92.1,7193,"900 of 3141"
"Deschutes County",41017,92.2,161637,"905 of 3141"
"Crook County",41013,92.4,20076,"930 of 3141"
"Benton County",41003,92.9,81942,"982 of 3141"
"Josephine County",41033,92.9,78483,"984 of 3141"
"Curry County",41015,93.2,20862,"1020 of 3141"
"Coos County",41011,93.7,58967,"1085 of 3141"
"Wheeler County",41069,93.9,1329,"1113 of 3141"
"Douglas County",41019,94.5,101677,"1223 of 3141"
"Harney County",41025,95.0,6836,"1321 of 3141"
"Columbia County",41009,95.2,47773,"1350 of 3141"
"Union County",41061,95.4,24628,"1408 of 3141"
"Sherman County",41055,95.5,1562,"1436 of 3141"
"Baker County",41001,96.1,15349,"1577 of 3141"
"Grant County",41023,96.4,6952,"1682 of 3141"
"Wallowa County",41063,97.3,6678,"2019 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
