------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=41&areatype=county&cancer=061&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'cancer': '061', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=41&areatype=county&cancer=061&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Oregon by County

"Ovary (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Oregon(6,10)",41000,***,11.9 ,11.3, 12.6,299,stable,-3.1 ,-6.6, 0.6
"US (SEER+NPCR)(1,10)",00000,***,11.1 ,11.1, 11.2,21404,falling,-2.5 ,-4.7, -0.2
"Linn County(6,10)",41043,***,15.3 ,11.5, 20.1,12,stable,-5.6 ,-31.1, 29.3
"Benton County(6,10)",41003,***,15.2 ,10.6, 21.3,8,stable,-10.6 ,-49.9, 59.6
"Curry County(6,10)",41015,***,14.3 ,7.1, 27.6,3,*,*,*,*
"Lincoln County(6,10)",41041,***,13.9 ,9.4, 20.8,7,stable,4.1 ,-39.2, 78.3
"Lane County(6,10)",41039,***,13.7 ,11.5, 16.2,32,stable,4.3 ,-19.3, 34.6
"Klamath County(6,10)",41035,***,13.4 ,8.7, 19.8,6,stable,3.3 ,-26.9, 45.9
"Josephine County(6,10)",41033,***,12.3 ,8.3, 17.6,8,stable,10.1 ,-29.1, 71.1
"Polk County(6,10)",41053,***,12.3 ,8.2, 17.9,6,stable,10.5 ,-18.2, 49.2
"Jackson County(6,10)",41029,***,12.2 ,9.8, 15.1,20,stable,-8.9 ,-30.4, 19.3
"Clackamas County(6,10)",41005,***,12.1 ,10.2, 14.4,30,stable,-9.9 ,-28.5, 13.4
"Umatilla County(6,10)",41059,***,12.1 ,7.8, 18,5,stable,-4.8 ,-43.0, 59.1
"Deschutes County(6,10)",41017,***,11.8 ,9.1, 15.2,14,stable,-5.8 ,-17.8, 8.0
"Multnomah County(6,10)",41051,***,11.8 ,10.3, 13.4,49,stable,-9.0 ,-23.3, 7.9
"Coos County(6,10)",41011,***,11.6 ,7.2, 17.8,6,stable,7.8 ,-22.3, 49.6
"Marion County(6,10)",41047,***,11.5 ,9.4, 14,22,stable,9.8 ,-3.4, 24.9
"Washington County(6,10)",41067,***,10.3 ,8.7, 12.1,32,stable,-2.4 ,-17.3, 15.0
"Yamhill County(6,10)",41071,***,10 ,6.7, 14.4,6,stable,-1.9 ,-23.4, 25.8
"Douglas County(6,10)",41019,***,9.9 ,7.2, 13.7,9,stable,10.5 ,-29.4, 72.9
"Baker County(6,10)",41001,***,* ,*, *,3 or fewer,*,*,*,*
"Clatsop County(6,10)",41007,***,* ,*, *,3 or fewer,*,*,*,*
"Columbia County(6,10)",41009,***,* ,*, *,3 or fewer,*,*,*,*
"Crook County(6,10)",41013,***,* ,*, *,3 or fewer,*,*,*,*
