------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=41&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '136', 'type': 'incd', 'file_name': 'incidencerates_037.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=41&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Oregon by County

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 50+"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Oregon(6,10)",41000,***,1295.9 ,1287.4, 1304.5,18319,stable,-2.5 ,-5.0, 0.0
"US (SEER+NPCR)(1,10)",00000,***,1350.2 ,1349.2, 1351.2,1428518,falling,-1.1 ,-1.8, -0.3
"Sherman County(6,10)",41055,***,1556.7 ,1204.6, 1978.7,14,stable,-1.1 ,-21.8, 25.0
"Wheeler County(6,10)",41069,***,1465 ,1110.9, 1896.8,13,stable,-6.4 ,-25.5, 17.5
"Marion County(6,10)",41047,***,1417.5 ,1384.9, 1450.6,1490,stable,-0.5 ,-6.5, 6.0
"Multnomah County(6,10)",41051,***,1388.1 ,1365.3, 1411.2,3066,stable,-2.1 ,-4.3, 0.0
"Clatsop County(6,10)",41007,***,1379.2 ,1297, 1465.3,222,stable,-3.9 ,-16.9, 11.1
"Polk County(6,10)",41053,***,1377.9 ,1316.2, 1441.8,386,stable,-1.5 ,-8.0, 5.5
"Clackamas County(6,10)",41005,***,1361.9 ,1334.3, 1389.9,1969,stable,-0.7 ,-5.2, 4.1
"Columbia County(6,10)",41009,***,1353.9 ,1279.7, 1431.3,264,stable,-3.3 ,-15.5, 10.6
"Yamhill County(6,10)",41071,***,1334.6 ,1280.1, 1390.8,470,stable,-0.4 ,-8.4, 8.2
"Josephine County(6,10)",41033,***,1331.6 ,1281.9, 1382.8,565,stable,-3.0 ,-9.7, 4.2
"Linn County(6,10)",41043,***,1323.2 ,1275.6, 1372,603,falling,-4.6 ,-8.0, -1.0
"Klamath County(6,10)",41035,***,1321.1 ,1259.7, 1384.7,360,stable,-1.0 ,-8.7, 7.5
"Wasco County(6,10)",41065,***,1320.3 ,1222.2, 1424.1,140,stable,-4.4 ,-15.5, 8.1
"Crook County(6,10)",41013,***,1308.8 ,1210.6, 1412.9,139,stable,-2.8 ,-19.2, 17.0
"Lincoln County(6,10)",41041,***,1302.1 ,1236.9, 1369.8,321,stable,-3.3 ,-11.2, 5.4
"Coos County(6,10)",41011,***,1294.4 ,1237.5, 1353.2,404,stable,-2.4 ,-6.9, 2.4
"Umatilla County(6,10)",41059,***,1288.2 ,1224.7, 1354.2,318,stable,-2.8 ,-7.5, 2.1
"Jackson County(6,10)",41029,***,1278.5 ,1245, 1312.6,1151,stable,-2.3 ,-4.9, 0.3
"Washington County(6,10)",41067,***,1260 ,1234.5, 1285.9,1982,stable,-1.3 ,-3.4, 0.8
"Deschutes County(6,10)",41017,***,1252.8 ,1214.1, 1292.5,839,stable,-5.4 ,-12.2, 2.0
"Jefferson County(6,10)",41031,***,1248.3 ,1141.6, 1362.3,106,stable,-2.8 ,-11.3, 6.6
"Gilliam County(6,10)",41021,***,1235.5 ,939.4, 1595.4,12,stable,6.9 ,-25.3, 53.1
"Union County(6,10)",41061,***,1225 ,1129.3, 1326.6,125,stable,-6.1 ,-14.4, 3.0
"Douglas County(6,10)",41019,***,1223.6 ,1180.9, 1267.5,643,stable,-6.0 ,-21.1, 12.0
"Tillamook County(6,10)",41057,***,1210.8 ,1124.5, 1302,154,stable,-5.2 ,-14.3, 4.8
"Morrow County(6,10)",41049,***,1185.8 ,1033.3, 1354.7,45,stable,-3.1 ,-22.2, 20.7
"Lane County(6,10)",41039,***,1169.7 ,1143.6, 1196.2,1605,stable,-2.4 ,-7.7, 3.1
"Benton County(6,10)",41003,***,1164.3 ,1106.8, 1223.9,325,falling,-7.5 ,-11.9, -2.9
"Hood River County(6,10)",41027,***,1161.3 ,1051.5, 1279.2,86,stable,0.6 ,-3.0, 4.3
"Curry County(6,10)",41015,***,1114.8 ,1034.4, 1199.7,153,stable,2.9 ,-6.7, 13.6
"Lake County(6,10)",41037,***,1109.8 ,962.9, 1272.9,42,stable,-2.5 ,-12.3, 8.3
"Baker County(6,10)",41001,***,1073.8 ,972.5, 1182.8,86,falling,-18.5 ,-30.2, -4.7
"Wallowa County(6,10)",41063,***,1059.4 ,912.6, 1223.1,39,stable,-10.2 ,-30.0, 15.1
"Malheur County(6,10)",41045,***,1043.7 ,957.9, 1135.2,111,stable,-10.0 ,-27.6, 11.8
"Harney County(6,10)",41025,***,999.1 ,853.6, 1162.7,35,stable,0.8 ,-13.9, 18.1
"Grant County(6,10)",41023,***,959.8 ,824.1, 1111.5,38,stable,-12.9 ,-28.7, 6.5

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
