------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=47&areatype=county&cancer=086&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'cancer': '086', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=47&areatype=county&cancer=086&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Tennessee by County

"Non-Hodgkin Lymphoma, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Tennessee",47000,***,6.3 ,6, 6.6,466,falling,-2.2 ,-2.6, -1.9
"United States",00000,***,5.6 ,5.6, 5.7,20262,falling,-2.2 ,-2.4, -2.0
"Overton County",47133,***,13.4 ,8.1, 21.3,4,*,*,*,*
"Obion County",47131,***,10.8 ,6.8, 16.5,5,*,*,*,*
"Rhea County",47143,***,10.1 ,6.3, 15.7,4,*,*,*,*
"Henry County",47079,***,10.1 ,6.4, 15.5,5,*,*,*,*
"Weakley County",47183,***,9.9 ,6.2, 15.3,4,stable,1.1 ,-1.8, 4.0
"Cheatham County",47021,***,9.8 ,5.7, 15.5,4,*,*,*,*
"Giles County",47055,***,9.7 ,5.7, 15.7,4,*,*,*,*
"Loudon County",47105,***,9.6 ,6.7, 13.5,8,stable,-0.5 ,-3.1, 2.1
"Monroe County",47123,***,8.6 ,5.5, 13,5,stable,-1.9 ,-4.2, 0.4
"Hawkins County",47073,***,8.4 ,5.6, 12,6,*,*,*,*
"Bedford County",47003,***,8.2 ,5, 12.8,4,*,*,*,*
"Coffee County",47031,***,8.2 ,5.4, 11.9,6,stable,-0.7 ,-2.7, 1.4
"Sullivan County",47163,***,7.9 ,6.4, 9.8,18,stable,-0.9 ,-2.1, 0.2
"Tipton County",47167,***,7.4 ,4.7, 11.3,5,*,*,*,*
"Cocke County",47029,***,7.3 ,4.3, 11.7,4,*,*,*,*
"Knox County",47093,***,7.1 ,6.1, 8.3,35,stable,-0.8 ,-1.7, 0.1
"Anderson County",47001,***,7.1 ,5, 9.9,8,stable,-1.0 ,-2.5, 0.5
"Carter County",47019,***,7 ,4.7, 10.3,6,stable,-0.5 ,-2.6, 1.6
"Blount County",47009,***,6.9 ,5.2, 9,12,stable,-0.8 ,-2.1, 0.5
"Franklin County",47051,***,6.8 ,4.2, 10.9,4,*,*,*,*
"McMinn County",47107,***,6.8 ,4.4, 10.2,5,stable,-0.8 ,-3.0, 1.4
"Lawrence County",47099,***,6.6 ,3.9, 10.6,4,*,*,*,*
"Jefferson County",47089,***,6.6 ,4.1, 10.1,4,*,*,*,*
"Putnam County",47141,***,6.4 ,4.3, 9.3,6,stable,-0.9 ,-3.3, 1.7
"Wilson County",47189,***,6.4 ,4.6, 8.7,9,stable,-1.7 ,-3.3, 0.0
"Washington County",47179,***,6.3 ,4.7, 8.4,10,falling,-2.3 ,-3.5, -1.2
"Hamilton County",47065,***,6.2 ,5.2, 7.4,27,falling,-1.5 ,-2.3, -0.6
"Gibson County",47053,***,6.1 ,3.7, 9.6,4,*,*,*,*
"Campbell County",47013,***,6.1 ,3.6, 10,4,falling,-3.1 ,-5.5, -0.7
"Shelby County",47157,***,6 ,5.3, 6.8,53,falling,-1.6 ,-2.1, -1.1
"Dickson County",47043,***,5.9 ,3.3, 9.6,3,stable,-1.7 ,-4.1, 0.8
"Sevier County",47155,***,5.6 ,3.8, 8.1,7,falling,-2.9 ,-4.6, -1.3
"Roane County",47145,***,5.5 ,3.5, 8.5,5,falling,-2.3 ,-4.3, -0.3
"Davidson County",47037,***,5.5 ,4.7, 6.4,33,falling,-2.5 ,-3.3, -1.8
"Maury County",47119,***,5.3 ,3.4, 7.8,5,falling,-2.1 ,-4.0, -0.2
"Bradley County",47011,***,5.3 ,3.6, 7.6,6,stable,-1.6 ,-3.8, 0.7
"Greene County",47059,***,5.2 ,3.3, 7.9,5,falling,-7.4 ,-11.2, -3.4
