------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Tennessee",47000,48.8,3217073,"13 of 52"
"United States",00000,49.2,158018753,"N/A"
"Haywood County",47075,46.8,8404,"62 of 3141"
"Madison County",47113,47.5,46449,"131 of 3141"
"Crockett County",47033,47.5,6915,"141 of 3141"
"Gibson County",47053,47.6,23447,"162 of 3141"
"Shelby County",47157,47.6,446846,"164 of 3141"
"Obion County",47131,47.9,14679,"216 of 3141"
"Chester County",47023,48.0,8199,"238 of 3141"
"Maury County",47119,48.2,42201,"309 of 3141"
"Henderson County",47077,48.2,13446,"326 of 3141"
"Dyer County",47045,48.2,18201,"327 of 3141"
"Davidson County",47037,48.2,327080,"331 of 3141"
"Hamilton County",47065,48.2,170993,"335 of 3141"
"Benton County",47005,48.2,7794,"344 of 3141"
"Claiborne County",47025,48.4,15284,"436 of 3141"
"Henry County",47079,48.4,15627,"448 of 3141"
"Blount County",47009,48.5,61640,"479 of 3141"
"Sullivan County",47163,48.5,75908,"490 of 3141"
"Washington County",47179,48.6,61427,"539 of 3141"
"Knox County",47093,48.6,219839,"554 of 3141"
"Giles County",47055,48.6,14119,"579 of 3141"
"Bradley County",47011,48.7,50468,"612 of 3141"
"Cannon County",47015,48.7,6738,"616 of 3141"
"Anderson County",47001,48.7,36803,"632 of 3141"
"Campbell County",47013,48.7,19411,"650 of 3141"
"Meigs County",47121,48.7,5767,"652 of 3141"
"Weakley County",47183,48.8,16466,"655 of 3141"
"McMinn County",47107,48.8,25630,"659 of 3141"
"Marion County",47115,48.8,13830,"672 of 3141"
"Hawkins County",47073,48.8,27525,"696 of 3141"
"Coffee County",47031,48.8,26397,"707 of 3141"
