------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=48&areatype=county&cancer=001&race=05&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'cancer': '001', 'race': '05', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=48&areatype=county&cancer=001&race=05&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Texas by County

"All Cancer Sites, 2012-2016"

"Hispanic (any race), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Texas",48000,Yes,123 ,121.7, 124.3,7505,falling,-1.4 ,-1.6, -1.3
"United States (6)",00000,Yes,113.5 ,113, 114,36561,falling,-1.3 ,-1.3, -1.2
"Anderson County",48001,No,287.5 ,209.4, 383.2,15,*,*,*,*
"Robertson County",48395,No,200.7 ,117.3, 315.3,4,*,*,*,*
"Mitchell County",48335,No,198.5 ,125, 297.6,5,*,*,*,*
"Jim Hogg County",48247,No,197.2 ,146.4, 260,11,stable,0.1 ,-1.4, 1.7
"Milam County",48331,No,188.3 ,127.5, 265.5,7,*,*,*,*
"Jackson County",48239,No,184.9 ,123.2, 264.9,6,stable,0.4 ,-1.4, 2.1
"Brooks County",48047,No,184.1 ,144.1, 232.5,15,stable,-0.6 ,-2.0, 0.8
"Ward County",48475,No,181.6 ,130.4, 245.3,9,stable,0.3 ,-1.7, 2.3
"Runnels County",48399,No,180.6 ,114.5, 268.9,5,stable,-0.3 ,-2.9, 2.4
"Duval County",48131,No,180.4 ,147.9, 218.3,22,stable,-0.2 ,-1.3, 0.9
"Floyd County",48153,No,179.9 ,110, 274.6,4,*,*,*,*
"Yoakum County",48501,No,174.2 ,107, 263.4,5,*,*,*,*
"Dawson County",48115,No,173.8 ,126.4, 232.1,9,stable,0.7 ,-1.5, 2.8
"Andrews County",48003,No,168.6 ,117.1, 232.7,8,*,*,*,*
"San Patricio County",48409,No,167.8 ,147.1, 190.5,50,falling,-1.3 ,-2.1, -0.5
"Kleberg County",48273,No,166.1 ,140.8, 194.6,31,stable,-0.4 ,-1.5, 0.6
"Refugio County",48391,No,165.8 ,112.1, 236.6,6,*,*,*,*
"Zavala County",48507,No,164.3 ,131.5, 202.7,18,stable,-0.6 ,-1.9, 0.7
"Castro County",48069,No,163.7 ,104.6, 241.3,5,*,*,*,*
"Karnes County",48255,No,163.3 ,121.8, 213.8,11,stable,-0.9 ,-2.5, 0.8
"Dimmit County",48127,No,162.9 ,129, 203.2,16,falling,-1.3 ,-2.3, -0.3
"Lampasas County",48281,Yes,160.8 ,95.6, 250,4,*,*,*,*
"Victoria County",48469,Yes,159.7 ,139.8, 181.6,49,stable,-0.3 ,-1.7, 1.0
"Hill County",48217,Yes,157 ,99.1, 232.7,5,*,*,*,*
"Ector County",48135,Yes,155.1 ,137.9, 173.6,69,falling,-1.0 ,-2.0, -0.1
"Uvalde County",48463,Yes,154.7 ,128.9, 183.9,26,falling,-1.2 ,-2.4, -0.1
"Crosby County",48107,Yes,153.3 ,89.8, 241.8,4,stable,-1.3 ,-3.9, 1.4
"Lubbock County",48303,Yes,153.2 ,138.5, 168.8,89,falling,-1.0 ,-1.6, -0.3
"Jim Wells County",48249,Yes,151.2 ,132.5, 171.7,48,stable,-0.7 ,-1.5, 0.1
"Caldwell County",48055,Yes,149.9 ,121.2, 182.9,21,stable,-1.1 ,-2.6, 0.4
"Howard County",48227,Yes,148.6 ,113.9, 189.5,14,stable,-0.6 ,-2.2, 1.1
"Frio County",48163,Yes,148.3 ,118.5, 183,17,stable,0.0 ,-1.4, 1.4
"Maverick County",48323,Yes,147.2 ,132.1, 163.6,70,stable,0.1 ,-0.6, 0.7
"Deaf Smith County",48117,Yes,147 ,109.5, 192.1,11,stable,-1.0 ,-2.8, 0.8
"Atascosa County",48013,Yes,146.8 ,126.2, 169.7,38,stable,-1.2 ,-2.5, 0.1
"Wharton County",48481,Yes,146.6 ,115.2, 183.3,16,falling,-1.5 ,-2.6, -0.4
"Kinney County",48271,Yes,145.9 ,81.9, 240.4,3,*,*,*,*
"Harrison County",48203,Yes,142.9 ,70.7, 247.3,3,*,*,*,*
"Potter County",48375,Yes,142.7 ,119.3, 168.8,31,stable,-0.5 ,-1.9, 0.9
"Terry County",48445,Yes,141.7 ,94.5, 202.2,6,falling,-2.5 ,-4.7, -0.2
"Webb County",48479,Yes,141.5 ,133.7, 149.7,252,stable,-0.5 ,-0.9, 0.0
"Lamb County",48279,Yes,141.3 ,96.5, 198.1,7,stable,-0.3 ,-2.6, 2.1
"Aransas County",48007,Yes,140.4 ,98.2, 193.8,8,falling,-2.6 ,-4.6, -0.5
"Starr County",48427,Yes,140.4 ,126, 155.8,71,stable,0.3 ,-0.5, 1.1
"Falls County",48145,Yes,138.1 ,77.7, 223.2,3,*,*,*,*
"Reeves County",48389,Yes,137.9 ,107.2, 174.6,14,stable,-1.2 ,-2.4, 0.0
"Taylor County",48441,Yes,137.9 ,112.4, 167,23,falling,-1.7 ,-3.3, -0.1
"Galveston County",48167,Yes,137.9 ,122.2, 154.9,62,falling,-1.2 ,-2.0, -0.4
"Willacy County",48489,Yes,137.1 ,113.5, 164,24,stable,-0.9 ,-2.3, 0.5
"Bexar County",48029,Yes,136.5 ,132.9, 140.3,1116,falling,-1.2 ,-1.4, -1.0
"Nueces County",48355,Yes,136.4 ,128.9, 144.2,260,falling,-1.3 ,-1.7, -0.9
"Tom Green County",48451,Yes,135.9 ,117.2, 156.6,40,falling,-1.2 ,-2.1, -0.3
"Bee County",48025,Yes,135.1 ,109.2, 165.1,20,stable,-1.0 ,-2.0, 0.1
"Austin County",48015,Yes,133.9 ,78.8, 208.2,5,*,*,*,*
"El Paso County",48141,Yes,133.3 ,129.1, 137.5,783,falling,-1.1 ,-1.4, -0.9
"Hale County",48189,Yes,133.1 ,105.3, 165.5,17,stable,-0.5 ,-1.9, 1.0
"Gonzales County",48177,Yes,132.8 ,95.7, 178.4,9,falling,-1.8 ,-3.5, -0.1
"Hockley County",48219,Yes,132.3 ,94.5, 179.2,9,falling,-2.1 ,-4.1, -0.1
"Val Verde County",48465,Yes,128.8 ,113.1, 145.9,49,falling,-2.1 ,-3.0, -1.2
"DeWitt County",48123,Yes,128.4 ,90.3, 176.6,8,stable,-1.3 ,-2.9, 0.3
"Burleson County",48051,Yes,128.1 ,71.6, 208.9,3,*,*,*,*
"Wichita County",48485,Yes,127.6 ,98.4, 161.8,15,falling,-2.2 ,-3.9, -0.5
"Medina County",48325,Yes,127.5 ,106.6, 151.3,28,stable,-1.0 ,-2.1, 0.1
"Cameron County",48061,Yes,126.9 ,121.1, 132.8,376,falling,-0.8 ,-1.1, -0.5
"Moore County",48341,Yes,126.8 ,85.2, 179.4,7,*,*,*,*
"Bandera County",48019,Yes,126.5 ,74.8, 198.6,4,*,*,*,*
"Titus County",48449,Yes,125.9 ,68, 206.2,5,*,*,*,*
"Hays County",48209,Yes,125 ,107.2, 144.6,42,falling,-2.1 ,-3.3, -0.9
"Liberty County",48291,Yes,125 ,79.3, 183.8,7,*,*,*,*
"Bastrop County",48021,Yes,124.6 ,97.4, 156.3,17,stable,-0.9 ,-3.1, 1.4
"Matagorda County",48321,Yes,124.5 ,94, 160.9,12,falling,-2.8 ,-4.5, -1.0
"Nolan County",48353,Yes,123.9 ,80.6, 181.2,6,falling,-2.4 ,-4.6, -0.2
"Brazoria County",48039,Yes,123.8 ,109.4, 139.3,67,falling,-1.0 ,-1.8, -0.2
"Guadalupe County",48187,Yes,123.3 ,107, 141.1,46,falling,-2.4 ,-3.2, -1.5
"Jones County",48253,Yes,122.6 ,70.6, 194.6,4,*,*,*,*
"Hunt County",48231,Yes,122.3 ,76.9, 181.4,7,*,*,*,*
"Ellis County",48139,Yes,121.9 ,97.1, 150.3,22,stable,-0.6 ,-2.6, 1.5
"Kendall County",48259,Yes,121.5 ,81.4, 172.6,6,falling,-2.8 ,-5.2, -0.3
"Hidalgo County",48215,Yes,121 ,116.7, 125.3,631,falling,-0.8 ,-1.1, -0.5
"Randall County",48381,Yes,120.1 ,85, 162.8,10,*,*,*,*
"Brazos County",48041,Yes,119.7 ,96.6, 145.9,23,stable,-1.1 ,-3.0, 0.9
"Calhoun County",48057,Yes,118.8 ,85.2, 160.4,9,falling,-3.2 ,-4.7, -1.6
"Bell County",48027,Yes,117 ,100.1, 135.5,41,stable,-1.1 ,-2.3, 0.2
"Midland County",48329,Yes,116.5 ,98.9, 136,36,falling,-1.3 ,-2.5, -0.1
"Brown County",48049,Yes,116.4 ,73.1, 173.5,5,*,*,*,*
"Travis County",48453,Yes,116.3 ,108.1, 124.8,190,falling,-2.0 ,-2.6, -1.4
"Cooke County",48097,Yes,116.1 ,60.3, 196.7,3,*,*,*,*
"Waller County",48473,Yes,115.8 ,72.3, 172.4,6,*,*,*,*
"Live Oak County",48297,Yes,115.4 ,75.7, 168.6,5,falling,-2.1 ,-4.0, -0.2
"Kerr County",48265,Yes,114.6 ,84.8, 150.9,11,falling,-1.5 ,-2.7, -0.2
"Colorado County",48089,Yes,112.2 ,65.7, 175.9,4,*,*,*,*
