------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"United States",00000,3.3,3975282,"N/A"
"Texas",48000,4.9,458488,"5 of 52"
"Baylor County",48023,0.0,0,"3097 of 3141"
"Borden County",48033,0.0,0,"3097 of 3141"
"Concho County",48095,0.0,0,"3097 of 3141"
"Loving County",48301,0.0,0,"3097 of 3141"
"Roberts County",48393,0.0,0,"3097 of 3141"
"Terrell County",48443,0.0,0,"3097 of 3141"
"Mason County",48319,0.2,4,"3068 of 3141"
"Childress County",48075,0.3,7,"3053 of 3141"
"Newton County",48351,0.5,22,"3013 of 3141"
"Carson County",48065,0.5,12,"2982 of 3141"
"Foard County",48155,0.5,3,"2975 of 3141"
"Armstrong County",48011,0.9,6,"2766 of 3141"
"Coleman County",48083,1.1,37,"2546 of 3141"
"Red River County",48387,1.1,56,"2537 of 3141"
"Jones County",48253,1.1,62,"2509 of 3141"
"Throckmorton County",48447,1.1,8,"2476 of 3141"
"Brown County",48049,1.1,159,"2438 of 3141"
"Kimble County",48267,1.2,24,"2338 of 3141"
"Callahan County",48059,1.3,67,"2311 of 3141"
"Delta County",48119,1.3,26,"2290 of 3141"
"Coke County",48081,1.3,21,"2212 of 3141"
"Lampasas County",48281,1.5,118,"2001 of 3141"
"Kendall County",48259,1.5,210,"1983 of 3141"
"Archer County",48009,1.6,53,"1936 of 3141"
"Real County",48385,1.6,18,"1918 of 3141"
"Hardin County",48199,1.6,333,"1913 of 3141"
"Garza County",48169,1.7,29,"1807 of 3141"
"Hardeman County",48197,1.8,27,"1746 of 3141"
"Cottle County",48101,1.8,12,"1704 of 3141"
"Kent County",48263,1.8,5,"1686 of 3141"
"San Saba County",48411,2.0,43,"1484 of 3141"
"Rockwall County",48397,2.0,612,"1483 of 3141"
"Dawson County",48115,2.0,88,"1468 of 3141"
"Eastland County",48133,2.0,131,"1465 of 3141"
"Sabine County",48403,2.1,79,"1429 of 3141"
"Runnels County",48399,2.1,81,"1357 of 3141"
"Montague County",48337,2.2,174,"1336 of 3141"
"Sterling County",48431,2.2,10,"1334 of 3141"
"Kinney County",48271,2.2,26,"1332 of 3141"
"Taylor County",48441,2.2,1087,"1303 of 3141"
"Edwards County",48137,2.2,14,"1293 of 3141"
"Bandera County",48019,2.2,184,"1275 of 3141"
"Mills County",48333,2.2,41,"1259 of 3141"
"Clay County",48077,2.3,93,"1218 of 3141"
"McCulloch County",48307,2.3,73,"1178 of 3141"
"Wood County",48499,2.3,377,"1164 of 3141"
"Hamilton County",48193,2.3,74,"1159 of 3141"
"Williamson County",48491,2.3,3990,"1158 of 3141"
"Fayette County",48149,2.4,219,"1150 of 3141"
"Fannin County",48147,2.4,284,"1143 of 3141"
"Freestone County",48161,2.4,171,"1138 of 3141"
"Randall County",48381,2.4,1162,"1136 of 3141"
"Collin County",48085,2.4,7676,"1132 of 3141"
"Denton County",48121,2.4,6576,"1115 of 3141"
"Reagan County",48383,2.4,28,"1112 of 3141"
"Burnet County",48053,2.4,396,"1111 of 3141"
"Panola County",48365,2.4,218,"1099 of 3141"
