------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Texas",48000,57051.000000000,"22 of 52"
"United States",00000,57652.000000000,"N/A"
"Brooks County",48047,24794.000000000,"3120 of 3141"
"Kenedy County",48261,24800.000000000,"3119 of 3141"
"Zavala County",48507,25988.000000000,"3113 of 3141"
"Terrell County",48443,26063.000000000,"3109 of 3141"
"Hudspeth County",48229,26346.000000000,"3106 of 3141"
"Presidio County",48377,26486.000000000,"3105 of 3141"
"Starr County",48427,27133.000000000,"3094 of 3141"
"Willacy County",48489,29104.000000000,"3077 of 3141"
"Hall County",48191,31324.000000000,"3020 of 3141"
"Dimmit County",48127,31384.000000000,"3019 of 3141"
"Jim Hogg County",48247,31403.000000000,"3018 of 3141"
"Eastland County",48133,32135.000000000,"2994 of 3141"
"San Augustine County",48405,32394.000000000,"2979 of 3141"
"Culberson County",48109,33125.000000000,"2951 of 3141"
"Cottle County",48101,33534.000000000,"2940 of 3141"
"Houston County",48225,33552.000000000,"2938 of 3141"
"Sabine County",48403,33561.000000000,"2937 of 3141"
"Zapata County",48505,34550.000000000,"2898 of 3141"
"Kinney County",48271,34926.000000000,"2879 of 3141"
"Red River County",48387,35356.000000000,"2850 of 3141"
"Duval County",48131,35443.000000000,"2841 of 3141"
"Cameron County",48061,36095.000000000,"2792 of 3141"
"Baylor County",48023,36157.000000000,"2789 of 3141"
"Real County",48385,36493.000000000,"2761 of 3141"
"Marion County",48315,36938.000000000,"2729 of 3141"
"Hidalgo County",48215,37097.000000000,"2715 of 3141"
"Throckmorton County",48447,37279.000000000,"2696 of 3141"
"Frio County",48163,37382.000000000,"2688 of 3141"
"Trinity County",48455,37398.000000000,"2683 of 3141"
"Cochran County",48079,37500.000000000,"2674 of 3141"
"Maverick County",48323,37734.000000000,"2659 of 3141"
"Swisher County",48437,37883.000000000,"2645 of 3141"
"Menard County",48327,37917.000000000,"2644 of 3141"
"Hardeman County",48197,37995.000000000,"2637 of 3141"
"Shelby County",48419,38121.000000000,"2627 of 3141"
"Crosby County",48107,38674.000000000,"2596 of 3141"
"Falls County",48145,38834.000000000,"2577 of 3141"
"Brewster County",48043,38906.000000000,"2566 of 3141"
"Newton County",48351,40180.000000000,"2457 of 3141"
"Morris County",48343,40227.000000000,"2456 of 3141"
"San Saba County",48411,40301.000000000,"2451 of 3141"
"Limestone County",48293,40356.000000000,"2445 of 3141"
"Childress County",48075,40432.000000000,"2437 of 3141"
"Webb County",48479,40442.000000000,"2436 of 3141"
"Motley County",48345,40598.000000000,"2417 of 3141"
"Hansford County",48195,40678.000000000,"2406 of 3141"
"Uvalde County",48463,40781.000000000,"2392 of 3141"
"Coleman County",48083,40804.000000000,"2389 of 3141"
"Callahan County",48059,40945.000000000,"2381 of 3141"
"Mason County",48319,40949.000000000,"2380 of 3141"
"Kimble County",48267,41095.000000000,"2365 of 3141"
"Jim Wells County",48249,41103.000000000,"2361 of 3141"
"Runnels County",48399,41226.000000000,"2338 of 3141"
"Cass County",48067,41432.000000000,"2316 of 3141"
"Walker County",48471,41456.000000000,"2313 of 3141"
"Nacogdoches County",48347,41482.000000000,"2307 of 3141"
"Kleberg County",48273,41700.000000000,"2278 of 3141"
"Milam County",48331,41768.000000000,"2270 of 3141"
"Camp County",48063,41811.000000000,"2266 of 3141"
"Potter County",48375,41852.000000000,"2262 of 3141"
"Jasper County",48241,41960.000000000,"2254 of 3141"
"Nolan County",48353,42019.000000000,"2247 of 3141"
"Lamar County",48277,42198.000000000,"2218 of 3141"
"Anderson County",48001,42313.000000000,"2211 of 3141"
"McCulloch County",48307,42367.000000000,"2208 of 3141"
"Comanche County",48093,42419.000000000,"2202 of 3141"
"Terry County",48445,42441.000000000,"2199 of 3141"
"Briscoe County",48045,42500.000000000,"2192 of 3141"
"Coke County",48081,42500.000000000,"2192 of 3141"
"Delta County",48119,42642.000000000,"2178 of 3141"
"Brown County",48049,43062.000000000,"2139 of 3141"
"Dickens County",48125,43088.000000000,"2135 of 3141"
"Dawson County",48115,43201.000000000,"2126 of 3141"
"El Paso County",48141,43244.000000000,"2123 of 3141"
"Polk County",48373,43267.000000000,"2118 of 3141"
"San Jacinto County",48407,43421.000000000,"2100 of 3141"
"Bailey County",48017,43523.000000000,"2084 of 3141"
"Haskell County",48207,43529.000000000,"2082 of 3141"
"Lamb County",48279,43712.000000000,"2065 of 3141"
"Brazos County",48041,43907.000000000,"2049 of 3141"
"Wilbarger County",48487,43913.000000000,"2048 of 3141"
"Franklin County",48159,43967.000000000,"2043 of 3141"
"Madison County",48313,44004.000000000,"2038 of 3141"
"Cherokee County",48073,44294.000000000,"2010 of 3141"
"Tyler County",48457,44396.000000000,"2002 of 3141"
"Donley County",48129,44429.000000000,"1999 of 3141"
"Aransas County",48007,44601.000000000,"1977 of 3141"
"La Salle County",48283,44601.000000000,"1977 of 3141"
"Val Verde County",48465,44609.000000000,"1975 of 3141"
"Castro County",48069,44643.000000000,"1971 of 3141"
"Leon County",48289,44875.000000000,"1940 of 3141"
"Henderson County",48213,44888.000000000,"1935 of 3141"
"Matagorda County",48321,44896.000000000,"1934 of 3141"
"Lynn County",48305,44922.000000000,"1930 of 3141"
"Palo Pinto County",48363,45067.000000000,"1916 of 3141"
"Navarro County",48349,45103.000000000,"1911 of 3141"
"Fisher County",48151,45294.000000000,"1895 of 3141"
"Bee County",48025,45415.000000000,"1882 of 3141"
"Dallam County",48111,45580.000000000,"1858 of 3141"
"Wichita County",48485,45776.000000000,"1838 of 3141"
"Stephens County",48429,45862.000000000,"1829 of 3141"
"Freestone County",48161,45890.000000000,"1825 of 3141"
"Hill County",48217,45970.000000000,"1818 of 3141"
"Hale County",48189,46012.000000000,"1811 of 3141"
"McLennan County",48309,46262.000000000,"1779 of 3141"
"Bowie County",48037,46283.000000000,"1775 of 3141"
"Jefferson County",48245,46315.000000000,"1771 of 3141"
"Mills County",48333,46318.000000000,"1770 of 3141"
"Knox County",48275,46319.000000000,"1769 of 3141"
"Collingsworth County",48087,46348.000000000,"1765 of 3141"
"Young County",48503,46351.000000000,"1764 of 3141"
"Angelina County",48005,46472.000000000,"1749 of 3141"
"Jeff Davis County",48243,46534.000000000,"1739 of 3141"
"Montague County",48337,46592.000000000,"1731 of 3141"
"Hamilton County",48193,46611.000000000,"1729 of 3141"
"Shackelford County",48417,46685.000000000,"1715 of 3141"
"Concho County",48095,46696.000000000,"1713 of 3141"
"Stonewall County",48433,46786.000000000,"1703 of 3141"
"Clay County",48077,46863.000000000,"1694 of 3141"
"Titus County",48449,46980.000000000,"1683 of 3141"
"Erath County",48143,47013.000000000,"1681 of 3141"
"Gonzales County",48177,47516.000000000,"1625 of 3141"
"Hopkins County",48223,47832.000000000,"1597 of 3141"
"Fannin County",48147,47875.000000000,"1592 of 3141"
"Gregg County",48183,47970.000000000,"1580 of 3141"
"Wood County",48499,48038.000000000,"1571 of 3141"
"Rains County",48379,48308.000000000,"1544 of 3141"
"Gray County",48179,48314.000000000,"1543 of 3141"
"Liberty County",48291,48344.000000000,"1536 of 3141"
"Edwards County",48137,48462.000000000,"1514 of 3141"
"Jones County",48253,48601.000000000,"1503 of 3141"
"Harrison County",48203,48644.000000000,"1501 of 3141"
"Bosque County",48035,48677.000000000,"1495 of 3141"
"Kerr County",48265,48698.000000000,"1492 of 3141"
"Floyd County",48153,48767.000000000,"1485 of 3141"
"Upshur County",48459,48796.000000000,"1484 of 3141"
"Lubbock County",48303,49078.000000000,"1461 of 3141"
"Taylor County",48441,49161.000000000,"1452 of 3141"
"Hockley County",48219,49184.000000000,"1449 of 3141"
"Rusk County",48401,49270.000000000,"1441 of 3141"
"Hunt County",48231,49319.000000000,"1437 of 3141"
"Reeves County",48389,49390.000000000,"1430 of 3141"
"Tom Green County",48451,49662.000000000,"1404 of 3141"
"Panola County",48365,49704.000000000,"1398 of 3141"
"Grimes County",48185,49745.000000000,"1385 of 3141"
"Foard County",48155,50000.000000000,"1360 of 3141"
"Sterling County",48431,50000.000000000,"1360 of 3141"
"Hutchinson County",48233,50035.000000000,"1356 of 3141"
"Van Zandt County",48467,50061.000000000,"1354 of 3141"
"Ochiltree County",48357,50120.000000000,"1345 of 3141"
"Wharton County",48481,50145.000000000,"1344 of 3141"
"Colorado County",48089,50241.000000000,"1332 of 3141"
"Refugio County",48391,50338.000000000,"1314 of 3141"
"Parmer County",48369,50410.000000000,"1308 of 3141"
"Llano County",48299,50524.000000000,"1296 of 3141"
"Pecos County",48371,50543.000000000,"1294 of 3141"
"Smith County",48423,50742.000000000,"1266 of 3141"
"Howard County",48227,50855.000000000,"1253 of 3141"
"Coryell County",48099,50865.000000000,"1252 of 3141"
"Wheeler County",48483,50910.000000000,"1243 of 3141"
"DeWitt County",48123,50960.000000000,"1234 of 3141"
"Caldwell County",48055,51346.000000000,"1196 of 3141"
"Live Oak County",48297,51480.000000000,"1174 of 3141"
"Deaf Smith County",48117,51543.000000000,"1169 of 3141"
"Lavaca County",48285,51708.000000000,"1152 of 3141"
"Robertson County",48395,52189.000000000,"1099 of 3141"
"Mitchell County",48335,52194.000000000,"1097 of 3141"
"Kent County",48263,52250.000000000,"1090 of 3141"
"Crockett County",48105,52310.000000000,"1081 of 3141"
"Somervell County",48425,52346.000000000,"1080 of 3141"
"Moore County",48341,52469.000000000,"1062 of 3141"
"Burleson County",48051,52510.000000000,"1059 of 3141"
"Bell County",48027,52583.000000000,"1050 of 3141"
"Grayson County",48181,52683.000000000,"1043 of 3141"
"Upton County",48461,52750.000000000,"1039 of 3141"
"Jack County",48237,52829.000000000,"1032 of 3141"
"Karnes County",48255,53051.000000000,"1013 of 3141"
"Nueces County",48355,53317.000000000,"993 of 3141"
"San Patricio County",48409,53332.000000000,"992 of 3141"
"Waller County",48473,53506.000000000,"981 of 3141"
"Dallas County",48113,53626.000000000,"970 of 3141"
"Orange County",48361,53667.000000000,"963 of 3141"
"Garza County",48169,53832.000000000,"939 of 3141"
"Bexar County",48029,53999.000000000,"920 of 3141"
"Lampasas County",48281,54467.000000000,"884 of 3141"
"Scurry County",48415,54565.000000000,"876 of 3141"
"Sherman County",48421,54961.000000000,"843 of 3141"
"Winkler County",48495,55000.000000000,"838 of 3141"
"Atascosa County",48013,55194.000000000,"824 of 3141"
"Victoria County",48469,55740.000000000,"790 of 3141"
"Lee County",48287,55741.000000000,"789 of 3141"
"Washington County",48477,55793.000000000,"783 of 3141"
"Hardin County",48199,56131.000000000,"760 of 3141"
"Gillespie County",48171,56267.000000000,"750 of 3141"
"Bandera County",48019,56413.000000000,"733 of 3141"
"Goliad County",48175,56737.000000000,"711 of 3141"
"Fayette County",48149,56941.000000000,"704 of 3141"
"King County",48269,56964.000000000,"701 of 3141"
"Burnet County",48053,57173.000000000,"690 of 3141"
"Harris County",48201,57791.000000000,"643 of 3141"
"Gaines County",48165,58167.000000000,"620 of 3141"
"Blanco County",48031,58500.000000000,"601 of 3141"
"Jackson County",48239,58504.000000000,"600 of 3141"
"Calhoun County",48057,58788.000000000,"582 of 3141"
"Wise County",48497,59081.000000000,"572 of 3141"
"Bastrop County",48021,59185.000000000,"566 of 3141"
"Medina County",48325,59305.000000000,"559 of 3141"
"Ector County",48135,59528.000000000,"541 of 3141"
"Lipscomb County",48295,59583.000000000,"536 of 3141"
"Reagan County",48383,59760.000000000,"529 of 3141"
"Cooke County",48097,60027.000000000,"520 of 3141"
"Hood County",48221,60275.000000000,"508 of 3141"
"Johnson County",48251,60458.000000000,"497 of 3141"
