------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"United States",00000,4.5,5305440,"N/A"
"Texas",48000,7.9,743837,"49 of 51"
"Baylor County",48023,0.0,0,"1 of 3140"
"Borden County",48033,0.0,0,"1 of 3140"
"Carson County",48065,0.0,0,"1 of 3140"
"Crockett County",48105,0.0,0,"1 of 3140"
"Delta County",48119,0.0,0,"1 of 3140"
"Irion County",48235,0.0,0,"1 of 3140"
"Motley County",48345,0.0,0,"1 of 3140"
"Newton County",48351,0.0,0,"1 of 3140"
"Roberts County",48393,0.0,0,"1 of 3140"
"Tyler County",48457,0.0,2,"305 of 3140"
"Red River County",48387,0.1,4,"374 of 3140"
"Clay County",48077,0.1,4,"400 of 3140"
"Concho County",48095,0.3,2,"698 of 3140"
"Coleman County",48083,0.3,12,"868 of 3140"
"Hardin County",48199,0.4,76,"912 of 3140"
"Cass County",48067,0.4,47,"970 of 3140"
"Donley County",48129,0.5,6,"1108 of 3140"
"Jasper County",48241,0.5,65,"1190 of 3140"
"Callahan County",48059,0.6,30,"1231 of 3140"
"Armstrong County",48011,0.6,4,"1234 of 3140"
"Morris County",48343,0.6,32,"1331 of 3140"
"Orange County",48361,0.7,225,"1411 of 3140"
"Sabine County",48403,0.8,29,"1487 of 3140"
"Bandera County",48019,0.8,66,"1528 of 3140"
"Panola County",48365,0.8,76,"1580 of 3140"
"Somervell County",48425,0.9,29,"1626 of 3140"
"Trinity County",48455,0.9,55,"1653 of 3140"
"Dickens County",48125,1.0,8,"1687 of 3140"
"Lamar County",48277,1.0,186,"1694 of 3140"
"San Jacinto County",48407,1.0,93,"1703 of 3140"
"Upshur County",48459,1.0,141,"1721 of 3140"
"Marion County",48315,1.0,46,"1753 of 3140"
"Rains County",48379,1.0,45,"1762 of 3140"
"Franklin County",48159,1.0,41,"1764 of 3140"
"Childress County",48075,1.1,26,"1834 of 3140"
"Lampasas County",48281,1.1,89,"1839 of 3140"
"Parker County",48367,1.2,537,"1902 of 3140"
"Bowie County",48037,1.2,406,"1904 of 3140"
"Shackelford County",48417,1.3,16,"1939 of 3140"
"Stonewall County",48433,1.3,6,"1961 of 3140"
"Archer County",48009,1.3,44,"1964 of 3140"
"Llano County",48299,1.3,116,"1982 of 3140"
"Hunt County",48231,1.5,477,"2078 of 3140"
"San Augustine County",48405,1.5,49,"2099 of 3140"
"Burleson County",48051,1.5,101,"2107 of 3140"
"Fannin County",48147,1.5,186,"2120 of 3140"
"Oldham County",48359,1.5,9,"2123 of 3140"
"Rockwall County",48397,1.6,471,"2124 of 3140"
"Wood County",48499,1.6,259,"2159 of 3140"
"Runnels County",48399,1.6,61,"2168 of 3140"
"Harrison County",48203,1.7,405,"2221 of 3140"
"Hutchinson County",48233,1.8,137,"2234 of 3140"
"Jackson County",48239,1.8,93,"2240 of 3140"
"Aransas County",48007,1.8,172,"2256 of 3140"
"Brown County",48049,1.8,255,"2274 of 3140"
"Blanco County",48031,1.9,82,"2303 of 3140"
"Henderson County",48213,1.9,591,"2304 of 3140"
"Gillespie County",48171,2.0,214,"2317 of 3140"
"Kendall County",48259,2.0,272,"2319 of 3140"
"Terrell County",48443,2.0,7,"2343 of 3140"
"Randall County",48381,2.1,1017,"2353 of 3140"
"Burnet County",48053,2.1,355,"2373 of 3140"
"Falls County",48145,2.1,116,"2375 of 3140"
"Erath County",48143,2.1,297,"2376 of 3140"
