------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Texas",48000,83.8,22656352,"37 of 51"
"United States",00000,85.4,270854872,"N/A"
"Garza County",48169,67.5,4509,"3131 of 3140"
"Brazos County",48041,69.7,147530,"3126 of 3140"
"Mitchell County",48335,72.7,6337,"3110 of 3140"
"Brooks County",48047,73.0,5210,"3109 of 3140"
"Lubbock County",48303,74.9,220276,"3087 of 3140"
"Jones County",48253,75.1,14799,"3085 of 3140"
"Coryell County",48099,75.4,56420,"3081 of 3140"
"Haskell County",48207,76.0,4357,"3076 of 3140"
"Taylor County",48441,76.1,101540,"3073 of 3140"
"Motley County",48345,76.3,830,"3068 of 3140"
"Bell County",48027,76.4,252535,"3066 of 3140"
"Wilbarger County",48487,76.9,9893,"3052 of 3140"
"Terry County",48445,77.5,9806,"3042 of 3140"
"Dawson County",48115,77.7,10099,"3034 of 3140"
"Nacogdoches County",48347,78.4,50732,"3016 of 3140"
"Hays County",48209,78.4,151179,"3014 of 3140"
"Hudspeth County",48229,78.6,2846,"3011 of 3140"
"Kleberg County",48273,79.1,24657,"2989 of 3140"
"Gregg County",48183,79.2,96273,"2984 of 3140"
"Wichita County",48485,79.6,103720,"2959 of 3140"
"McLennan County",48309,79.9,193925,"2940 of 3140"
"Palo Pinto County",48363,80.1,22362,"2930 of 3140"
"Brewster County",48043,80.2,7360,"2927 of 3140"
"Kinney County",48271,80.3,2915,"2916 of 3140"
"Rusk County",48401,80.4,42053,"2901 of 3140"
"Tom Green County",48451,80.4,92967,"2900 of 3140"
"Travis County",48453,80.5,934805,"2897 of 3140"
"Erath County",48143,80.5,32619,"2892 of 3140"
"Fannin County",48147,80.7,27035,"2884 of 3140"
"Potter County",48375,80.7,96062,"2883 of 3140"
"Dallam County",48111,80.8,5697,"2878 of 3140"
"Knox County",48275,80.9,3008,"2866 of 3140"
"Denton County",48121,80.9,624638,"2863 of 3140"
"Mason County",48319,81.3,3336,"2822 of 3140"
"Walker County",48471,81.4,57340,"2816 of 3140"
"Midland County",48329,81.5,127877,"2810 of 3140"
"Hale County",48189,81.6,27731,"2803 of 3140"
"Nueces County",48355,81.7,288600,"2791 of 3140"
"Hopkins County",48223,81.7,29056,"2790 of 3140"
"Ector County",48135,81.9,125100,"2776 of 3140"
"Liberty County",48291,81.9,64593,"2768 of 3140"
"Angelina County",48005,82.0,71097,"2756 of 3140"
