------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Texas",48000,4.0,1073164,"44 of 51"
"Loving County",48301,0.0,0,"1 of 3140"
"Webb County",48479,0.9,2355,"37 of 3140"
"El Paso County",48141,1.0,7959,"44 of 3140"
"Kenedy County",48261,1.1,6,"58 of 3140"
"Ochiltree County",48357,1.3,130,"87 of 3140"
"Hidalgo County",48215,1.3,10899,"104 of 3140"
"Briscoe County",48045,1.3,21,"105 of 3140"
"Cameron County",48061,1.3,5523,"110 of 3140"
"Starr County",48427,1.3,832,"111 of 3140"
"Zapata County",48505,1.4,196,"122 of 3140"
"Terrell County",48443,1.7,12,"204 of 3140"
"King County",48269,1.8,5,"234 of 3140"
"Sherman County",48421,1.9,58,"295 of 3140"
"Zavala County",48507,2.0,238,"327 of 3140"
"Harris County",48201,2.0,90464,"348 of 3140"
"Bowie County",48037,2.1,1903,"359 of 3140"
"Bailey County",48017,2.1,145,"360 of 3140"
"Schleicher County",48413,2.1,66,"401 of 3140"
"Runnels County",48399,2.1,220,"413 of 3140"
"Val Verde County",48465,2.2,1052,"438 of 3140"
"Cochran County",48079,2.2,63,"440 of 3140"
"Yoakum County",48501,2.3,189,"488 of 3140"
"Reagan County",48383,2.3,85,"504 of 3140"
"Colorado County",48089,2.4,503,"584 of 3140"
"Edwards County",48137,2.5,53,"628 of 3140"
"Cass County",48067,2.5,755,"650 of 3140"
"Matagorda County",48321,2.5,920,"652 of 3140"
"Maverick County",48323,2.6,1446,"673 of 3140"
"Bexar County",48029,2.6,48162,"683 of 3140"
"Wharton County",48481,2.6,1058,"684 of 3140"
"Fayette County",48149,2.6,641,"688 of 3140"
"Newton County",48351,2.7,379,"765 of 3140"
"Sabine County",48403,2.8,287,"835 of 3140"
"Dallas County",48113,2.9,71851,"882 of 3140"
"Uvalde County",48463,2.9,765,"905 of 3140"
"Titus County",48449,2.9,945,"932 of 3140"
"Coleman County",48083,3.0,248,"952 of 3140"
"Presidio County",48377,3.0,209,"956 of 3140"
"Calhoun County",48057,3.0,646,"973 of 3140"
"Moore County",48341,3.0,653,"996 of 3140"
"Upton County",48461,3.1,108,"1027 of 3140"
"Jim Wells County",48249,3.1,1259,"1034 of 3140"
"Deaf Smith County",48117,3.1,578,"1053 of 3140"
"Harrison County",48203,3.1,2069,"1076 of 3140"
"Hansford County",48195,3.2,174,"1107 of 3140"
"Winkler County",48495,3.3,248,"1170 of 3140"
"Tarrant County",48439,3.3,64025,"1184 of 3140"
"Lamar County",48277,3.3,1606,"1190 of 3140"
"Collingsworth County",48087,3.4,103,"1285 of 3140"
"Marion County",48315,3.4,346,"1298 of 3140"
"Hamilton County",48193,3.5,289,"1369 of 3140"
"Jeff Davis County",48243,3.6,80,"1413 of 3140"
"Comanche County",48093,3.6,478,"1422 of 3140"
"Young County",48503,3.7,661,"1475 of 3140"
"Camp County",48063,3.7,458,"1495 of 3140"
"Red River County",48387,3.7,457,"1522 of 3140"
"Victoria County",48469,3.7,3389,"1539 of 3140"
"Throckmorton County",48447,3.7,57,"1540 of 3140"
"Gaines County",48165,3.8,740,"1580 of 3140"
"Lampasas County",48281,3.8,775,"1585 of 3140"
"Lipscomb County",48295,3.9,131,"1613 of 3140"
"Wilson County",48493,3.9,1836,"1664 of 3140"
"Baylor County",48023,4.0,141,"1677 of 3140"
"Shelby County",48419,4.0,1016,"1715 of 3140"
"Hutchinson County",48233,4.0,866,"1735 of 3140"
"Orange County",48361,4.1,3384,"1753 of 3140"
"Hall County",48191,4.1,127,"1770 of 3140"
"Hemphill County",48211,4.1,169,"1778 of 3140"
"Wheeler County",48483,4.2,230,"1789 of 3140"
"Dimmit County",48127,4.2,445,"1793 of 3140"
"Martin County",48317,4.2,230,"1796 of 3140"
"Travis County",48453,4.2,48411,"1802 of 3140"
"Fisher County",48151,4.2,159,"1812 of 3140"
"Brazoria County",48039,4.2,14322,"1816 of 3140"
"Bell County",48027,4.2,13877,"1817 of 3140"
"Blanco County",48031,4.2,461,"1830 of 3140"
"Chambers County",48071,4.2,1638,"1835 of 3140"
"Ellis County",48139,4.2,6851,"1840 of 3140"
"Stonewall County",48433,4.3,46,"1867 of 3140"
"Wichita County",48485,4.3,5636,"1888 of 3140"
"Gillespie County",48171,4.3,1116,"1892 of 3140"
"Goliad County",48175,4.3,321,"1894 of 3140"
"Smith County",48423,4.3,9535,"1899 of 3140"
"Fort Bend County",48157,4.4,30650,"1902 of 3140"
"Navarro County",48349,4.4,2073,"1918 of 3140"
"Mills County",48333,4.4,213,"1922 of 3140"
"Archer County",48009,4.4,382,"1924 of 3140"
"Collin County",48085,4.4,39778,"1931 of 3140"
"Nueces County",48355,4.4,15569,"1933 of 3140"
"Tom Green County",48451,4.5,5144,"1965 of 3140"
"San Augustine County",48405,4.5,368,"1968 of 3140"
"Jefferson County",48245,4.5,11239,"1975 of 3140"
"Henderson County",48213,4.5,3522,"1982 of 3140"
"Sterling County",48431,4.5,51,"1995 of 3140"
"Johnson County",48251,4.5,7124,"2005 of 3140"
"Crockett County",48105,4.5,172,"2020 of 3140"
"Jim Hogg County",48247,4.6,235,"2023 of 3140"
"Lamb County",48279,4.6,611,"2050 of 3140"
"Crane County",48103,4.6,219,"2065 of 3140"
"McLennan County",48309,4.7,11292,"2066 of 3140"
"Ector County",48135,4.7,7174,"2092 of 3140"
"Brown County",48049,4.7,1758,"2094 of 3140"
"Houston County",48225,4.7,1067,"2106 of 3140"
"McMullen County",48311,4.7,28,"2115 of 3140"
"Mason County",48319,4.7,194,"2122 of 3140"
"Dallam County",48111,4.8,336,"2141 of 3140"
"Montgomery County",48339,4.8,25388,"2158 of 3140"
"Ward County",48475,4.8,547,"2166 of 3140"
"Hopkins County",48223,4.8,1723,"2177 of 3140"
"Parmer County",48369,4.9,472,"2189 of 3140"
"Culberson County",48109,4.9,108,"2195 of 3140"
"Cherokee County",48073,4.9,2499,"2205 of 3140"
"Hudspeth County",48229,4.9,179,"2225 of 3140"
"Grayson County",48181,4.9,6154,"2228 of 3140"
"McCulloch County",48307,5.0,403,"2231 of 3140"
"Foard County",48155,5.0,70,"2251 of 3140"
"Gonzales County",48177,5.0,1006,"2251 of 3140"
"Willacy County",48489,5.0,1077,"2257 of 3140"
"Hardeman County",48197,5.0,197,"2263 of 3140"
"Jackson County",48239,5.0,734,"2276 of 3140"
"Armstrong County",48011,5.1,97,"2283 of 3140"
"Angelina County",48005,5.1,4383,"2286 of 3140"
"Hardin County",48199,5.1,2812,"2296 of 3140"
"Castro County",48069,5.1,396,"2299 of 3140"
"Morris County",48343,5.1,631,"2303 of 3140"
"Midland County",48329,5.1,8000,"2306 of 3140"
"Menard County",48327,5.1,108,"2315 of 3140"
"Hood County",48221,5.1,2806,"2318 of 3140"
"Somervell County",48425,5.2,450,"2376 of 3140"
"Jasper County",48241,5.3,1861,"2388 of 3140"
"Kerr County",48265,5.3,2658,"2392 of 3140"
"Shackelford County",48417,5.3,175,"2394 of 3140"
"Limestone County",48293,5.3,1231,"2400 of 3140"
"Austin County",48015,5.3,1555,"2410 of 3140"
"Atascosa County",48013,5.3,2538,"2416 of 3140"
"Panola County",48365,5.3,1251,"2417 of 3140"
"Cottle County",48101,5.4,79,"2439 of 3140"
"Howard County",48227,5.4,1947,"2449 of 3140"
"Callahan County",48059,5.4,733,"2450 of 3140"
"Wilbarger County",48487,5.5,705,"2479 of 3140"
"Van Zandt County",48467,5.5,2907,"2483 of 3140"
"Coke County",48081,5.5,176,"2488 of 3140"
"Galveston County",48167,5.5,17460,"2489 of 3140"
"Taylor County",48441,5.5,7364,"2494 of 3140"
"Rains County",48379,5.6,621,"2513 of 3140"
"Floyd County",48153,5.6,332,"2522 of 3140"
"Frio County",48163,5.7,1083,"2568 of 3140"
"Franklin County",48159,5.7,603,"2569 of 3140"
"Gregg County",48183,5.8,6997,"2576 of 3140"
"Upshur County",48459,5.8,2304,"2580 of 3140"
"Potter County",48375,5.8,6940,"2596 of 3140"
"Leon County",48289,5.8,970,"2597 of 3140"
"Hill County",48217,5.9,2046,"2606 of 3140"
"Guadalupe County",48187,5.9,8816,"2609 of 3140"
"Cooke County",48097,6.0,2335,"2640 of 3140"
"Robertson County",48395,6.1,1010,"2654 of 3140"
"Parker County",48367,6.1,7597,"2655 of 3140"
"Washington County",48477,6.1,2108,"2660 of 3140"
"Live Oak County",48297,6.2,733,"2670 of 3140"
"Andrews County",48003,6.2,1068,"2680 of 3140"
"Trinity County",48455,6.2,898,"2690 of 3140"
"Dickens County",48125,6.3,139,"2696 of 3140"
"San Patricio County",48409,6.3,4151,"2706 of 3140"
"Wise County",48497,6.3,3941,"2708 of 3140"
"Glasscock County",48173,6.3,88,"2711 of 3140"
"Kinney County",48271,6.4,232,"2722 of 3140"
"La Salle County",48283,6.5,471,"2734 of 3140"
"Rockwall County",48397,6.5,5799,"2745 of 3140"
"Williamson County",48491,6.5,32796,"2750 of 3140"
"Hunt County",48231,6.6,5913,"2766 of 3140"
"Kleberg County",48273,6.6,2065,"2768 of 3140"
"Milam County",48331,6.6,1608,"2769 of 3140"
"Carson County",48065,6.7,400,"2778 of 3140"
"Concho County",48095,6.7,258,"2779 of 3140"
"Wood County",48499,6.7,2881,"2783 of 3140"
"Kimble County",48267,6.7,293,"2785 of 3140"
"Eastland County",48133,6.7,1217,"2789 of 3140"
"Medina County",48325,6.8,3251,"2794 of 3140"
"Denton County",48121,6.8,52496,"2797 of 3140"
"Randall County",48381,6.8,8838,"2807 of 3140"
"Lubbock County",48303,6.9,20171,"2809 of 3140"
"Duval County",48131,6.9,783,"2811 of 3140"
"Bosque County",48035,6.9,1236,"2818 of 3140"
"Lynn County",48305,6.9,399,"2820 of 3140"
"DeWitt County",48123,6.9,1410,"2821 of 3140"
"Polk County",48373,6.9,3229,"2822 of 3140"
"San Jacinto County",48407,7.0,1894,"2824 of 3140"
"Donley County",48129,7.0,239,"2827 of 3140"
"Palo Pinto County",48363,7.0,1958,"2828 of 3140"
"Montague County",48337,7.0,1343,"2829 of 3140"
"Lavaca County",48285,7.1,1389,"2841 of 3140"
"Tyler County",48457,7.1,1509,"2843 of 3140"
"Borden County",48033,7.1,41,"2847 of 3140"
"Reeves County",48389,7.1,1046,"2851 of 3140"
"Karnes County",48255,7.2,1078,"2863 of 3140"
"Grimes County",48185,7.3,2002,"2879 of 3140"
"Refugio County",48391,7.5,541,"2894 of 3140"
"Burleson County",48051,7.5,1306,"2896 of 3140"
"Nolan County",48353,7.5,1118,"2902 of 3140"
"Comal County",48091,7.5,9649,"2905 of 3140"
"Kaufman County",48257,7.6,8549,"2908 of 3140"
"Scurry County",48415,7.6,1292,"2910 of 3140"
"Bastrop County",48021,7.6,6000,"2911 of 3140"
"Burnet County",48053,7.6,3381,"2912 of 3140"
"Clay County",48077,7.8,800,"2932 of 3140"
"Hockley County",48219,7.9,1810,"2937 of 3140"
"Crosby County",48107,8.0,460,"2946 of 3140"
"Kent County",48263,8.0,51,"2947 of 3140"
"Aransas County",48007,8.0,1967,"2956 of 3140"
"Delta County",48119,8.0,412,"2960 of 3140"
"Sutton County",48435,8.1,312,"2963 of 3140"
"Coryell County",48099,8.2,6161,"2970 of 3140"
"Dawson County",48115,8.4,1085,"2978 of 3140"
"Waller County",48473,8.4,4005,"2979 of 3140"
"Lee County",48287,8.4,1393,"2980 of 3140"
"Nacogdoches County",48347,8.4,5408,"2980 of 3140"
"Llano County",48299,8.4,1676,"2982 of 3140"
"Erath County",48143,8.5,3446,"2991 of 3140"
"Gray County",48179,8.6,1961,"3000 of 3140"
"Falls County",48145,8.7,1486,"3001 of 3140"
"Anderson County",48001,8.8,5019,"3007 of 3140"
"Freestone County",48161,8.8,1709,"3008 of 3140"
"Stephens County",48429,8.9,823,"3015 of 3140"
"Kendall County",48259,8.9,3575,"3017 of 3140"
"Childress County",48075,8.9,620,"3018 of 3140"
"Oldham County",48359,9.0,186,"3019 of 3140"
"Terry County",48445,9.0,1142,"3024 of 3140"
"Hale County",48189,9.1,3083,"3029 of 3140"
"Swisher County",48437,9.2,690,"3032 of 3140"
"Real County",48385,9.3,306,"3034 of 3140"
"Pecos County",48371,9.6,1498,"3046 of 3140"
"Brooks County",48047,9.7,693,"3051 of 3140"
"Bandera County",48019,9.8,2081,"3055 of 3140"
"Hartley County",48205,10.0,577,"3058 of 3140"
"San Saba County",48411,10.3,594,"3067 of 3140"
"Brewster County",48043,10.4,951,"3071 of 3140"
"Caldwell County",48055,10.4,4160,"3074 of 3140"
"Hays County",48209,10.5,20255,"3079 of 3140"
"Liberty County",48291,10.8,8517,"3085 of 3140"
"Fannin County",48147,11.0,3701,"3092 of 3140"
"Knox County",48275,11.0,411,"3093 of 3140"
"Walker County",48471,11.1,7813,"3094 of 3140"
"Brazos County",48041,11.1,23467,"3095 of 3140"
"Bee County",48025,11.5,3723,"3100 of 3140"
"Jack County",48237,12.1,1058,"3107 of 3140"
"Madison County",48313,12.2,1691,"3109 of 3140"
"Motley County",48345,12.2,133,"3110 of 3140"
"Irion County",48235,12.3,195,"3111 of 3140"
"Roberts County",48393,13.1,116,"3118 of 3140"
"Rusk County",48401,13.3,6959,"3119 of 3140"
"Garza County",48169,14.9,993,"3125 of 3140"
"Mitchell County",48335,15.2,1326,"3128 of 3140"
"Haskell County",48207,16.1,923,"3134 of 3140"
