------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Texas",48000,2.0,541518,"10 of 51"
"United States",00000,2.3,7354769,"N/A"
"Duval County",48131,0.0,0,"1 of 3140"
"King County",48269,0.0,0,"1 of 3140"
"Roberts County",48393,0.0,0,"1 of 3140"
"Sterling County",48431,0.0,0,"1 of 3140"
"Terrell County",48443,0.0,0,"1 of 3140"
"Jim Hogg County",48247,0.0,1,"15 of 3140"
"Edwards County",48137,0.0,1,"19 of 3140"
"Hamilton County",48193,0.0,4,"20 of 3140"
"Crockett County",48105,0.1,4,"26 of 3140"
"Schleicher County",48413,0.1,4,"29 of 3140"
"Zapata County",48505,0.1,19,"30 of 3140"
"Kent County",48263,0.2,1,"32 of 3140"
"Refugio County",48391,0.2,12,"34 of 3140"
"Starr County",48427,0.2,105,"35 of 3140"
"Kenedy County",48261,0.2,1,"42 of 3140"
"Crosby County",48107,0.2,11,"44 of 3140"
"Shackelford County",48417,0.2,7,"49 of 3140"
"Wharton County",48481,0.2,91,"52 of 3140"
"Yoakum County",48501,0.2,19,"55 of 3140"
"Limestone County",48293,0.3,68,"77 of 3140"
"Jim Wells County",48249,0.3,121,"78 of 3140"
"Gonzales County",48177,0.3,60,"79 of 3140"
"Dimmit County",48127,0.3,32,"82 of 3140"
"Young County",48503,0.3,56,"87 of 3140"
"Lavaca County",48285,0.3,61,"89 of 3140"
"Houston County",48225,0.3,72,"92 of 3140"
"Borden County",48033,0.3,2,"101 of 3140"
"Frio County",48163,0.3,66,"102 of 3140"
"Pecos County",48371,0.4,55,"105 of 3140"
"Lynn County",48305,0.4,21,"111 of 3140"
"Karnes County",48255,0.4,56,"115 of 3140"
"Newton County",48351,0.4,57,"126 of 3140"
"Archer County",48009,0.4,38,"141 of 3140"
"Coke County",48081,0.4,14,"142 of 3140"
"Comanche County",48093,0.4,59,"147 of 3140"
"Brown County",48049,0.4,167,"149 of 3140"
"Washington County",48477,0.5,158,"153 of 3140"
"Morris County",48343,0.5,57,"154 of 3140"
"Sherman County",48421,0.5,14,"157 of 3140"
"Webb County",48479,0.5,1232,"160 of 3140"
