------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Texas",48000,30.5,8369144,"6 of 52"
"United States",00000,32.4,104105673,"N/A"
"Motley County",48345,19.5,217,"6 of 3141"
"Brazos County",48041,22.1,47400,"15 of 3141"
"Kleberg County",48273,23.2,7315,"27 of 3141"
"Childress County",48075,23.6,1664,"30 of 3141"
"Zapata County",48505,23.6,3409,"31 of 3141"
"Brooks County",48047,24.3,1765,"36 of 3141"
"Frio County",48163,24.7,4727,"41 of 3141"
"Starr County",48427,25.1,15937,"48 of 3141"
"Hidalgo County",48215,25.2,211586,"50 of 3141"
"Erath County",48143,25.2,10346,"52 of 3141"
"Coryell County",48099,25.8,19534,"66 of 3141"
"Webb County",48479,25.8,69493,"67 of 3141"
"Gaines County",48165,25.9,5150,"70 of 3141"
"Swisher County",48437,26.0,1959,"73 of 3141"
"Jim Hogg County",48247,26.0,1370,"76 of 3141"
"Val Verde County",48465,26.1,12764,"79 of 3141"
"Mitchell County",48335,26.2,2298,"83 of 3141"
"Willacy County",48489,26.2,5724,"84 of 3141"
"Taylor County",48441,26.2,35482,"85 of 3141"
"Lubbock County",48303,26.3,78329,"89 of 3141"
"Bell County",48027,26.4,88851,"92 of 3141"
"Ector County",48135,26.6,41374,"100 of 3141"
"Nacogdoches County",48347,26.6,17398,"103 of 3141"
"Bailey County",48017,26.6,1891,"105 of 3141"
"Oldham County",48359,26.6,555,"106 of 3141"
"Maverick County",48323,26.7,15373,"110 of 3141"
"McMullen County",48311,26.8,161,"114 of 3141"
"Dawson County",48115,26.8,3514,"115 of 3141"
"Dimmit County",48127,26.9,2915,"119 of 3141"
"Schleicher County",48413,27.1,847,"126 of 3141"
"Cameron County",48061,27.1,114040,"127 of 3141"
"Deaf Smith County",48117,27.2,5160,"134 of 3141"
"Terrell County",48443,27.5,198,"145 of 3141"
"Dallam County",48111,27.6,1988,"153 of 3141"
"Waller County",48473,27.8,13461,"168 of 3141"
"Floyd County",48153,27.8,1656,"169 of 3141"
"Duval County",48131,27.8,3183,"171 of 3141"
"Madison County",48313,27.8,3892,"172 of 3141"
"Tom Green County",48451,27.9,32570,"174 of 3141"
"McLennan County",48309,27.9,68463,"175 of 3141"
"Terry County",48445,28.0,3567,"186 of 3141"
"Martin County",48317,28.1,1557,"194 of 3141"
"Uvalde County",48463,28.1,7589,"195 of 3141"
"Moore County",48341,28.2,6214,"202 of 3141"
"Roberts County",48393,28.2,251,"203 of 3141"
"Midland County",48329,28.2,45149,"204 of 3141"
"Cochran County",48079,28.2,828,"205 of 3141"
"El Paso County",48141,28.3,236407,"213 of 3141"
"Upton County",48461,28.3,1013,"216 of 3141"
"Hays County",48209,28.4,55258,"217 of 3141"
"Kenedy County",48261,28.4,160,"219 of 3141"
"Zavala County",48507,28.5,3460,"229 of 3141"
"Andrews County",48003,28.5,5015,"235 of 3141"
"Hale County",48189,28.6,9883,"241 of 3141"
"Yoakum County",48501,28.7,2435,"249 of 3141"
"Titus County",48449,28.8,9391,"254 of 3141"
"Donley County",48129,28.8,987,"255 of 3141"
"Ochiltree County",48357,28.8,3015,"256 of 3141"
"Crane County",48103,28.8,1391,"257 of 3141"
"Scurry County",48415,28.8,4995,"259 of 3141"
"Borden County",48033,28.9,174,"268 of 3141"
"Jim Wells County",48249,29.0,11973,"274 of 3141"
"Winkler County",48495,29.0,2258,"282 of 3141"
"Parmer County",48369,29.1,2874,"287 of 3141"
