------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Texas",48000,4.6,1260383,"13 of 52"
"United States",00000,5.5,17756436,"N/A"
"Armstrong County",48011,0.0,0,"2927 of 3141"
"Baylor County",48023,0.0,0,"2927 of 3141"
"Borden County",48033,0.0,0,"2927 of 3141"
"Brooks County",48047,0.0,0,"2927 of 3141"
"Cochran County",48079,0.0,0,"2927 of 3141"
"Cottle County",48101,0.0,0,"2927 of 3141"
"Crane County",48103,0.0,0,"2927 of 3141"
"Crockett County",48105,0.0,0,"2927 of 3141"
"Crosby County",48107,0.0,0,"2927 of 3141"
"Edwards County",48137,0.0,0,"2927 of 3141"
"Foard County",48155,0.0,0,"2927 of 3141"
"Glasscock County",48173,0.0,0,"2927 of 3141"
"Hansford County",48195,0.0,0,"2927 of 3141"
"Irion County",48235,0.0,0,"2927 of 3141"
"Jim Hogg County",48247,0.0,0,"2927 of 3141"
"Kent County",48263,0.0,0,"2927 of 3141"
"King County",48269,0.0,0,"2927 of 3141"
"Kinney County",48271,0.0,0,"2927 of 3141"
"Loving County",48301,0.0,0,"2927 of 3141"
"McCulloch County",48307,0.0,0,"2927 of 3141"
"McMullen County",48311,0.0,0,"2927 of 3141"
"Menard County",48327,0.0,0,"2927 of 3141"
"Motley County",48345,0.0,0,"2927 of 3141"
"Reagan County",48383,0.0,0,"2927 of 3141"
"San Augustine County",48405,0.0,0,"2927 of 3141"
"Sherman County",48421,0.0,0,"2927 of 3141"
"Sterling County",48431,0.0,0,"2927 of 3141"
"Stonewall County",48433,0.0,0,"2927 of 3141"
"Terrell County",48443,0.0,0,"2927 of 3141"
"Terry County",48445,0.0,0,"2927 of 3141"
"Winkler County",48495,0.0,0,"2927 of 3141"
"DeWitt County",48123,0.0,1,"2926 of 3141"
"San Jacinto County",48407,0.0,2,"2924 of 3141"
