------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Texas",48000,61.1,16745703,"3 of 52"
"United States",00000,82.4,264493836,"N/A"
"Starr County",48427,0.8,517,"1 of 3141"
"Webb County",48479,4.5,12142,"3 of 3141"
"Maverick County",48323,4.7,2704,"4 of 3141"
"Brooks County",48047,5.9,427,"5 of 3141"
"Zapata County",48505,5.9,855,"6 of 3141"
"Jim Hogg County",48247,6.2,324,"7 of 3141"
"Zavala County",48507,6.4,778,"8 of 3141"
"Hidalgo County",48215,8.2,68745,"9 of 3141"
"Cameron County",48061,10.7,44945,"10 of 3141"
"Duval County",48131,10.7,1223,"11 of 3141"
"Kenedy County",48261,11.5,65,"12 of 3141"
"Willacy County",48489,12.0,2631,"13 of 3141"
"Dimmit County",48127,13.5,1460,"14 of 3141"
"El Paso County",48141,17.8,148652,"17 of 3141"
"Presidio County",48377,18.6,1337,"19 of 3141"
"Val Verde County",48465,18.6,9121,"20 of 3141"
"Culberson County",48109,19.3,436,"21 of 3141"
"Jim Wells County",48249,19.8,8167,"22 of 3141"
"La Salle County",48283,20.1,1490,"23 of 3141"
"Frio County",48163,21.5,4104,"25 of 3141"
"Hudspeth County",48229,21.6,801,"26 of 3141"
"Reeves County",48389,25.0,3695,"28 of 3141"
"Kleberg County",48273,27.7,8721,"29 of 3141"
"Deaf Smith County",48117,28.4,5373,"30 of 3141"
"Uvalde County",48463,29.1,7857,"32 of 3141"
"Reagan County",48383,29.9,1115,"33 of 3141"
"Pecos County",48371,31.5,4982,"34 of 3141"
"Crockett County",48105,33.9,1299,"37 of 3141"
"Yoakum County",48501,35.0,2965,"39 of 3141"
"Castro County",48069,36.1,2852,"40 of 3141"
"Atascosa County",48013,36.5,17554,"43 of 3141"
"Nueces County",48355,37.0,132673,"44 of 3141"
"Crane County",48103,37.2,1800,"46 of 3141"
"Bailey County",48017,37.3,2651,"47 of 3141"
"Parmer County",48369,37.6,3710,"48 of 3141"
"Kinney County",48271,38.2,1386,"50 of 3141"
"Bexar County",48029,40.2,761055,"52 of 3141"
"Sutton County",48435,40.6,1580,"54 of 3141"
"Winkler County",48495,40.6,3158,"55 of 3141"
"Hale County",48189,41.2,14236,"57 of 3141"
"Ector County",48135,41.3,64269,"58 of 3141"
"Bee County",48025,41.8,13671,"60 of 3141"
"Floyd County",48153,42.2,2513,"64 of 3141"
"Cochran County",48079,43.0,1260,"65 of 3141"
"Edwards County",48137,43.1,910,"66 of 3141"
"San Patricio County",48409,43.2,28863,"68 of 3141"
"Dawson County",48115,43.6,5705,"71 of 3141"
"Terrell County",48443,43.7,315,"72 of 3141"
"Crosby County",48107,44.6,2629,"75 of 3141"
"Andrews County",48003,44.6,7840,"76 of 3141"
"Lamb County",48279,45.0,6021,"77 of 3141"
"Moore County",48341,45.9,10096,"78 of 3141"
"Garza County",48169,46.0,3100,"79 of 3141"
"Terry County",48445,46.2,5897,"81 of 3141"
"Concho County",48095,47.0,1812,"84 of 3141"
"Ochiltree County",48357,47.0,4931,"85 of 3141"
"Karnes County",48255,47.1,7086,"86 of 3141"
"Ward County",48475,47.8,5497,"91 of 3141"
"Schleicher County",48413,48.2,1504,"93 of 3141"
"Medina County",48325,48.7,23664,"95 of 3141"
"Caldwell County",48055,49.3,20007,"97 of 3141"
"McMullen County",48311,49.5,297,"98 of 3141"
"Gonzales County",48177,49.9,10265,"99 of 3141"
"Upton County",48461,50.3,1797,"101 of 3141"
"Refugio County",48391,50.3,3667,"102 of 3141"
"Calhoun County",48057,51.9,11318,"109 of 3141"
"Lynn County",48305,52.8,3057,"112 of 3141"
"Hockley County",48219,53.1,12352,"113 of 3141"
"Hansford County",48195,53.6,2963,"115 of 3141"
"Victoria County",48469,54.0,49379,"117 of 3141"
"Martin County",48317,54.9,3047,"121 of 3141"
"Brewster County",48043,55.8,5141,"127 of 3141"
"Dallam County",48111,56.2,4050,"128 of 3141"
"Sherman County",48421,56.7,1740,"129 of 3141"
"Midland County",48329,56.8,90759,"130 of 3141"
"Swisher County",48437,56.9,4288,"133 of 3141"
"Harris County",48201,57.8,2614984,"137 of 3141"
"Titus County",48449,57.9,18915,"138 of 3141"
"Matagorda County",48321,58.6,21514,"142 of 3141"
"Howard County",48227,58.8,21461,"144 of 3141"
"Sterling County",48431,59.2,674,"148 of 3141"
"Glasscock County",48173,59.4,844,"151 of 3141"
"Gaines County",48165,59.4,11823,"152 of 3141"
"Wharton County",48481,59.7,24748,"154 of 3141"
"Scurry County",48415,60.3,10455,"155 of 3141"
"Dallas County",48113,60.4,1540839,"156 of 3141"
"Mitchell County",48335,60.7,5328,"158 of 3141"
"Wilson County",48493,60.8,28717,"159 of 3141"
"Tom Green County",48451,61.2,71499,"160 of 3141"
"Live Oak County",48297,61.2,7374,"161 of 3141"
"Hays County",48209,62.2,121235,"165 of 3141"
"Potter County",48375,62.4,75670,"167 of 3141"
"Guadalupe County",48187,62.7,94570,"171 of 3141"
"Menard County",48327,62.7,1331,"172 of 3141"
"Nolan County",48353,63.6,9534,"176 of 3141"
"Jeff Davis County",48243,63.8,1426,"177 of 3141"
"Bastrop County",48021,64.0,51423,"178 of 3141"
"Goliad County",48175,64.4,4835,"180 of 3141"
"Hemphill County",48211,64.8,2691,"182 of 3141"
"DeWitt County",48123,65.5,13412,"187 of 3141"
"Lubbock County",48303,65.5,195272,"188 of 3141"
"Hall County",48191,65.8,2042,"192 of 3141"
"Travis County",48453,66.1,778186,"195 of 3141"
"Runnels County",48399,66.2,6792,"196 of 3141"
"Knox County",48275,66.6,2498,"199 of 3141"
"Cottle County",48101,67.3,1008,"206 of 3141"
"Jackson County",48239,67.7,9996,"208 of 3141"
"Briscoe County",48045,67.8,1078,"209 of 3141"
"McCulloch County",48307,68.4,5574,"213 of 3141"
"Collingsworth County",48087,68.7,2080,"215 of 3141"
"Lipscomb County",48295,70.1,2449,"227 of 3141"
"Fisher County",48151,70.2,2719,"229 of 3141"
"San Saba County",48411,70.3,4112,"231 of 3141"
"Brazoria County",48039,70.3,243280,"232 of 3141"
"Waller County",48473,70.6,34213,"237 of 3141"
"Colorado County",48089,71.1,14868,"239 of 3141"
"Wilbarger County",48487,71.4,9262,"241 of 3141"
"Tarrant County",48439,71.8,1424650,"243 of 3141"
"Gray County",48179,72.1,16550,"247 of 3141"
"Haskell County",48207,72.4,4201,"251 of 3141"
"Dickens County",48125,72.4,1610,"252 of 3141"
"Comanche County",48093,72.7,9815,"257 of 3141"
"Jones County",48253,72.8,14545,"259 of 3141"
"Aransas County",48007,73.0,18118,"261 of 3141"
"Comal County",48091,73.2,94535,"265 of 3141"
"King County",48269,73.4,212,"268 of 3141"
"Wheeler County",48483,73.5,4114,"270 of 3141"
"Hartley County",48205,73.8,4294,"274 of 3141"
"Navarro County",48349,73.8,35592,"275 of 3141"
"Kerr County",48265,73.9,37498,"276 of 3141"
"Austin County",48015,74.1,21694,"281 of 3141"
"Milam County",48331,74.2,18173,"284 of 3141"
"McLennan County",48309,74.4,182710,"285 of 3141"
"Ellis County",48139,74.5,122301,"286 of 3141"
"Brazos County",48041,74.9,160535,"288 of 3141"
"Mason County",48319,75.7,3121,"298 of 3141"
"Fort Bend County",48157,75.8,539472,"301 of 3141"
"Williamson County",48491,75.9,385926,"302 of 3141"
"Bell County",48027,76.0,255660,"303 of 3141"
"Camp County",48063,76.1,9636,"305 of 3141"
"Galveston County",48167,76.1,244378,"307 of 3141"
"Taylor County",48441,76.2,103152,"310 of 3141"
"Kimble County",48267,76.3,3383,"311 of 3141"
"Grimes County",48185,76.4,20890,"312 of 3141"
"Lee County",48287,76.8,12934,"318 of 3141"
"Stephens County",48429,76.8,7189,"319 of 3141"
"Kendall County",48259,77.0,31021,"320 of 3141"
"Montgomery County",48339,77.0,412253,"321 of 3141"
"Irion County",48235,77.1,1228,"322 of 3141"
"Falls County",48145,77.2,13350,"323 of 3141"
"Stonewall County",48433,77.3,838,"327 of 3141"
"Gillespie County",48171,77.5,20090,"330 of 3141"
"Hutchinson County",48233,77.5,16817,"332 of 3141"
"Cherokee County",48073,77.5,39989,"333 of 3141"
"Madison County",48313,77.6,10845,"335 of 3141"
"Burnet County",48053,78.1,35160,"342 of 3141"
"Liberty County",48291,78.1,62396,"343 of 3141"
"Childress County",48075,78.3,5528,"344 of 3141"
"Foard County",48155,78.4,1108,"346 of 3141"
"Kent County",48263,78.4,533,"348 of 3141"
"Angelina County",48005,78.5,68829,"349 of 3141"
"Brown County",48049,78.5,29668,"350 of 3141"
"Chambers County",48071,78.6,30887,"352 of 3141"
"Hardeman County",48197,78.7,3140,"354 of 3141"
"Limestone County",48293,78.7,18486,"355 of 3141"
"Coke County",48081,78.9,2556,"358 of 3141"
"Erath County",48143,79.4,32577,"368 of 3141"
"Fayette County",48149,79.6,19865,"370 of 3141"
"Johnson County",48251,79.7,127698,"372 of 3141"
"Robertson County",48395,79.8,13345,"374 of 3141"
"Randall County",48381,79.8,104238,"376 of 3141"
"Burleson County",48051,79.9,14059,"377 of 3141"
"Hill County",48217,80.0,28081,"381 of 3141"
"Kaufman County",48257,80.1,92035,"382 of 3141"
"Real County",48385,80.2,2694,"385 of 3141"
"Palo Pinto County",48363,80.3,22570,"388 of 3141"
"Jefferson County",48245,80.5,204849,"391 of 3141"
"Lampasas County",48281,80.8,16538,"398 of 3141"
"Blanco County",48031,80.9,8970,"399 of 3141"
"Denton County",48121,80.9,632035,"400 of 3141"
"Somervell County",48425,80.9,7002,"401 of 3141"
"Smith County",48423,81.0,180149,"404 of 3141"
"Nacogdoches County",48347,81.1,53039,"406 of 3141"
"Wise County",48497,81.2,51388,"412 of 3141"
"Wichita County",48485,81.5,107355,"416 of 3141"
"Mills County",48333,81.7,3995,"422 of 3141"
"Gregg County",48183,81.8,100953,"423 of 3141"
"Lavaca County",48285,81.9,16266,"426 of 3141"
"Young County",48503,81.9,14883,"427 of 3141"
"Bandera County",48019,82.0,17480,"428 of 3141"
"Shelby County",48419,82.2,21109,"434 of 3141"
"Walker County",48471,82.2,58234,"436 of 3141"
"Coryell County",48099,82.2,62359,"437 of 3141"
"Bosque County",48035,82.4,14801,"440 of 3141"
"Coleman County",48083,82.6,6957,"443 of 3141"
"Cooke County",48097,82.7,32290,"446 of 3141"
"Anderson County",48001,82.7,47766,"448 of 3141"
"Rockwall County",48397,82.9,74995,"453 of 3141"
"Motley County",48345,83.7,932,"469 of 3141"
"Hopkins County",48223,83.7,30070,"471 of 3141"
"Jack County",48237,83.7,7400,"472 of 3141"
"Loving County",48301,83.8,62,"475 of 3141"
"Rusk County",48401,83.9,44467,"477 of 3141"
"Eastland County",48133,84.0,15355,"480 of 3141"
"Throckmorton County",48447,84.2,1297,"484 of 3141"
"Washington County",48477,84.5,29295,"495 of 3141"
"Oldham County",48359,84.5,1761,"496 of 3141"
"Hunt County",48231,84.7,76485,"504 of 3141"
"Collin County",48085,84.9,776204,"510 of 3141"
"Polk County",48373,85.2,40028,"520 of 3141"
"Freestone County",48161,85.3,16755,"523 of 3141"
"Leon County",48289,85.8,14561,"544 of 3141"
"Franklin County",48159,86.1,9160,"552 of 3141"
"Harrison County",48203,87.3,58139,"585 of 3141"
"Grayson County",48181,87.3,110147,"587 of 3141"
"San Jacinto County",48407,87.5,24003,"597 of 3141"
"Henderson County",48213,87.9,70019,"618 of 3141"
"Hamilton County",48193,88.0,7233,"626 of 3141"
"Hood County",48221,88.0,48777,"628 of 3141"
"Shackelford County",48417,88.3,2957,"641 of 3141"
"Parker County",48367,88.5,111502,"648 of 3141"
"Montague County",48337,89.3,17334,"692 of 3141"
"Houston County",48225,89.3,20410,"693 of 3141"
"Donley County",48129,89.4,3068,"695 of 3141"
"Fannin County",48147,89.4,30207,"698 of 3141"
"Van Zandt County",48467,89.7,48097,"712 of 3141"
"Baylor County",48023,89.9,3237,"717 of 3141"
"Armstrong County",48011,90.0,1737,"736 of 3141"
"Llano County",48299,90.2,18212,"746 of 3141"
"Carson County",48065,90.3,5447,"756 of 3141"
"Wood County",48499,90.4,39148,"766 of 3141"
"Trinity County",48455,90.7,13134,"783 of 3141"
"Morris County",48343,90.8,11382,"799 of 3141"
"Callahan County",48059,90.9,12411,"801 of 3141"
"Rains County",48379,91.3,10273,"838 of 3141"
"Panola County",48365,91.4,21557,"846 of 3141"
"Archer County",48009,91.7,8062,"870 of 3141"
"Upshur County",48459,91.9,37243,"893 of 3141"
"Borden County",48033,92.4,556,"920 of 3141"
"Lamar County",48277,92.5,45712,"943 of 3141"
"Roberts County",48393,92.6,823,"950 of 3141"
"Bowie County",48037,92.6,86703,"952 of 3141"
"Tyler County",48457,92.7,19892,"966 of 3141"
"Red River County",48387,92.7,11456,"971 of 3141"
"Orange County",48361,92.9,77963,"989 of 3141"
"San Augustine County",48405,93.1,7819,"999 of 3141"
"Delta County",48119,93.1,4815,"1004 of 3141"
"Jasper County",48241,93.5,33150,"1062 of 3141"
"Clay County",48077,94.3,9782,"1187 of 3141"
"Hardin County",48199,94.6,52990,"1245 of 3141"
"Cass County",48067,95.7,28812,"1466 of 3141"
"Sabine County",48403,96.0,10007,"1552 of 3141"
"Marion County",48315,96.1,9746,"1593 of 3141"
"Newton County",48351,96.5,13697,"1715 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
