------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Texas",48000,74.6,20459525,"32 of 52"
"Crockett County",48105,40.3,1546,"3038 of 3141"
"Reagan County",48383,46.5,1737,"2984 of 3141"
"Crane County",48103,51.0,2466,"2945 of 3141"
"Upton County",48461,51.2,1829,"2943 of 3141"
"Fort Bend County",48157,52.3,371815,"2929 of 3141"
"Gonzales County",48177,56.4,11598,"2876 of 3141"
"Jefferson County",48245,58.5,149012,"2845 of 3141"
"Dallas County",48113,61.3,1565175,"2798 of 3141"
"Harris County",48201,63.3,2864288,"2745 of 3141"
"Schleicher County",48413,63.7,1988,"2733 of 3141"
"Terrell County",48443,63.8,460,"2729 of 3141"
"Bell County",48027,64.1,215708,"2721 of 3141"
"Waller County",48473,64.6,31306,"2708 of 3141"
"DeWitt County",48123,67.8,13888,"2631 of 3141"
"Houston County",48225,68.1,15566,"2620 of 3141"
"Jones County",48253,68.3,13638,"2609 of 3141"
"Tarrant County",48439,68.6,1361361,"2601 of 3141"
"Karnes County",48255,68.8,10357,"2593 of 3141"
"Morris County",48343,68.8,8623,"2592 of 3141"
"Bowie County",48037,69.3,64885,"2579 of 3141"
"Sutton County",48435,69.3,2699,"2578 of 3141"
"Collin County",48085,71.1,649834,"2532 of 3141"
"Frio County",48163,71.3,13630,"2526 of 3141"
"Falls County",48145,71.5,12358,"2522 of 3141"
"Camp County",48063,71.7,9080,"2517 of 3141"
"Titus County",48449,72.1,23559,"2504 of 3141"
"Coryell County",48099,72.2,54765,"2501 of 3141"
"Guadalupe County",48187,72.7,109719,"2491 of 3141"
"Madison County",48313,73.0,10201,"2488 of 3141"
"Harrison County",48203,73.0,48617,"2487 of 3141"
"Walker County",48471,73.1,51746,"2482 of 3141"
"Marion County",48315,73.1,7415,"2480 of 3141"
"Anderson County",48001,73.3,42316,"2473 of 3141"
"Brazoria County",48039,73.9,255706,"2451 of 3141"
"San Augustine County",48405,74.3,6240,"2440 of 3141"
"Gregg County",48183,74.4,91756,"2439 of 3141"
"Hudspeth County",48229,74.4,2756,"2434 of 3141"
"Matagorda County",48321,74.7,27443,"2425 of 3141"
"Brazos County",48041,74.8,160262,"2421 of 3141"
"Travis County",48453,74.9,881405,"2415 of 3141"
"Colorado County",48089,75.0,15677,"2412 of 3141"
"Goliad County",48175,75.0,5635,"2409 of 3141"
"La Salle County",48283,75.6,5609,"2394 of 3141"
"Navarro County",48349,75.7,36497,"2391 of 3141"
"Denton County",48121,75.9,592740,"2389 of 3141"
"Bastrop County",48021,75.9,60982,"2386 of 3141"
"Robertson County",48395,76.2,12740,"2378 of 3141"
"Limestone County",48293,76.2,17887,"2375 of 3141"
"Nacogdoches County",48347,76.2,49852,"2374 of 3141"
"Collingsworth County",48087,76.4,2313,"2370 of 3141"
"Moore County",48341,76.5,16845,"2367 of 3141"
"Smith County",48423,76.9,170917,"2353 of 3141"
"Newton County",48351,77.0,10927,"2345 of 3141"
"Grimes County",48185,77.1,21088,"2344 of 3141"
"Glasscock County",48173,77.2,1096,"2342 of 3141"
"McLennan County",48309,77.2,189707,"2340 of 3141"
"Caldwell County",48055,77.8,31538,"2321 of 3141"
"Taylor County",48441,77.8,105329,"2320 of 3141"
"Reeves County",48389,77.9,11518,"2317 of 3141"
"Washington County",48477,77.9,27017,"2314 of 3141"
"Jasper County",48241,78.0,27660,"2308 of 3141"
"Angelina County",48005,78.1,68468,"2304 of 3141"
"Lavaca County",48285,78.1,15513,"2301 of 3141"
"Galveston County",48167,78.1,250913,"2300 of 3141"
"Dawson County",48115,78.2,10239,"2293 of 3141"
"Wichita County",48485,78.3,103188,"2288 of 3141"
"Cass County",48067,78.4,23606,"2286 of 3141"
"Potter County",48375,78.4,95060,"2283 of 3141"
"Hall County",48191,78.4,2433,"2282 of 3141"
"Mitchell County",48335,78.5,6886,"2280 of 3141"
"Shelby County",48419,78.7,20214,"2274 of 3141"
"Hunt County",48231,78.8,71189,"2268 of 3141"
"Burleson County",48051,79.1,13913,"2252 of 3141"
"Rusk County",48401,79.1,41958,"2250 of 3141"
