------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=001&race=01&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'cancer': '001', 'race': '01', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=48&areatype=county&cancer=001&race=01&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Texas by County

"All Cancer Sites (All Stages^), 2012-2016"

"White (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Texas(6,10)",48000,***,409.6 ,408.4, 410.8,90723,falling,-1.4 ,-2.5, -0.2
"US (SEER+NPCR)(1,10)",00000,***,450.1 ,449.8, 450.5,1370927,stable,-0.9 ,-1.8, 0.0
"Polk County(6,10)",48373,***,581.5 ,552.7, 611.7,340,stable,0.6 ,-3.6, 4.9
"Lampasas County(6,10)",48281,***,513.6 ,473.2, 556.9,127,stable,2.5 ,-8.8, 15.1
"Wheeler County(6,10)",48483,***,510.1 ,434.2, 596.1,35,stable,-4.3 ,-11.2, 3.1
"Trinity County(6,10)",48455,***,501.5 ,455.7, 551.2,107,stable,7.0 ,-3.6, 18.8
"Coryell County(6,10)",48099,***,497.6 ,469.9, 526.4,250,stable,0.6 ,-10.7, 13.4
"Bell County(6,10)",48027,***,494.8 ,481.4, 508.5,1065,stable,0.3 ,-5.2, 6.2
"Houston County(6,10)",48225,***,492.3 ,452.5, 535,128,stable,3.7 ,-1.0, 8.7
"Gregg County(6,10)",48183,***,490.2 ,471.6, 509.5,543,stable,-1.3 ,-3.4, 0.9
"Milam County(6,10)",48331,***,488.1 ,451.8, 526.8,145,stable,-1.2 ,-5.4, 3.2
"Henderson County(6,10)",48213,***,484.9 ,465.5, 505,521,stable,0.7 ,-1.6, 3.2
"Lamar County(6,10)",48277,***,481.4 ,455.3, 508.6,273,falling,-5.5 ,-10.7, -0.1
"Camp County(6,10)",48063,***,479.8 ,427, 537.6,64,falling,-5.3 ,-7.4, -3.2
"Grayson County(6,10)",48181,***,479.4 ,463.1, 496,702,stable,-1.5 ,-7.6, 5.0
"Wilbarger County(6,10)",48487,***,479 ,428.3, 534.5,70,stable,-1.2 ,-14.2, 13.8
"Hall County(6,10)",48191,***,475.9 ,378.9, 592.3,20,stable,-7.2 ,-34.5, 31.4
"Kaufman County(6,10)",48257,***,475.5 ,455.9, 495.6,469,stable,0.4 ,-2.1, 3.1
"Delta County(6,10)",48119,***,473.9 ,402, 556.6,34,stable,5.0 ,-18.2, 34.8
"Jasper County(6,10)",48241,***,473.6 ,442.3, 506.6,187,stable,1.6 ,-11.2, 16.3
"Jackson County(6,10)",48239,***,472.1 ,425.4, 522.7,79,stable,-2.6 ,-14.6, 11.1
"Cherokee County(6,10)",48073,***,471.4 ,444.9, 499.2,250,stable,0.2 ,-5.5, 6.2
"Sabine County(6,10)",48403,***,471 ,419.6, 528,82,falling,-11.6 ,-17.6, -5.2
"Potter County(6,10)",48375,***,468.9 ,450, 488.3,482,stable,1.6 ,-1.8, 5.1
"Johnson County(6,10)",48251,***,468.4 ,453.3, 483.9,763,stable,1.1 ,-3.6, 6.0
"Hunt County(6,10)",48231,***,467.5 ,447.9, 487.8,450,stable,-0.7 ,-2.8, 1.5
