------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"United States",00000,0.7,2074097,"N/A"
"Virginia",51000,0.9,71569,"47 of 51"
"Bath County",51017,0.0,0,"1 of 3140"
"Bland County",51021,0.0,0,"1 of 3140"
"Charlotte County",51037,0.0,0,"1 of 3140"
"Craig County",51045,0.0,0,"1 of 3140"
"Dickenson County",51051,0.0,0,"1 of 3140"
"Emporia City",51595,0.0,0,"1 of 3140"
"Franklin City",51620,0.0,0,"1 of 3140"
"Greensville County",51081,0.0,0,"1 of 3140"
"Highland County",51091,0.0,0,"1 of 3140"
"King and Queen County",51097,0.0,0,"1 of 3140"
"Middlesex County",51119,0.0,0,"1 of 3140"
"New Kent County",51127,0.0,0,"1 of 3140"
"Northumberland County",51133,0.0,0,"1 of 3140"
"Norton City",51720,0.0,0,"1 of 3140"
"Surry County",51181,0.0,0,"1 of 3140"
"Henry County",51089,0.0,8,"395 of 3140"
"Hopewell City",51670,0.0,4,"408 of 3140"
"Buckingham County",51029,0.0,4,"434 of 3140"
"Pittsylvania County",51143,0.0,17,"447 of 3140"
"Franklin County",51067,0.0,18,"476 of 3140"
"Northampton County",51131,0.0,4,"485 of 3140"
"Mathews County",51115,0.0,3,"492 of 3140"
"Scott County",51169,0.0,8,"501 of 3140"
"Tazewell County",51185,0.0,20,"570 of 3140"
"Martinsville City",51690,0.1,7,"597 of 3140"
"Grayson County",51077,0.1,9,"621 of 3140"
"Clarke County",51043,0.1,9,"658 of 3140"
"Alleghany County and Clifton Forge City",51005,0.1,10,"680 of 3140"
"Brunswick County",51025,0.1,11,"699 of 3140"
"Botetourt County",51023,0.1,23,"711 of 3140"
"Wythe County",51197,0.1,21,"735 of 3140"
"Caroline County",51033,0.1,22,"748 of 3140"
"Goochland County",51075,0.1,18,"805 of 3140"
"Mecklenburg County",51117,0.1,26,"826 of 3140"
"Orange County",51137,0.1,33,"890 of 3140"
"Bristol City",51520,0.1,17,"926 of 3140"
"Salem City",51775,0.1,26,"941 of 3140"
"Campbell County",51031,0.1,63,"1032 of 3140"
"Charles City County",51036,0.1,8,"1032 of 3140"
"Page County",51139,0.1,28,"1072 of 3140"
"Fluvanna County",51065,0.1,32,"1103 of 3140"
"Wise County",51195,0.1,49,"1111 of 3140"
"Accomack County",51001,0.1,41,"1118 of 3140"
"Patrick County",51141,0.1,23,"1138 of 3140"
"Sussex County",51183,0.1,15,"1147 of 3140"
"Westmoreland County",51193,0.1,23,"1157 of 3140"
"Radford City",51750,0.1,25,"1231 of 3140"
"Southampton County",51175,0.2,27,"1266 of 3140"
"Buchanan County",51027,0.2,34,"1271 of 3140"
"Louisa County",51109,0.2,54,"1302 of 3140"
"Rappahannock County",51157,0.2,12,"1364 of 3140"
"Halifax County with South Boston City",51083,0.2,60,"1415 of 3140"
"Smyth County",51173,0.2,56,"1467 of 3140"
"Pulaski County",51155,0.2,63,"1494 of 3140"
"Powhatan County",51145,0.2,52,"1498 of 3140"
"Rockingham County",51165,0.2,149,"1532 of 3140"
"Rockbridge County",51163,0.2,43,"1541 of 3140"
"Appomattox County",51011,0.2,30,"1557 of 3140"
"Giles County",51071,0.2,33,"1565 of 3140"
"Amelia County",51007,0.2,26,"1603 of 3140"
"Fauquier County",51061,0.2,140,"1608 of 3140"
"Lee County",51105,0.2,52,"1649 of 3140"
"Richmond County",51159,0.2,19,"1661 of 3140"
"King William County",51101,0.2,35,"1662 of 3140"
"Gloucester County",51073,0.2,88,"1769 of 3140"
"Nottoway County",51135,0.2,37,"1777 of 3140"
"Dinwiddie County",51053,0.2,68,"1791 of 3140"
"Floyd County",51063,0.3,39,"1839 of 3140"
"Colonial Heights City",51570,0.3,47,"1899 of 3140"
"Warren County",51187,0.3,108,"1943 of 3140"
"Russell County",51167,0.3,78,"1963 of 3140"
"Carroll County",51035,0.3,84,"1971 of 3140"
"Augusta County",51015,0.3,215,"1990 of 3140"
"Galax City",51640,0.3,20,"2012 of 3140"
"Washington County",51191,0.3,163,"2024 of 3140"
"Buena Vista City",51530,0.3,20,"2057 of 3140"
"Prince Edward County",51147,0.3,72,"2077 of 3140"
"Staunton City",51790,0.3,77,"2087 of 3140"
"Lunenburg County",51111,0.3,41,"2131 of 3140"
"Danville City",51590,0.3,143,"2162 of 3140"
"Portsmouth City",51740,0.3,326,"2172 of 3140"
"Culpeper County",51047,0.4,173,"2182 of 3140"
"Shenandoah County",51171,0.4,149,"2182 of 3140"
"Spotsylvania County",51177,0.4,451,"2184 of 3140"
"Hanover County",51085,0.4,361,"2195 of 3140"
"Hampton City",51650,0.4,479,"2202 of 3140"
"Frederick County",51069,0.4,298,"2214 of 3140"
"Amherst County",51009,0.4,126,"2318 of 3140"
"Poquoson City",51735,0.4,49,"2337 of 3140"
"Winchester City",51840,0.4,111,"2340 of 3140"
"Chesterfield County",51041,0.4,1441,"2383 of 3140"
"Bedford City and County",51917,0.4,343,"2412 of 3140"
