------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Virginia",51000,34.1,2851138,"35 of 52"
"United States",00000,34.5,110609456,"N/A"
"Harrisonburg City",51660,20.2,10695,"3134 of 3141"
"Radford City",51750,21.5,3736,"3127 of 3141"
"Manassas Park City",51685,23.0,3710,"3117 of 3141"
"Loudoun County",51107,25.5,95483,"3090 of 3141"
"Arlington County",51013,25.6,58739,"3089 of 3141"
"Fredericksburg City",51630,25.6,7214,"3084 of 3141"
"Charlottesville City",51540,25.9,12024,"3077 of 3141"
"Montgomery County",51121,26.2,25585,"3071 of 3141"
"Norfolk City",51710,26.4,64969,"3059 of 3141"
"Manassas City",51683,26.5,10981,"3057 of 3141"
"Prince William County",51153,26.5,119660,"3056 of 3141"
"Lexington City",51678,27.4,1951,"3022 of 3141"
"Williamsburg City",51830,27.5,4080,"3014 of 3141"
"Alexandria City",51510,27.8,42975,"3002 of 3141"
"Stafford County",51179,28.7,40457,"2961 of 3141"
"Lynchburg City",51680,29.1,23032,"2941 of 3141"
"Newport News City",51700,29.9,54013,"2885 of 3141"
"Richmond City",51760,30.5,67381,"2839 of 3141"
"Virginia Beach City",51810,31.5,141579,"2775 of 3141"
"Prince Edward County",51147,32.1,7344,"2717 of 3141"
"Fairfax County",51059,32.2,368201,"2696 of 3141"
"Prince George County",51149,32.4,12213,"2685 of 3141"
"Chesapeake City",51550,32.4,76337,"2681 of 3141"
"King George County",51099,32.5,8305,"2676 of 3141"
"Spotsylvania County",51177,32.8,42734,"2635 of 3141"
"Portsmouth City",51740,33.0,31533,"2615 of 3141"
"Suffolk City",51800,33.5,29536,"2564 of 3141"
"Winchester City",51840,33.9,9338,"2507 of 3141"
"Henrico County",51087,34.0,110226,"2497 of 3141"
"Chesterfield County",51041,34.1,114546,"2476 of 3141"
"Hampton City",51650,34.3,46728,"2453 of 3141"
"Hopewell City",51670,34.3,7674,"2449 of 3141"
"Fairfax City",51600,34.5,8138,"2436 of 3141"
"Falls Church City",51610,34.6,4788,"2428 of 3141"
"Culpeper County",51047,35.0,17427,"2356 of 3141"
"Greensville County",51081,35.0,4066,"2347 of 3141"
"Emporia City",51595,35.1,1927,"2340 of 3141"
"Roanoke City",51770,35.3,35134,"2312 of 3141"
"York County",51199,35.7,23970,"2251 of 3141"
"Caroline County",51033,35.9,10734,"2208 of 3141"
"Greene County",51079,36.6,7027,"2109 of 3141"
"Frederick County",51069,36.7,30789,"2073 of 3141"
"Albemarle County",51003,36.8,38652,"2070 of 3141"
"King William County",51101,36.8,6011,"2062 of 3141"
"Waynesboro City",51820,37.1,8013,"2000 of 3141"
"Norton City",51720,37.2,1502,"1983 of 3141"
"Wise County",51195,37.2,14714,"1970 of 3141"
"Warren County",51187,37.2,14511,"1968 of 3141"
"Sussex County",51183,37.3,4329,"1942 of 3141"
"Petersburg City",51730,37.4,11974,"1927 of 3141"
"Buena Vista City",51530,37.5,2438,"1887 of 3141"
"Fauquier County",51061,38.0,26026,"1779 of 3141"
"Hanover County",51085,39.0,40238,"1582 of 3141"
"Nottoway County",51135,39.0,6060,"1578 of 3141"
"Rockingham County",51165,39.0,30699,"1572 of 3141"
"Salem City",51775,39.2,10005,"1535 of 3141"
"Colonial Heights City",51570,39.6,6957,"1435 of 3141"
"Dinwiddie County",51053,39.7,11118,"1419 of 3141"
"Buckingham County",51029,39.7,6767,"1412 of 3141"
"New Kent County",51127,39.9,8198,"1355 of 3141"
"Fluvanna County",51065,40.1,10469,"1314 of 3141"
"Staunton City",51790,40.2,9751,"1299 of 3141"
"Franklin City",51620,40.2,3350,"1297 of 3141"
"Campbell County",51031,40.2,22199,"1282 of 3141"
"Bristol City",51520,40.4,6894,"1254 of 3141"
"Orange County",51137,40.5,14278,"1221 of 3141"
"Danville City",51590,40.5,16976,"1216 of 3141"
"Martinsville City",51690,40.6,5381,"1192 of 3141"
"Poquoson City",51735,40.9,4914,"1131 of 3141"
"Powhatan County",51145,40.9,11607,"1124 of 3141"
"Appomattox County",51011,41.3,6381,"1044 of 3141"
"Lee County",51105,41.5,10131,"1006 of 3141"
"Roanoke County",51161,41.7,38995,"969 of 3141"
"Giles County",51071,41.8,7044,"963 of 3141"
"Richmond County",51159,41.8,3710,"957 of 3141"
"Brunswick County",51025,41.9,6893,"932 of 3141"
"Galax City",51640,42.1,2857,"912 of 3141"
"Amherst County",51009,42.1,13408,"903 of 3141"
"Isle of Wight County",51093,42.2,15243,"889 of 3141"
"Wythe County",51197,42.2,12272,"887 of 3141"
"Cumberland County",51049,42.3,4145,"873 of 3141"
