------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Virginia",51000,50.8,4251964,"28 of 52"
"Sussex County",51183,34.9,4043,"7 of 3141"
"Greensville County",51081,37.6,4368,"20 of 3141"
"Richmond County",51159,43.9,3895,"86 of 3141"
"Lexington City",51678,44.0,3131,"87 of 3141"
"Buckingham County",51029,44.5,7583,"100 of 3141"
"Bland County",51021,44.6,2907,"103 of 3141"
"Prince George County",51149,45.2,17061,"122 of 3141"
"Nottoway County",51135,45.8,7122,"153 of 3141"
"Powhatan County",51145,46.5,13179,"195 of 3141"
"Manassas Park City",51685,47.4,7635,"278 of 3141"
"Lee County",51105,47.6,11636,"304 of 3141"
"Norfolk City",51710,47.8,117498,"331 of 3141"
"Wise County",51195,47.9,18927,"340 of 3141"
"Brunswick County",51025,47.9,7878,"348 of 3141"
"Southampton County",51175,48.0,8675,"353 of 3141"
"Amelia County",51007,48.1,6158,"389 of 3141"
"Bath County",51017,48.2,2147,"399 of 3141"
"Montgomery County",51121,48.4,47244,"434 of 3141"
"Lunenburg County",51111,48.5,6002,"469 of 3141"
"Dickenson County",51051,49.1,7461,"650 of 3141"
"Covington City",51580,49.3,2799,"722 of 3141"
"Augusta County",51015,49.3,36695,"729 of 3141"
"Carroll County",51035,49.6,14774,"891 of 3141"
"Buchanan County",51027,49.7,11233,"932 of 3141"
"Culpeper County",51047,49.7,24738,"933 of 3141"
"Floyd County",51063,49.7,7752,"951 of 3141"
"Stafford County",51179,49.7,70175,"954 of 3141"
"New Kent County",51127,49.8,10214,"997 of 3141"
"King George County",51099,49.8,12725,"1009 of 3141"
"Scott County",51169,49.8,11099,"1020 of 3141"
"Clarke County",51043,49.8,7136,"1021 of 3141"
"Grayson County",51077,49.9,7833,"1093 of 3141"
"King and Queen County",51097,50.0,3528,"1221 of 3141"
"Manassas City",51683,50.0,20704,"1227 of 3141"
"Pulaski County",51155,50.0,17178,"1230 of 3141"
"Prince William County",51153,50.1,225920,"1310 of 3141"
"Warren County",51187,50.1,19546,"1319 of 3141"
"Arlington County",51013,50.2,115131,"1343 of 3141"
"Frederick County",51069,50.3,42150,"1476 of 3141"
"Prince Edward County",51147,50.3,11524,"1491 of 3141"
"Rockbridge County",51163,50.3,11297,"1512 of 3141"
"King William County",51101,50.3,8221,"1515 of 3141"
"Loudoun County",51107,50.5,188983,"1628 of 3141"
"Rappahannock County",51157,50.5,3713,"1629 of 3141"
"Caroline County",51033,50.5,15082,"1634 of 3141"
"Botetourt County",51023,50.5,16728,"1638 of 3141"
"Fairfax County",51059,50.5,576411,"1653 of 3141"
"Fauquier County",51061,50.5,34548,"1687 of 3141"
"Dinwiddie County",51053,50.6,14184,"1798 of 3141"
"Northumberland County",51133,50.6,6203,"1832 of 3141"
"Patrick County",51141,50.6,9091,"1839 of 3141"
"Gloucester County",51073,50.6,18757,"1877 of 3141"
"Tazewell County",51185,50.7,21634,"1919 of 3141"
"Washington County",51191,50.7,27600,"1926 of 3141"
"Cumberland County",51049,50.7,4967,"1942 of 3141"
"Middlesex County",51119,50.7,5431,"1951 of 3141"
"Fairfax City",51600,50.7,11959,"1957 of 3141"
"Craig County",51045,50.8,2606,"2041 of 3141"
"Charlotte County",51037,50.8,6185,"2047 of 3141"
"Goochland County",51075,50.8,11251,"2052 of 3141"
"Virginia Beach City",51810,50.8,228707,"2072 of 3141"
"Orange County",51137,50.8,17924,"2084 of 3141"
"Bedford City and County",51917,50.8,39307,"2093 of 3141"
"Smyth County",51173,50.8,15912,"2095 of 3141"
"York County",51199,50.9,34172,"2112 of 3141"
"Westmoreland County",51193,50.9,8950,"2122 of 3141"
"Falls Church City",51610,50.9,7042,"2129 of 3141"
"Spotsylvania County",51177,50.9,66214,"2130 of 3141"
"Page County",51139,50.9,12056,"2139 of 3141"
"Franklin County",51067,50.9,28646,"2156 of 3141"
