------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=53&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'cancer': '066', 'stage': '211', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_055.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=53&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Washington by County

"Prostate (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Washington(5)",53000,***,22.3 ,21.6, 23,878,21.8
"US (SEER+NPCR)(1)",00000,***,20.1 ,20, 20.2,36257,19.4
"San Juan County(7)",53055,***,30.9 ,20.1, 49.5,6,30.4
"Whatcom County(7)",53073,***,29.3 ,25, 34,36,25.4
"Chelan County(6)",53007,***,28.6 ,22.2, 36.4,15,22.8
"Klickitat County(6)",53039,***,28.4 ,18.4, 43.4,5,29.3
"Skagit County(7)",53057,***,27.8 ,22.9, 33.7,23,30.1
"Pacific County(6)",53049,***,27.7 ,17.8, 42.8,5,29.7
"Jefferson County(7)",53031,***,27.6 ,19.3, 39.9,9,20.1
"Kitsap County(7)",53035,***,27.4 ,23.8, 31.4,46,20.4
"Douglas County(6)",53017,***,27.4 ,18.9, 38.6,7,18.9
"Clallam County(7)",53009,***,26.4 ,21.2, 32.9,18,28.5
"Okanogan County(6)",53047,***,26.1 ,18.5, 36.2,8,22.9
"King County(7)",53033,***,25.9 ,24.5, 27.4,267,23.6
"Thurston County(7)",53067,***,25.2 ,21.7, 29.1,40,22.9
"Pierce County(7)",53053,***,25 ,22.8, 27.3,105,22.5
"Lewis County(6)",53041,***,24.4 ,18.9, 31.2,14,25.2
"Mason County(7)",53045,***,24.3 ,18.2, 32,11,22.2
"Snohomish County(7)",53061,***,24.3 ,22, 26.7,94,23.4
"Grays Harbor County(7)",53027,***,23.9 ,18.3, 30.9,13,19.1
"Grant County(6)",53025,***,23.5 ,17.7, 30.7,11,23.9
"Franklin County(6)",53021,***,23.4 ,16, 32.9,7,24.5
"Kittitas County(6)",53037,***,23.2 ,15.2, 34.1,6,25.2
"Whitman County(6)",53075,***,23 ,14.3, 35.3,4,38.6
"Island County(7)",53029,***,22.8 ,17.8, 29,15,20.7
"Cowlitz County(6)",53015,***,21.9 ,17.2, 27.6,16,27.0
"Walla Walla County(6)",53071,***,20.9 ,14.7, 29,8,17.8
"Clark County(6)",53011,***,19.8 ,17.3, 22.5,50,26.1
"Yakima County(6)",53077,***,19.2 ,15.8, 23.1,23,24.3
"Benton County(6)",53005,***,18.4 ,14.7, 22.8,18,19.2
"Spokane County(6)",53063,***,17.7 ,15.5, 20.1,50,21.5
"Stevens County(6)",53065,***,14.9 ,9.8, 22.5,6,22.7
"Adams County(6)",53001,***,* ,*, *,3 or fewer,*
"Asotin County(6)",53003,***,* ,*, *,3 or fewer,*
"Columbia County(6)",53013,***,* ,*, *,3 or fewer,*
"Ferry County(6)",53019,***,* ,*, *,3 or fewer,*
"Garfield County(6)",53023,***,* ,*, *,3 or fewer,*
"Lincoln County(6)",53043,***,* ,*, *,3 or fewer,*
