------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=55&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=55&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Wisconsin by County

"Bladder, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Wisconsin",55000,***,4.5 ,4.3, 4.8,322,stable,0.0 ,-0.3, 0.3
"United States",00000,***,4.4 ,4.3, 4.4,15935,stable,0.0 ,-0.1, 0.0
"Green Lake County",55047,***,10.3 ,5.8, 17.5,3,*,*,*,*
"Douglas County",55031,***,7 ,4.3, 11,4,*,*,*,*
"Oconto County",55083,***,6.7 ,3.9, 11,3,*,*,*,*
"La Crosse County",55063,***,6.4 ,4.6, 8.6,9,*,*,*,*
"Sauk County",55111,***,6 ,3.9, 9.1,5,*,*,*,*
"Dodge County",55027,***,5.8 ,4, 8.2,7,stable,-0.7 ,-2.5, 1.1
"Monroe County",55081,***,5.8 ,3.3, 9.5,3,*,*,*,*
"Sheboygan County",55117,***,5.5 ,3.9, 7.6,8,stable,1.2 ,-1.1, 3.6
"Marinette County",55075,***,5.4 ,3.2, 8.9,4,*,*,*,*
"Walworth County",55127,***,5.3 ,3.7, 7.6,7,stable,-1.1 ,-3.1, 1.0
"Waupaca County",55135,***,5.3 ,3.3, 8.2,5,stable,0.8 ,-1.4, 3.1
"Marathon County",55073,***,5.1 ,3.7, 6.9,9,stable,-1.0 ,-2.5, 0.6
"Brown County",55009,***,5 ,3.9, 6.4,13,stable,-0.8 ,-2.1, 0.5
"Racine County",55101,***,4.9 ,3.7, 6.4,12,stable,1.1 ,-0.6, 2.9
"Jefferson County",55055,***,4.8 ,3, 7.3,4,stable,-0.2 ,-2.4, 2.0
"Rock County",55105,***,4.8 ,3.5, 6.4,9,stable,-0.7 ,-2.1, 0.8
"Manitowoc County",55071,***,4.6 ,3, 6.9,5,rising,2.5 ,0.1, 4.9
"Fond du Lac County",55039,***,4.6 ,3.2, 6.6,7,stable,1.5 ,-0.5, 3.5
"Eau Claire County",55035,***,4.5 ,3, 6.7,6,stable,-0.9 ,-2.8, 1.0
"Milwaukee County",55079,***,4.4 ,3.8, 5,45,stable,0.0 ,-0.6, 0.6
"Ozaukee County",55089,***,4.4 ,2.9, 6.5,6,stable,-1.1 ,-3.4, 1.2
"Winnebago County",55139,***,4.3 ,3.1, 5.8,9,stable,-0.5 ,-2.4, 1.5
"St. Croix County",55109,***,4.3 ,2.5, 6.9,3,*,*,*,*
"Washington County",55131,***,4.3 ,3, 6,7,falling,-2.2 ,-4.3, -0.1
"Dane County",55025,***,4 ,3.3, 4.9,20,stable,-1.1 ,-2.4, 0.1
"Wood County",55141,***,3.8 ,2.4, 5.9,5,*,*,*,*
"Kenosha County",55059,***,3.8 ,2.6, 5.3,6,*,*,*,*
"Waukesha County",55133,***,3.7 ,3, 4.5,20,stable,-0.4 ,-1.8, 1.1
"Portage County",55097,***,3.6 ,2, 6,3,*,*,*,*
"Outagamie County",55087,***,2.7 ,1.7, 3.9,5,stable,-0.9 ,-2.7, 0.9
"Adams County",55001,***,* ,*, *,3 or fewer,*,*,*,*
"Ashland County",55003,***,* ,*, *,3 or fewer,*,*,*,*
"Barron County",55005,***,* ,*, *,3 or fewer,*,*,*,*
"Bayfield County",55007,***,* ,*, *,3 or fewer,*,*,*,*
"Buffalo County",55011,***,* ,*, *,3 or fewer,*,*,*,*
"Burnett County",55013,***,* ,*, *,3 or fewer,*,*,*,*
"Calumet County",55015,***,* ,*, *,3 or fewer,*,*,*,*
"Chippewa County",55017,***,* ,*, *,3 or fewer,*,*,*,*
"Clark County",55019,***,* ,*, *,3 or fewer,*,*,*,*
"Columbia County",55021,***,* ,*, *,3 or fewer,*,*,*,*
"Crawford County",55023,***,* ,*, *,3 or fewer,*,*,*,*
"Door County",55029,***,* ,*, *,3 or fewer,*,*,*,*
"Dunn County",55033,***,* ,*, *,3 or fewer,*,*,*,*
"Florence County",55037,***,* ,*, *,3 or fewer,*,*,*,*
"Forest County",55041,***,* ,*, *,3 or fewer,*,*,*,*
"Grant County",55043,***,* ,*, *,3 or fewer,*,*,*,*
"Green County",55045,***,* ,*, *,3 or fewer,*,*,*,*
"Iowa County",55049,***,* ,*, *,3 or fewer,*,*,*,*
"Iron County",55051,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson County",55053,***,* ,*, *,3 or fewer,*,*,*,*
"Juneau County",55057,***,* ,*, *,3 or fewer,*,*,*,*
"Kewaunee County",55061,***,* ,*, *,3 or fewer,*,*,*,*
"Lafayette County",55065,***,* ,*, *,3 or fewer,*,*,*,*
"Langlade County",55067,***,* ,*, *,3 or fewer,*,*,*,*
"Lincoln County",55069,***,* ,*, *,3 or fewer,*,*,*,*
"Marquette County",55077,***,* ,*, *,3 or fewer,*,*,*,*
"Menominee County",55078,***,* ,*, *,3 or fewer,*,*,*,*
"Oneida County",55085,***,* ,*, *,3 or fewer,*,*,*,*
"Pepin County",55091,***,* ,*, *,3 or fewer,*,*,*,*
"Pierce County",55093,***,* ,*, *,3 or fewer,*,*,*,*
