------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Wisconsin",55000,49.1,2827723,"16 of 52"
"Menominee County",55078,40.0,1802,"2984 of 3141"
"Dane County",55025,42.7,223069,"2856 of 3141"
"Milwaukee County",55079,42.8,409382,"2851 of 3141"
"Eau Claire County",55035,43.0,44006,"2840 of 3141"
"Dunn County",55033,43.8,19382,"2775 of 3141"
"La Crosse County",55063,45.0,52941,"2661 of 3141"
"Grant County",55043,45.4,23489,"2617 of 3141"
"Brown County",55009,45.9,118440,"2569 of 3141"
"Pierce County",55093,46.6,19226,"2482 of 3141"
"Portage County",55097,46.9,32988,"2451 of 3141"
"Clark County",55019,47.1,16271,"2421 of 3141"
"Kenosha County",55059,47.2,79324,"2409 of 3141"
"Outagamie County",55087,47.4,86845,"2387 of 3141"
"Winnebago County",55139,47.5,80491,"2372 of 3141"
"St. Croix County",55109,47.8,41632,"2312 of 3141"
"Walworth County",55127,49.1,50549,"2077 of 3141"
"Rock County",55105,49.2,79348,"2058 of 3141"
"Monroe County",55081,49.4,22386,"2026 of 3141"
"Calumet County",55015,49.7,24742,"1961 of 3141"
"Jefferson County",55055,50.1,42365,"1894 of 3141"
"Racine County",55101,50.1,97802,"1881 of 3141"
"Trempealeau County",55121,50.7,14949,"1753 of 3141"
"Marathon County",55073,50.9,68912,"1684 of 3141"
"Douglas County",55031,51.2,22290,"1614 of 3141"
"Fond du Lac County",55039,51.4,52438,"1580 of 3141"
"Chippewa County",55017,51.4,32615,"1568 of 3141"
"Lafayette County",55065,51.5,8624,"1555 of 3141"
"Sauk County",55111,51.5,32607,"1551 of 3141"
"Sheboygan County",55117,51.6,59432,"1514 of 3141"
"Ashland County",55003,51.8,8177,"1475 of 3141"
"Jackson County",55053,52.0,10685,"1418 of 3141"
"Vernon County",55123,52.1,15837,"1396 of 3141"
"Iowa County",55049,52.3,12323,"1358 of 3141"
"Dodge County",55027,53.0,46571,"1168 of 3141"
"Columbia County",55021,53.1,30133,"1158 of 3141"
"Washington County",55131,53.1,71164,"1146 of 3141"
"Green County",55045,53.2,19602,"1140 of 3141"
"Taylor County",55119,53.5,10893,"1049 of 3141"
"Waukesha County",55133,53.7,213017,"1016 of 3141"
"Barron County",55005,54.2,24587,"919 of 3141"
"Ozaukee County",55089,54.4,47757,"884 of 3141"
"Wood County",55141,54.6,40082,"838 of 3141"
"Richland County",55103,55.2,9730,"732 of 3141"
"Manitowoc County",55071,55.2,43995,"730 of 3141"
"Waupaca County",55135,55.4,28621,"695 of 3141"
"Crawford County",55023,55.7,9088,"651 of 3141"
"Polk County",55095,55.8,24178,"635 of 3141"
"Kewaunee County",55061,55.8,11373,"633 of 3141"
"Shawano County",55115,55.9,23011,"620 of 3141"
"Pepin County",55091,56.1,4083,"605 of 3141"
"Juneau County",55057,56.3,14879,"567 of 3141"
"Buffalo County",55011,56.6,7492,"543 of 3141"
"Green Lake County",55047,56.6,10618,"537 of 3141"
"Forest County",55041,56.7,5126,"523 of 3141"
"Langlade County",55067,58.1,11155,"359 of 3141"
"Oconto County",55083,58.2,21794,"356 of 3141"
"Lincoln County",55069,58.3,16321,"342 of 3141"
"Marinette County",55075,58.3,23739,"340 of 3141"
"Rusk County",55107,59.7,8479,"240 of 3141"
"Marquette County",55077,60.1,9109,"219 of 3141"
"Waushara County",55137,60.3,14566,"210 of 3141"
"Sawyer County",55113,60.5,9914,"199 of 3141"
"Washburn County",55129,61.0,9538,"183 of 3141"
"Oneida County",55085,62.5,22098,"118 of 3141"
"Bayfield County",55007,63.2,9485,"94 of 3141"
"Burnett County",55013,63.5,9677,"83 of 3141"
"Door County",55029,64.1,17586,"70 of 3141"
"Price County",55099,64.4,8731,"66 of 3141"
"Adams County",55001,65.4,13151,"48 of 3141"
"Florence County",55037,65.8,2863,"45 of 3141"
"Vilas County",55125,66.3,14221,"36 of 3141"
"Iron County",55051,68.3,3927,"22 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
