------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=55&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wisconsin by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Wisconsin",55000,4.9,281391,"36 of 51"
"United States",00000,13.4,43028127,"N/A"
"Ashland County",55003,0.8,125,"2799 of 3140"
"Menominee County",55078,0.9,40,"2728 of 3140"
"Lincoln County",55069,0.9,258,"2705 of 3140"
"Crawford County",55023,0.9,152,"2699 of 3140"
"Florence County",55037,0.9,41,"2690 of 3140"
"Polk County",55095,1.0,443,"2629 of 3140"
"Vernon County",55123,1.1,329,"2582 of 3140"
"Washburn County",55129,1.1,171,"2574 of 3140"
"Chippewa County",55017,1.1,697,"2567 of 3140"
"Iron County",55051,1.1,66,"2538 of 3140"
"Burnett County",55013,1.2,178,"2518 of 3140"
"Forest County",55041,1.3,115,"2416 of 3140"
"Shawano County",55115,1.3,554,"2360 of 3140"
"Taylor County",55119,1.4,281,"2331 of 3140"
"Pepin County",55091,1.5,107,"2268 of 3140"
"Oneida County",55085,1.5,525,"2262 of 3140"
"Buffalo County",55011,1.5,197,"2258 of 3140"
"Jackson County",55053,1.5,309,"2242 of 3140"
"Marinette County",55075,1.5,613,"2240 of 3140"
"Oconto County",55083,1.5,567,"2234 of 3140"
"Sawyer County",55113,1.5,249,"2229 of 3140"
"Iowa County",55049,1.6,367,"2206 of 3140"
"Grant County",55043,1.6,827,"2178 of 3140"
"Bayfield County",55007,1.7,251,"2126 of 3140"
"Douglas County",55031,1.8,764,"2063 of 3140"
"Rusk County",55107,1.8,250,"2062 of 3140"
"Vilas County",55125,1.8,378,"2060 of 3140"
"Pierce County",55093,1.8,730,"2053 of 3140"
"Waupaca County",55135,1.9,980,"1980 of 3140"
"Price County",55099,1.9,263,"1960 of 3140"
"Marquette County",55077,1.9,294,"1959 of 3140"
"Langlade County",55067,2.0,388,"1922 of 3140"
"Dodge County",55027,2.1,1806,"1896 of 3140"
"Kewaunee County",55061,2.1,420,"1891 of 3140"
"Juneau County",55057,2.1,563,"1851 of 3140"
"Monroe County",55081,2.1,966,"1849 of 3140"
"Columbia County",55021,2.2,1277,"1781 of 3140"
"Richland County",55103,2.3,400,"1768 of 3140"
"Barron County",55005,2.3,1031,"1762 of 3140"
"Lafayette County",55065,2.3,382,"1754 of 3140"
"St. Croix County",55109,2.4,2079,"1720 of 3140"
"Green County",55045,2.6,942,"1644 of 3140"
"Wood County",55141,2.6,1880,"1643 of 3140"
"Dunn County",55033,2.6,1141,"1632 of 3140"
"Manitowoc County",55071,2.6,2057,"1629 of 3140"
"Clark County",55019,2.6,900,"1617 of 3140"
"Washington County",55131,2.7,3574,"1586 of 3140"
"Door County",55029,2.7,736,"1577 of 3140"
"Calumet County",55015,2.8,1377,"1525 of 3140"
"La Crosse County",55063,2.9,3406,"1478 of 3140"
"Adams County",55001,2.9,585,"1470 of 3140"
"Waushara County",55137,2.9,704,"1468 of 3140"
"Sauk County",55111,3.2,2050,"1343 of 3140"
"Green Lake County",55047,3.3,616,"1322 of 3140"
"Portage County",55097,3.3,2356,"1305 of 3140"
"Winnebago County",55139,3.5,5867,"1270 of 3140"
"Eau Claire County",55035,3.6,3637,"1244 of 3140"
"Jefferson County",55055,3.7,3093,"1217 of 3140"
"Fond du Lac County",55039,3.7,3824,"1192 of 3140"
"Outagamie County",55087,4.0,7317,"1119 of 3140"
"Marathon County",55073,4.2,5636,"1073 of 3140"
"Trempealeau County",55121,4.3,1262,"1044 of 3140"
"Ozaukee County",55089,4.5,3992,"999 of 3140"
"Rock County",55105,4.6,7362,"994 of 3140"
"Racine County",55101,4.7,9105,"973 of 3140"
"Waukesha County",55133,5.1,20050,"908 of 3140"
"Sheboygan County",55117,5.7,6513,"797 of 3140"
"Brown County",55009,5.8,15014,"769 of 3140"
"Kenosha County",55059,6.2,10423,"716 of 3140"
"Walworth County",55127,6.3,6521,"699 of 3140"
"Dane County",55025,8.6,44711,"460 of 3140"
"Milwaukee County",55079,8.8,84307,"428 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
