------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=55&areatype=county&cancer=003&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '55', 'areatype': 'county', 'cancer': '003', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=55&areatype=county&cancer=003&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Wisconsin by County

"Oral Cavity & Pharynx (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Wisconsin(6,10)",55000,***,12.2 ,11.8, 12.5,860,stable,-0.4 ,-5.6, 5.0
"US (SEER+NPCR)(1,10)",00000,***,11.7 ,11.7, 11.8,43864,stable,0.5 ,-0.7, 1.6
"Adams County(6,10)",55001,***,18.9 ,12.6, 28.1,7,stable,4.1 ,-2.8, 11.4
"Vilas County(6,10)",55125,***,17.7 ,12, 26.1,7,stable,3.4 ,-26.3, 45.0
"Crawford County(6,10)",55023,***,17.5 ,10.4, 28,4,stable,19.1 ,-27.7, 96.0
"Price County(6,10)",55099,***,17.3 ,10, 29,4,stable,17.5 ,-14.5, 61.5
"Waushara County(6,10)",55137,***,16.1 ,10.9, 23.3,7,stable,-7.4 ,-14.6, 0.4
"Dodge County(6,10)",55027,***,16 ,12.9, 19.8,19,stable,6.4 ,-4.0, 17.8
"Marquette County(6,10)",55077,***,16 ,9.9, 25.5,4,stable,-12.7 ,-55.5, 71.3
"Oneida County(6,10)",55085,***,15.5 ,10.8, 21.8,8,stable,3.9 ,-12.7, 23.5
"Ashland County(6,10)",55003,***,15.4 ,8.8, 25.7,3,*,*,*,*
"Lafayette County(6,10)",55065,***,15.4 ,8.7, 25.4,3,stable,-19.2 ,-71.5, 129.0
"Columbia County(6,10)",55021,***,15 ,11.2, 19.7,11,stable,4.5 ,-13.0, 25.5
