------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Wyoming",56000,60938.000000000,"20 of 52"
"Niobrara County",56027,36793.000000000,"2736 of 3141"
"Albany County",56001,45816.000000000,"1832 of 3141"
"Platte County",56031,47380.000000000,"1640 of 3141"
"Hot Springs County",56017,48403.000000000,"1526 of 3141"
"Goshen County",56015,48422.000000000,"1519 of 3141"
"Washakie County",56043,51362.000000000,"1194 of 3141"
"Big Horn County",56003,51716.000000000,"1151 of 3141"
"Johnson County",56019,52415.000000000,"1070 of 3141"
"Uinta County",56041,54672.000000000,"861 of 3141"
"Fremont County",56013,55013.000000000,"837 of 3141"
"Sheridan County",56033,56455.000000000,"730 of 3141"
"Carbon County",56007,57644.000000000,"651 of 3141"
"Natrona County",56025,59400.000000000,"552 of 3141"
"Weston County",56045,59605.000000000,"535 of 3141"
"Park County",56029,60828.000000000,"475 of 3141"
"Converse County",56009,62776.000000000,"385 of 3141"
"Laramie County",56021,62879.000000000,"382 of 3141"
"Lincoln County",56023,63756.000000000,"353 of 3141"
"Crook County",56011,66944.000000000,"271 of 3141"
"Sweetwater County",56037,71083.000000000,"205 of 3141"
"Teton County",56039,80049.000000000,"109 of 3141"
"Campbell County",56005,80178.000000000,"107 of 3141"
"Sublette County",56035,84911.000000000,"70 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
