1111A0,Oilseed farming,72,22896
1111B0,Grain farming,4754,30038
111200,Vegetable and melon farming,2336,7586
111300,Fruit and tree nut farming,4941,17305
111400,"Greenhouse, nursery, and floriculture production",4903,9681
111900,Other crop farming,4480,9934
112120,Dairy cattle and milk production,1550,7274
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",959,23828
112300,Poultry and egg production,1361,3713
112A00,"Animal production, except cattle and poultry and eggs",2947,25444
113000,Forestry and logging,6363,8448
114000,"Fishing, hunting and trapping",1112,5434
115000,Support activities for agriculture and forestry,12285,16115
211000,Oil and gas extraction,34979,209735
212100,Coal mining,9212,28791
212230,"Copper, nickel, lead, and zinc mining",1456,7095
2122A0,"Iron, gold, silver, and other metal ore mining",2670,10099
212310,Stone mining and quarrying,2385,8559
2123A0,Other nonmetallic mineral mining and quarrying,3190,8450
213111,Drilling oil and gas wells,8956,17484
21311A,Other support activities for mining,27680,50602
221100,"Electric power generation, transmission, and distribution",54469,195047
221200,Natural gas distribution,11300,45578
221300,"Water, sewage and other systems",3991,8132
233210,Health care structures,18624,26312
233262,Educational and vocational structures,26620,39567
230301,Nonresidential maintenance and repair,42341,74706
230302,Residential maintenance and repair,16087,28339
2332A0,Office and commercial structures,34228,40570
233412,Multifamily residential structures,15367,20412
2334A0,Other residential structures,35545,75903
233230,Manufacturing structures,17556,20876
2332D0,Other nonresidential structures,28117,37062
233240,Power and communication structures,34440,58876
233411,Single-family residential structures,57227,69898
2332C0,Transportation structures and highways and streets,39756,59626
321100,Sawmills and wood preservation,4276,6513
321200,"Veneer, plywood, and engineered wood product manufacturing",3528,5412
321910,Millwork,4688,7008
3219A0,All other wood product manufacturing,4164,6734
327100,Clay product and refractory manufacturing,2190,3364
327200,Glass and glass product manufacturing,5827,10059
327310,Cement manufacturing,1060,2434
327320,Ready-mix concrete manufacturing,5034,6968
327330,"Concrete pipe, brick, and block manufacturing",1275,2429
327390,Other concrete product manufacturing,2478,3734
327400,Lime and gypsum product manufacturing,1063,2560
327910,Abrasive product manufacturing,751,3187
327991,Cut stone and stone product manufacturing,1078,1655
327992,Ground or treated mineral and earth manufacturing,686,1736
327993,Mineral wool manufacturing,1187,2328
327999,Miscellaneous nonmetallic mineral products,752,2018
331110,Iron and steel mills and ferroalloy manufacturing,7846,22345
331200,Steel product manufacturing from purchased steel,4328,7260
331313,Alumina refining and primary aluminum production,323,735
33131B,Aluminum product manufacturing from purchased aluminum,993,1479
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,3379,5764
331420,"Copper rolling, drawing, extruding and alloying",1195,5687
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",2468,3074
331510,Ferrous metal foundries,2132,5521
331520,Nonferrous metal foundries,5173,8535
332114,Custom roll forming,3384,4998
33211A,"All other forging, stamping, and sintering",398,1955
332119,"Metal crown, closure, and other metal stamping (except automotive)",3195,4758
332200,Cutlery and handtool manufacturing,3055,4356
332310,Plate work and fabricated structural product manufacturing,3200,4815
332320,Ornamental and architectural metal products manufacturing,10348,13977
332410,Power boiler and heat exchanger manufacturing,10905,14372
332420,Metal tank (heavy gauge) manufacturing,2026,2973
332430,"Metal can, box, and other metal container (light gauge) manufacturing",2125,3392
332500,Hardware manufacturing,2815,5010
332600,Spring and wire product manufacturing,1571,2698
332710,Machine shops,2283,2998
332720,"Turned product and screw, nut, and bolt manufacturing",16729,19976
332800,"Coating, engraving, heat treating and allied activities",4734,11403
332913,Plumbing fixture fitting and trim manufacturing,7371,12103
33291A,Valve and fittings other than plumbing,617,1382
332991,Ball and roller bearing manufacturing,6674,11884
332996,Fabricated pipe and pipe fitting manufacturing,2202,3251
