id	relevant_naics	industry_code	industry_detail	emp
01001	113	113000	timber and raw forest products	30
01001	441	441000	vehicles and parts sales	273
01001	445	445000	food and beverage stores	255
01001	452	452000	general merchandise stores	0
01001	484	484000	truck transport	0
01001	485	485000	passenger ground transport	0
01001	486	486000	pipeline transport	0
01001	487	48a000	scenic and sightseeing transportation and support activities for transportation	25
01001	521	52a000	monetary authorities and depository credit intermediation	273
01001	531	531ore	other real estate	51
01001	622	622000	hospitals	0
01001	712	712000	museums, historical sites, zoos, and parks	0
01001	721	721000	hotels and campgrounds	159
01003	113	113000	timber and raw forest products	18
01003	114	114000	wild-caught fish and game	0
01003	115	115000	agriculture and forestry support	0
01003	211	211000	unrefined oil and gas	0
01003	315	315000	clothing	0
01003	316	316000	leather	0
01003	441	441000	vehicles and parts sales	1563
01003	445	445000	food and beverage stores	1708
01003	452	452000	general merchandise stores	2650
01003	481	481000	air transport	13
01003	483	483000	water transport (boats, ships, ferries)	2
01003	484	484000	truck transport	343
01003	485	485000	passenger ground transport	0
01003	487	48a000	scenic and sightseeing transportation and support activities for transportation	226
01003	492	492000	couriers and messengers	0
01003	493	493000	warehousing	0
01003	521	52a000	monetary authorities and depository credit intermediation	823
01003	531	531ore	other real estate	1357
01003	533	533000	lessors of nonfinancial intangible assets	0
01003	562	562000	waste management and remediation	290
01003	622	622000	hospitals	0
01003	712	712000	museums, historical sites, zoos, and parks	34
01003	721	721000	hotels and campgrounds	1850
01005	113	113000	timber and raw forest products	105
01005	115	115000	agriculture and forestry support	0
01005	441	441000	vehicles and parts sales	112
01005	445	445000	food and beverage stores	0
01005	452	452000	general merchandise stores	0
01005	484	484000	truck transport	322
01005	485	485000	passenger ground transport	0
01005	487	48a000	scenic and sightseeing transportation and support activities for transportation	0
01005	493	493000	warehousing	0
01005	521	52a000	monetary authorities and depository credit intermediation	139
01005	531	531ore	other real estate	0
01005	562	562000	waste management and remediation	0
01005	622	622000	hospitals	0
01005	712	712000	museums, historical sites, zoos, and parks	0
01005	721	721000	hotels and campgrounds	0
01007	113	113000	timber and raw forest products	102
01007	115	115000	agriculture and forestry support	0
01007	441	441000	vehicles and parts sales	24
